record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,planning_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,obstacle_id,decision_json
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396547862683,1783598396.5478628,/apollo/planning,apollo.planning.ADCTrajectory,1783598396.546933,469,469,planning,1783598396383109799,0,0,123,"{
  ""id"": ""123"",
  ""perception_id"": 123,
  ""object_decision"": [
    {
      ""nudge"": {
        ""type"": ""LEFT_NUDGE"",
        ""distance_l"": 0.3
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598396634337125,1783598396.634337,/apollo/planning,apollo.planning.ADCTrajectory,1783598396.6334932,470,470,planning,1783598396483030737,0,0,123,"{
  ""id"": ""123"",
  ""perception_id"": 123,
  ""object_decision"": [
    {
      ""nudge"": {
        ""type"": ""LEFT_NUDGE"",
        ""distance_l"": 0.3
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598399427043381,1783598399.4270434,/apollo/planning,apollo.planning.ADCTrajectory,1783598399.425317,498,498,planning,1783598399283188523,0,0,140,"{
  ""id"": ""140"",
  ""perception_id"": 140,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_OBSTACLE"",
        ""distance_s"": -6.0,
        ""stop_point"": {
          ""x"": 155.18300349761185,
          ""y"": -133.4632603465887
        },
        ""stop_heading"": 0.0008871131243056243
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598403522134176,1783598403.5221343,/apollo/planning,apollo.planning.ADCTrajectory,1783598403.5214102,539,539,planning,1783598403382903965,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.7345386178907,
          ""y"": -133.5142339277236,
          ""z"": 0.0
        },
        ""stop_heading"": -0.0004467938025063672
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598403624097402,1783598403.6240973,/apollo/planning,apollo.planning.ADCTrajectory,1783598403.6233482,540,540,planning,1783598403483116690,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6912768084676,
          ""y"": -133.51421459868132,
          ""z"": 0.0
        },
        ""stop_heading"": -0.0004467937285929841
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598403720647883,1783598403.720648,/apollo/planning,apollo.planning.ADCTrajectory,1783598403.7200356,541,541,planning,1783598403583262228,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6490645758405,
          ""y"": -133.51419573849577,
          ""z"": 0.0
        },
        ""stop_heading"": -0.0004467937211232155
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598403828050638,1783598403.8280506,/apollo/planning,apollo.planning.ADCTrajectory,1783598403.8272603,542,542,planning,1783598403682969175,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63864827257584,
          ""y"": -133.5141910846252,
          ""z"": 0.0
        },
        ""stop_heading"": -0.00044679370625263896
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598403943774017,1783598403.943774,/apollo/planning,apollo.planning.ADCTrajectory,1783598403.9431403,543,543,planning,1783598403783120696,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63877350463775,
          ""y"": -133.51494956187761,
          ""z"": 0.0
        },
        ""stop_heading"": -0.0004958758000944914
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598404029097947,1783598404.029098,/apollo/planning,apollo.planning.ADCTrajectory,1783598404.0281694,544,544,planning,1783598403883097355,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6387146343592,
          ""y"": -133.54928499132862,
          ""z"": 0.0
        },
        ""stop_heading"": -0.0036077562759970544
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598404145267380,1783598404.1452675,/apollo/planning,apollo.planning.ADCTrajectory,1783598404.1440299,545,545,planning,1783598403983337452,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.638269379759,
          ""y"": -133.6149903949853,
          ""z"": 0.0
        },
        ""stop_heading"": -0.011563895420357174
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598404234210239,1783598404.2342103,/apollo/planning,apollo.planning.ADCTrajectory,1783598404.2335236,546,546,planning,1783598404083453174,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.6847137690903,
          ""y"": -133.7088875172976,
          ""z"": 0.0
        },
        ""stop_heading"": -0.03191801242730672
      }
    }
  ]
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598404324625662,1783598404.3246257,/apollo/planning,apollo.planning.ADCTrajectory,1783598404.323899,547,547,planning,1783598404183166810,0,0,TL_signal_4_387,"{
  ""id"": ""TL_signal_4_387"",
  ""perception_id"": -791060043,
  ""object_decision"": [
    {
      ""stop"": {
        ""reason_code"": ""STOP_REASON_SIGNAL"",
        ""distance_s"": -1.0,
        ""stop_point"": {
          ""x"": 323.63262435769695,
          ""y"": -133.41894966237143,
          ""z"": 0.0
        },
        ""stop_heading"": -0.06332043163639105
      }
    }
  ]
}"
