group_name,run_id,run_directory,source_file,relative_path,category,extension,size_bytes,line_count,modified_time_iso,sha256
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/collect_time.txt,202607271031/collect_time.txt,collection_window,.txt,63,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453,202607271031/log/localization.log.INFO.20260727-102803.5453,localization_log,.5453,109262,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/perception.log.INFO.20260727-102810.5491,202607271031/log/perception.log.INFO.20260727-102810.5491,perception_log,.5491,2031247,-1,2026-07-27T17:22:42+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/planning.log.INFO.20260727-102805.5469,202607271031/log/planning.log.INFO.20260727-102805.5469,planning_log,.5469,86142552,-1,2026-07-27T17:23:02+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/prediction.log.INFO.20260727-102805.5461,202607271031/log/prediction.log.INFO.20260727-102805.5461,prediction_log,.5461,114399,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/scb_control_delay_20260727102741_595351.csv,202607271031/log/scb_control_delay_20260727102741_595351.csv,control_delay_evidence,.csv,2157,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/control.5473.csv,202607271031/trace/events/control.5473.csv,trace_events,.csv,3568613,-1,2026-07-27T17:22:42+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/guardian.5464.csv,202607271031/trace/events/guardian.5464.csv,trace_events,.csv,591799,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/perception.lidar_detection.5491.csv,202607271031/trace/events/perception.lidar_detection.5491.csv,trace_events,.csv,65690,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/perception.lidar_detection_filter.5491.csv,202607271031/trace/events/perception.lidar_detection_filter.5491.csv,trace_events,.csv,69918,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/perception.lidar_tracking.5491.csv,202607271031/trace/events/perception.lidar_tracking.5491.csv,trace_events,.csv,65215,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/perception.multi_sensor_fusion.5491.csv,202607271031/trace/events/perception.multi_sensor_fusion.5491.csv,trace_events,.csv,102905,-1,2026-07-27T17:22:40+08:00,SKIPPED
baseline,202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/trace/events/perception.pointcloud_ground_detection.5491.csv,202607271031/trace/events/perception.pointcloud_ground_detection.5491.csv,trace_events,.csv,72733,-1,2026-07-27T17:22:40+08:00,SKIPPED
