run_id,time_s,relative_to_t1_s,x_m,y_m,speed_mps,source_file,source_line
202607171726,1784280400.040492,-41.23479700088501,-6.380497455596924,-0.4231875240802765,1.3183230310659233,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,1
202607171726,1784280400.150062,-41.125226974487305,-6.369378566741943,-0.5600854754447937,1.3957711935202606,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,2
202607171726,1784280400.255588,-41.01970100402832,-6.356765747070312,-0.7044103741645813,1.4752542646632094,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,3
202607171726,1784280400.365482,-40.909806966781616,-6.343948364257812,-0.8581610918045044,1.5839691809529068,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,4
202607171726,1784280400.4777,-40.79758906364441,-6.330304622650146,-1.025097370147705,1.7321746450213322,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,5
202607171726,1784280400.584593,-40.690696001052856,-6.315985679626465,-1.209091424942017,1.9184858925911037,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,6
202607171726,1784280400.695825,-40.579463958740234,-6.30103874206543,-1.412657380104065,2.127090378657817,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,7
202607171726,1784280400.827419,-40.44787001609802,-6.286253929138184,-1.638994097709656,2.372517317072762,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,8
202607171726,1784280400.936522,-40.33876705169678,-6.270094394683838,-1.892536520957947,2.6920963775377085,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,9
202607171726,1784280401.047383,-40.22790598869324,-6.251570224761963,-2.186382055282593,3.143698079212125,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,10
202607171726,1784280401.156353,-40.11893606185913,-6.230846881866455,-2.520429849624634,3.4832540662222904,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,11
202607171726,1784280401.270692,-40.00459694862366,-6.208869457244873,-2.880694150924683,3.7031949161487767,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,12
202607171726,1784280401.382276,-39.89301300048828,-6.186086177825928,-3.260502576828003,3.8886486877921875,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,13
202607171726,1784280401.49102,-39.78426909446716,-6.16254997253418,-3.658457040786743,4.066830427587254,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,14
202607171726,1784280401.59873,-39.67655897140503,-6.138328552246094,-4.074164867401123,4.245465404379845,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,15
202607171726,1784280401.707217,-39.56807208061218,-6.113400936126709,-4.50842809677124,4.438200262090465,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,16
