frame_index,worker_model_count,worker_tid,state,cpu,start_from_threadpool_ms,end_from_threadpool_ms,duration_ms
833,1,1646947,running,2,0.21455995738506317,0.6320079555734992,0.41744799818843603
833,1,1646947,blocked,,0.6320079555734992,0.6360078696161509,0.003999914042651653
833,1,1646947,runnable,,0.6360078696161509,0.802007969468832,0.16600009985268116
833,1,1646947,running,3,0.802007969468832,0.8660078747197986,0.06399990525096655
833,1,1646947,blocked,,0.8660078747197986,1.1010079178959131,0.23500004317611456
833,1,1646947,runnable,,1.1010079178959131,1.1070079635828733,0.00600004568696022
833,1,1646947,running,3,1.1070079635828733,1.17400789167732,0.06699992809444666
833,1,1646947,runnable,,1.17400789167732,1.1850078590214252,0.010999967344105244
833,1,1646947,running,3,1.1850078590214252,1.2540079187601805,0.06900005973875523
833,1,1646947,runnable,,1.2540079187601805,1.2640078784897923,0.009999959729611874
833,1,1646947,running,3,1.2640078784897923,1.5220078639686108,0.2579999854788184
833,1,1646947,blocked,,1.5220078639686108,1.5330079477280378,0.01100008375942707
833,1,1646947,runnable,,1.5330079477280378,1.5420078998431563,0.008999952115118504
833,1,1646947,running,3,1.5420078998431563,1.6650079051032662,0.1230000052601099
833,1,1646947,blocked,,1.6650079051032662,2.100007957778871,0.4350000526756048
833,1,1646947,runnable,,2.100007957778871,2.4550078669562936,0.3549999091774225
833,1,1646947,running,3,2.4550078669562936,2.690007910132408,0.23500004317611456
833,1,1646947,blocked,,2.690007910132408,2.740007941611111,0.05000003147870302
833,1,1646947,runnable,,2.740007941611111,2.750007901340723,0.009999959729611874
833,1,1646947,running,3,2.750007901340723,2.902007894590497,0.15199999324977398
833,1,1646947,blocked,,2.902007894590497,3.0390078900381923,0.13699999544769526
833,1,1646947,runnable,,3.0390078900381923,3.0810078606009483,0.04199997056275606
833,1,1646947,running,3,3.0810078606009483,3.172007971443236,0.09100011084228754
833,1,1646947,blocked,,3.172007971443236,3.2360078766942024,0.06399990525096655
833,1,1646947,runnable,,3.2360078766942024,3.2440079376101494,0.00800006091594696
833,1,1646947,running,1,3.2440079376101494,3.3490079222247005,0.10499998461455107
833,1,1646947,runnable,,3.3490079222247005,3.3600078895688057,0.010999967344105244
833,1,1646947,running,1,3.3600078895688057,3.453007899224758,0.09300000965595245
833,1,1646947,blocked,,3.453007899224758,3.46600788179785,0.012999982573091984
833,1,1646947,runnable,,3.46600788179785,3.474007942713797,0.00800006091594696
833,1,1646947,running,1,3.474007942713797,3.581007942557335,0.10699999984353781
833,1,1646947,runnable,,3.581007942557335,3.5870078718289733,0.005999929271638393
833,1,1646947,running,1,3.5870078718289733,3.605007892474532,0.018000020645558834
833,1,1646947,runnable,,3.605007892474532,3.610007930546999,0.00500003807246685
833,1,1646947,running,1,3.610007930546999,3.620007890276611,0.009999959729611874
833,1,1646947,blocked,,3.620007890276611,3.70900786947459,0.08899997919797897
833,1,1646947,runnable,,3.70900786947459,3.7160079227760434,0.00700005330145359
833,1,1646947,running,3,3.7160079227760434,3.888007951900363,0.17200002912431955
833,1,1646947,blocked,,3.888007951900363,3.9340079529210925,0.04600000102072954
833,1,1646947,runnable,,3.9340079529210925,3.9410078898072243,0.0069999368861317635
833,1,1646947,running,3,3.9410078898072243,4.017007886432111,0.07599999662488699
833,1,1646947,blocked,,4.017007886432111,4.052007920108736,0.0350000336766243
833,1,1646947,runnable,,4.052007920108736,4.060007864609361,0.007999944500625134
833,1,1646947,running,3,4.060007864609361,4.157007904723287,0.09700004011392593
833,1,1646947,blocked,,4.157007904723287,4.160007927566767,0.00300002284348011
833,1,1646947,runnable,,4.160007927566767,4.168007872067392,0.007999944500625134
833,1,1646947,running,3,4.168007872067392,4.242007969878614,0.07400009781122208
833,1,1646947,blocked,,4.242007969878614,4.380007972940803,0.13800000306218863
833,1,1646947,runnable,,4.380007972940803,4.692007903940976,0.3119999310001731
833,1,1646947,running,3,4.692007903940976,4.813007893972099,0.12099999003112316
833,1,1646947,blocked,,4.813007893972099,4.820007947273552,0.00700005330145359
833,1,1646947,runnable,,4.820007947273552,4.8280078917741776,0.007999944500625134
833,1,1646947,running,3,4.8280078917741776,4.84400789719075,0.016000005416572094
833,1,1646947,runnable,,4.84400789719075,5.013007903471589,0.16900000628083944
833,1,1646947,running,3,5.013007903471589,5.091007915325463,0.07800001185387373
