frame_index,worker_model_count,worker_tid,obstacle_ids,model_duration_sum_ms,worker_span_ms,inter_model_gap_ms,inference_count,inference_sum_ms,inference_share_of_model,completion_from_pool_start_ms,model_running_ms,model_blocked_ms,model_runnable_ms,model_unknown_ms,span_running_ms,span_blocked_ms,span_runnable_ms,span_unknown_ms,span_max_runnable_ms,span_cpu_list,span_running_segment_count
833,1,1646947,27,82.754496,82.754496,0.0,3,73.591936,0.8892802150592519,82.969056,13.339495868422091,62.82099976669997,6.59400038421154,0.0,13.339495868422091,62.82099976669997,6.59400038421154,0,2.09199998062104,0;1;2;3,132
833,2,1646959,26;66,123.54928,123.613312,0.06403199999999742,6,107.72592,0.8719267323937461,123.832256,22.98028045333922,92.65299944672734,7.915999973192811,0.0,23.04431248921901,92.65299944672734,7.915999973192811,0,2.085000043734908,0;1;2;3;5,178
833,3,1646945,28;64;68,131.08531200000002,131.166208,0.08089599999999564,7,122.356288,0.9334095951192456,131.38016,24.834312149323523,93.06000010110438,13.190999743528664,0.0,24.915208108723164,93.06000010110438,13.190999743528664,0,3.30400001257658,0;1;2;3,206
833,3,1646943,29;65;69,120.940256,121.024256,0.08399999999998897,6,105.670048,0.8737375915592571,121.223296,23.800255497917533,92.35100005753338,4.789000377058983,0.0,23.884255555458367,92.35100005753338,4.789000377058983,0,0.5439999513328075,0;1;2;3,185
834,1,1646961,27,95.846464,95.846464,0.0,3,78.549408,0.819533707576317,97.226368,12.507464154623449,78.15200032200664,5.186999565921724,0.0,12.507464154623449,78.15200032200664,5.186999565921724,0,1.1409999569877982,0;1;2;3,99
834,2,1646946,26;66,112.347104,112.392064,0.04496000000000322,6,100.85612799999998,0.8977189834817636,113.799968,20.533103845082223,88.84500036947429,2.968999673612416,0.0,20.578063908033073,88.84500036947429,2.968999673612416,0,0.25500007905066013,0;1;2;3,132
834,3,1646952,29;65;69,116.46864,116.609152,0.14051200000000108,6,101.49148799999999,0.8714061398845216,117.301408,20.803640130907297,78.76599999144673,16.89899992197752,0.0,20.944152143783867,78.76599999144673,16.89899992197752,0,6.067999987863004,0;1;2;3,137
834,3,1646949,28;64;68,115.735328,115.842048,0.10672000000000992,7,103.23305599999999,0.8919753180290809,116.717056,26.20832936372608,81.65199973154813,7.87499884609133,0.0,26.315049384720623,81.65199973154813,7.87499884609133,0,1.3370000524446368,0;1;2;3,156
835,1,1646959,27,95.724032,95.724032,0.0,3,86.92278400000001,0.9080560250533535,95.894688,11.60503167193383,79.78800032287836,4.331000032834709,0.0,11.60503167193383,79.78800032287836,4.331000032834709,0,0.5019999807700515,0;1;2;3;4,93
835,2,1646945,26;66,119.00166399999999,119.052768,0.051104000000009364,6,104.66092800000001,0.8794912985418424,119.765504,22.854663897305727,91.28500008955598,4.861999885179102,0.0,22.905768011696637,91.28500008955598,4.861999885179102,0,0.39499998092651367,0;1;2;3;5;6;7;8;9;10,179
835,3,1646947,28;64;68,119.494496,119.582336,0.08783999999999992,7,96.21337600000001,0.8051699385384246,119.750304,25.338497012853622,88.2419990375638,5.913999862968922,0.0,25.42633714620024,88.2419990375638,5.913999862968922,0,1.9650000613182783,0;1;2;3;5;6;11,165
835,3,1646943,29;65;69,115.620608,115.68352,0.06291199999999719,6,99.97116799999999,0.8646483505777792,115.844,22.976608597673476,88.40300014708191,4.240999114699662,0.0,23.03952071815729,88.40300014708191,4.240999114699662,0,0.517000094987452,0;1;2;3;5;7;8;9;11,155
836,1,1646949,27,94.819296,94.819296,0.0,3,89.020512,0.9388438403929934,94.989696,13.442295836284757,78.59499985352159,2.7820002287626266,0.0,13.442295836284757,78.59499985352159,2.7820002287626266,0,0.1829999964684248,1;3;8;9;10;11,121
