frame_index,worker_model_count,worker_tid,cpu,running_ms
833,1,1646947,0,1.5519997105002403
833,1,1646947,1,1.5860000858083367
833,1,1646947,2,3.004447906278074
833,1,1646947,3,7.19704816583544
833,2,1646959,0,5.918000591918826
833,2,1646959,1,4.093311843462288
833,2,1646959,2,6.9359998451545835
833,2,1646959,3,5.873968126252294
833,2,1646959,5,0.15900004655122757
833,3,1646945,0,4.195999936200678
833,3,1646945,1,5.936184315942228
833,3,1646945,2,5.052072461694479
833,3,1646945,3,9.650055435486138
833,3,1646943,0,4.049967392347753
833,3,1646943,1,6.109000300057232
833,3,1646943,2,10.191999492235482
833,3,1646943,3,3.4492883132770658
834,1,1646961,0,1.7560003325343132
834,1,1646961,1,2.8414002154022455
834,1,1646961,2,0.5130000645294785
834,1,1646961,3,7.397063542157412
834,2,1646946,0,1.4789997367188334
834,2,1646946,1,4.006103961728513
834,2,1646946,2,3.6840002285316586
834,2,1646946,3,11.363999918103218
834,3,1646952,0,3.2217683037742972
834,3,1646952,1,9.308720123954117
834,3,1646952,2,3.3954401733353734
834,3,1646952,3,4.877711529843509
834,3,1646949,0,18.052529427222908
834,3,1646949,1,3.1398400897160172
834,3,1646949,2,1.151959877461195
834,3,1646949,3,3.8639999693259597
835,1,1646959,0,1.1579999700188637
835,1,1646959,1,2.9085673158988357
835,1,1646959,2,1.0350000811740756
835,1,1646959,3,5.181000335142016
835,1,1646959,4,1.3224639697000384
835,2,1646945,0,1.3179999077692628
835,2,1646945,1,2.779487636871636
835,2,1646945,2,4.216999979689717
835,2,1646945,3,3.305000369437039
835,2,1646945,5,0.7748958887532353
835,2,1646945,6,4.59699984639883
835,2,1646945,7,0.0350000336766243
835,2,1646945,8,1.482999767176807
835,2,1646945,9,0.13099994976073503
835,2,1646945,10,4.21428051777184
835,3,1646947,0,2.9810002306476235
835,3,1646947,1,2.9789762338623405
835,3,1646947,2,3.5249998327344656
835,3,1646947,3,6.7774399649351835
835,3,1646947,5,2.3050002055242658
835,3,1646947,6,1.3699999544769526
835,3,1646947,11,5.401080590672791
835,3,1646943,0,4.7547443537041545
835,3,1646943,1,5.488087655976415
835,3,1646943,2,2.146775950677693
835,3,1646943,3,1.7410002183169127
835,3,1646943,5,2.266000141389668
835,3,1646943,7,2.5740001583471894
835,3,1646943,8,0.7789999945089221
835,3,1646943,9,1.0239999974146485
835,3,1646943,11,2.203000127337873
836,1,1646949,1,0.4189999308437109
836,1,1646949,3,0.23399991914629936
836,1,1646949,8,0.5888958694413304
