frame_index,worker_model_count,worker_tid,obstacle_ids,model_duration_sum_ms,worker_span_ms,inter_model_gap_ms,inference_count,inference_sum_ms,inference_share_of_model,completion_from_pool_start_ms,model_running_ms,model_blocked_ms,model_runnable_ms,model_unknown_ms,span_running_ms,span_blocked_ms,span_runnable_ms,span_unknown_ms,span_max_runnable_ms,span_cpu_list,span_running_segment_count
852,1,1646959,27,100.00288,100.00288,0.0,3,88.51635200000001,0.8851380280247929,100.164608,14.130879193544388,82.79599994421005,3.076000837609172,0.0,14.130879193544388,82.79599994421005,3.076000837609172,0,0.4450000124052167,1;2;3;4;7;8;9;10;11,105
852,3,1646944,26;66;70,133.87462399999998,133.9536,0.07897600000001148,9,120.279968,0.8984523310407206,134.65616,34.41562387160957,92.92399941477925,6.535000749863684,0.0,34.49459990952164,92.92399941477925,6.535000749863684,0,1.007000100798905,1;2;4;5;6;7;8;9;10;11,283
852,3,1646955,28;68;72,130.952,131.028448,0.07644799999999918,8,114.126336,0.8715127374916,131.165888,30.177998589351773,90.45100084040314,10.323000722564757,0.0,30.25444643571973,90.45100084040314,10.323000722564757,0,3.6929999478161335,0;1;2;3;4;5;6;7;8;9;11,255
852,3,1646958,29;65;69,123.264384,123.361984,0.09759999999999991,6,100.086016,0.8119621641884812,123.51184,26.924384641461074,85.32300032675266,11.016999022103846,0.0,27.021984686143696,85.32300032675266,11.016999022103846,0,2.483000047504902,0;1;3;4;5;6;7;8;9;11,205
886,1,1646946,27,81.667424,81.667424,0.0,3,61.172736,0.7490469639399916,81.903648,13.834423385560513,63.925000256858766,3.90800042077899,0.0,13.834423385560513,63.925000256858766,3.90800042077899,0,0.3909999504685402,0;1;2;3;4;5;7;8,143
886,2,1646948,28;72,100.496032,100.547136,0.05110399999999515,5,78.406176,0.7801917592129409,100.718848,20.57103207334876,74.74000088404864,5.18499908503145,0.0,20.62213607132435,74.74000088404864,5.18499908503145,0,0.7469999836757779,0;1;2;3,230
886,3,1646942,26;74;78,110.045152,110.132352,0.08719999999999573,8,96.162048,0.8738417481580651,110.354848,29.050152865238488,74.94500034954399,6.049998803064227,0.0,29.1373529471457,74.94500034954399,6.049998803064227,0,0.5380000220611691,0;1;2;3;4;5;6;7,235
886,4,1646959,29;69;73;77,122.06979199999999,122.178208,0.1084160000000054,10,101.098656,0.8282037213596629,122.350688,38.44879160169512,74.8329998459667,8.788000675849617,0.0,38.55720756109804,74.8329998459667,8.788000675849617,0,1.8530000234022737,0;1;2;3;8;10,221
887,1,1646943,27,91.539264,91.539264,0.0,3,83.84086400000001,0.9159005691808928,91.889408,12.208264786750078,76.14600018132478,3.184998990036547,0.0,12.208264786750078,76.14600018132478,3.184998990036547,0,0.8819999638944864,0;1;2;3,109
887,2,1646947,28;72,113.827648,113.87056,0.04291200000000117,5,102.165152,0.8975425021520256,114.006048,20.464648841880262,88.0460002226755,5.316998925991356,0.0,20.50756081007421,88.0460002226755,5.316998925991356,0,2.326000016182661,0;1;2;3;4;5;6;7,135
887,3,1646944,26;74;78,122.19369600000002,122.309568,0.11587199999998177,8,105.171168,0.8606922569884454,123.771712,27.282696100883186,89.48399999644607,5.426999880000949,0.0,27.38756814505905,89.48399999644607,5.437999847345054,0,1.158999977633357,0;1;2;3,182
887,4,1646955,29;69;73;77,143.096096,143.24624,0.1501440000000116,10,118.72809600000001,0.8297088412530836,143.372288,33.96209608763456,93.6369999544695,15.496999956667423,0.0,34.11224007140845,93.6369999544695,15.496999956667423,0,7.648000027984381,0;1;2;3;4;7,196
888,1,1646953,27,119.914016,119.914016,0.0,3,114.032544,0.9509525892286019,120.079968,15.270015923306346,89.61000049021095,15.033999574370682,0.0,15.270015923306346,89.61000049021095,15.033999574370682,0,2.4690000573173165,0;1;2;3;6;7,132
888,2,1646959,28;72,209.259808,209.498848,0.23904000000001702,5,194.79654399999998,0.9308836984118803,209.674656,30.45080928131938,128.14699893351644,50.66199984867126,0.0,30.689849285408854,128.14699893351644,50.66199984867126,0,24.654999957419932,0;1;2;3;8,213
