frame_index,worker_model_count,worker_tid,cpu,running_ms
852,1,1646959,1,1.5518879517912865
852,1,1646959,2,3.0339997028931975
852,1,1646959,3,2.572000026702881
852,1,1646959,4,0.60399214271456
852,1,1646959,7,0.7489998824894428
852,1,1646959,8,1.231999834999442
852,1,1646959,9,3.3619998721405864
852,1,1646959,10,0.5829998990520835
852,1,1646959,11,0.4429998807609081
852,3,1646944,1,0.17500005196779966
852,3,1646944,2,0.13754412066191435
852,3,1646944,4,2.8130002319812775
852,3,1646944,5,3.294000052846968
852,3,1646944,6,3.0837596859782934
852,3,1646944,7,7.582999998703599
852,3,1646944,8,3.1640558736398816
852,3,1646944,9,1.420000335201621
852,3,1646944,10,7.665263605304062
852,3,1646944,11,5.0799999153241515
852,3,1646955,0,0.1990000018849969
852,3,1646955,1,1.6322481678798795
852,3,1646955,2,1.1390000581741333
852,3,1646955,3,3.631303901784122
852,3,1646955,4,2.3859995417296886
852,3,1646955,5,13.034271774813533
852,3,1646955,6,1.681999652646482
852,3,1646955,7,1.101000001654029
852,3,1646955,8,0.24699990171939135
852,3,1646955,9,1.80199951864779
852,3,1646955,11,3.324176068417728
852,3,1646958,0,4.2226240038871765
852,3,1646958,1,4.455000162124634
852,3,1646958,3,0.780999893322587
852,3,1646958,4,4.419000237248838
852,3,1646958,5,6.619224208407104
852,3,1646958,6,3.314776113256812
852,3,1646958,7,0.6500001763924956
852,3,1646958,8,1.3477597385644913
852,3,1646958,9,0.47199998516589403
852,3,1646958,11,0.643000123091042
886,1,1646946,0,0.10999978985637426
886,1,1646946,1,1.5879999846220016
886,1,1646946,2,1.1959993280470371
886,1,1646946,3,0.9163678623735905
886,1,1646946,4,0.910000060684979
886,1,1646946,5,2.1020001731812954
886,1,1646946,7,6.519000278785825
886,1,1646946,8,0.4930559080094099
886,2,1646948,0,2.712895628064871
886,2,1646948,1,2.158000133931637
886,2,1646948,2,6.4915684051811695
886,2,1646948,3,9.208567906171083
886,3,1646942,0,2.8182880487293005
886,3,1646942,1,0.22200006060302258
886,3,1646942,2,15.524080372415483
886,3,1646942,3,1.3050001580268145
886,3,1646942,4,0.871000112965703
886,3,1646942,5,0.3960002213716507
886,3,1646942,6,2.685999614186585
886,3,1646942,7,5.2277842769399285
886,4,1646959,0,7.568895700387657
886,4,1646959,1,5.406647687777877
886,4,1646959,2,3.9729996351525187
886,4,1646959,3,2.2360001457855105
886,4,1646959,8,0.24700001813471317
886,4,1646959,10,19.017248414456844
887,1,1646943,0,1.1660001473501325
887,1,1646943,1,6.028264062479138
887,1,1646943,2,2.537000342272222
887,1,1646943,3,2.4770002346485853
887,2,1646947,0,3.0410002218559384
887,2,1646947,1,1.3922881335020065
887,2,1646947,2,3.3150879899039865
887,2,1646947,3,8.916000369936228
887,2,1646947,4,0.9120001923292875
887,2,1646947,5,0.6790000479668379
887,2,1646947,6,0.6249998696148396
887,2,1646947,7,1.5842720167711377
