timestamp,target_id,target_x,target_y,target_speed,ego_x,ego_y,ego_speed,relative_distance,relative_speed,TTC
1788414562.431605816,7,-497.088318533,-274.028098528,0.000000000,-494.253967285,-228.388992310,15.108003667,45.727033180,-15.090304174,
1788414588.031260252,9,-364.102057807,-21.300841102,0.000000000,-409.921325684,-26.751779556,12.655433768,46.142367069,12.565635847,3.672107614
1788414588.131878614,10,-392.476129335,9.928175317,0.000000000,-408.642364502,-26.752946854,12.878491417,40.085557040,5.161079523,7.766893896
1788414588.831329107,12,-377.121458849,2.036062593,0.000000000,-399.394317627,-26.807909012,13.454414091,36.442488061,8.144591648,4.474440173
1788414588.931436062,12,-377.075469866,2.036671734,0.192386349,-398.044586182,-26.817670822,13.541225852,35.668991062,7.771095407,4.589956652
1788414589.031281471,14,-392.990188543,-0.523278313,0.000000000,-396.684600830,-26.826856613,13.657699514,26.561756597,1.815017008,14.634439504
1788414589.131275415,14,-392.977443335,-0.521275994,0.000000000,-395.311157227,-26.835166931,13.803403317,26.417173899,1.145420035,23.063306990
1788414589.231795549,12,-377.072851571,1.973956697,0.156734735,-393.921661377,-26.842382431,13.975287772,33.380590058,6.983680583,4.779799085
1788414589.431817532,14,-393.006166219,-0.524421566,0.000000000,-391.085937500,-26.852653503,14.367916898,26.398164241,-1.076080546,
1788414589.531853676,14,-392.932145803,-0.491074731,0.000000000,-389.638092041,-26.855421066,14.570331614,26.569334728,-1.819944498,
1788414589.632230997,12,-377.110356576,1.973792761,0.000000000,-388.169952393,-26.856468201,14.770810095,30.878772754,5.293629359,5.833195084
1788414589.831228495,12,-377.163902908,2.033190832,0.000000000,-385.176116943,-26.853355408,15.141705455,29.977126737,4.083100531,7.341755734
1788414590.131977797,12,-377.172164699,2.038008217,0.000000000,-380.557891846,-26.836114883,15.620628774,29.071947529,1.903488117,15.272986084
1788414591.032239199,15,-377.091618649,2.037387751,0.000000000,-365.886932373,-26.722215652,16.901084204,30.865187226,-5.996912954,
1788414591.132752657,15,-377.088187744,2.036621147,0.000000000,-364.195465088,-26.707408905,16.909483345,31.503040506,-6.786238107,
1788414591.232007980,16,-316.884904940,-26.537076565,0.000000000,-362.493743896,-26.692726135,17.162694560,45.609104549,17.162472716,2.657490287
1788414591.331865311,16,-316.899522644,-26.543592597,0.000000000,-360.763671875,-26.678129196,17.395800371,43.864355551,17.395561526,2.521583192
1788414591.440699339,15,-377.187234854,2.043175679,0.207511989,-359.014068604,-26.663812637,17.557409369,33.975802416,-9.394745156,
1788414591.546256781,16,-317.110827913,-26.557505280,0.000000000,-357.257019043,-26.649967194,17.509297044,40.146297606,17.508884710,2.292910044
1788414591.645132780,16,-317.092118559,-26.561785048,0.000000000,-355.520904541,-26.636886597,17.226199063,38.428859368,17.225757255,2.230895211
1788414591.731937170,16,-317.024219282,-26.433355352,0.000000000,-353.818237305,-26.624713898,16.864418744,36.794515629,16.864209516,2.181810870
1788414591.831358910,16,-317.045850007,-26.455723769,0.000000000,-352.153259277,-26.613508224,16.478168690,35.107763837,16.477967034,2.130588304
1788414591.931692362,16,-317.034460105,-26.589666114,0.000000000,-350.527252197,-26.603284836,16.086618219,33.492794861,16.086211508,2.082080970
1788414592.031708956,16,-316.956180971,-26.566820284,0.000000000,-348.940124512,-26.594039917,15.698936072,31.983955123,15.698614837,2.037374345
1788414592.131532907,16,-316.954519341,-26.577178719,0.000000000,-347.391357422,-26.585739136,15.316372856,30.436839285,15.316054311,1.987250676
1788414592.232149601,16,-316.874907611,-26.507583086,0.000000000,-345.880493164,-26.578330994,14.940177062,29.005671834,14.940000202,1.941477339
1788414592.331412792,16,-316.653041719,-26.559086908,0.000000000,-344.398620605,-26.571720123,14.738635484,27.745581763,14.738395170,1.882537511
1788414592.431803942,16,-316.687326733,-26.504042970,0.000000000,-342.951293945,-26.565874100,14.160555408,26.264039994,14.160407056,1.854751766
1788414592.531457186,16,-317.072375830,-26.506446254,0.000000000,-341.568969727,-26.560834885,13.564227790,24.496654275,13.563931309,1.806014327
1788414592.631604910,16,-316.896624382,-26.534274693,0.000000000,-340.240417480,-26.556491852,13.049599968,23.343803671,13.049153973,1.788913191
1788414592.732003689,16,-316.607563250,-26.539738309,0.000000000,-338.960937500,-26.552753448,12.573598826,22.353378039,12.573081171,1.777875903
1788414592.832574368,16,-316.930807474,-26.452623758,0.000000000,-337.728515625,-26.549583435,12.120665730,20.797934164,12.120059893,1.715992689
1788414592.932691097,16,-316.633982634,-26.548374183,0.000000000,-336.540710449,-26.546903610,11.683897642,19.906727870,11.683326872,1.703857821
1788414593.032199860,16,-316.696392587,-26.470908484,0.000000000,-335.395721436,-26.544607162,11.262016577,18.699474081,11.261479962,1.660481051
1788414593.132364273,16,-316.631503531,-26.546092120,0.000000000,-334.279693604,-26.542520523,11.111317792,17.648190434,11.110805081,1.588380887
1788414593.231934071,16,-316.773240418,-26.492216441,0.000000000,-333.215820312,-26.541320801,10.164753697,16.442653217,10.164075240,1.617722501
1788414593.332223892,16,-316.661102703,-26.507038461,0.000000000,-332.247375488,-26.540981293,9.325532221,15.586309744,9.324882133,1.671475255
1788414593.431904554,16,-316.596925922,-26.509741554,0.000000000,-331.351989746,-26.540859222,8.669266434,14.755096637,8.668670567,1.702117588
1788414593.532396078,16,-316.625045697,-26.516179715,0.000000000,-330.516235352,-26.540313721,8.107386079,13.891210619,8.106765147,1.713533125
1788414593.631905794,16,-316.635725328,-26.507336447,0.000000000,-329.734405518,-26.539388657,7.585583236,13.098719405,7.584993416,1.726925613
1788414593.731989145,16,-316.660803452,-26.565064796,0.000000000,-328.995849609,-26.538387299,7.295732554,12.335075005,7.295115902,1.690867585
1788414593.831520081,16,-316.627205339,-26.516298459,0.000000000,-328.288757324,-26.536861420,6.688337964,11.661570115,6.687831531,1.743699742
1788414593.931709766,16,-316.606144152,-26.510241232,0.000000000,-327.764801025,-26.533630371,4.141796233,11.158681386,4.141487432,2.694365628
1788414594.031720638,16,-316.627101846,-26.522961566,0.000000000,-327.477294922,-26.531452179,1.865736333,10.850196398,1.865510672,5.816207090
1788414594.131719828,16,-316.616382930,-26.562976683,0.000000000,-327.412475586,-26.528846741,0.000744788,10.796146603,-0.000505254,
1788414594.231764078,16,-316.609880900,-26.536305710,0.000000000,-327.411560059,-26.528871536,0.002273033,10.801681717,-0.002207717,
1788414594.331189871,16,-316.626600392,-26.554059071,0.000000000,-327.410644531,-26.528886795,0.001672089,10.784073518,-0.001636939,
1788414594.431560278,16,-316.601128614,-26.564108570,0.000000000,-327.410156250,-26.528892517,0.000987383,10.809085003,-0.000974359,
