role,actor_id,actor_type,role_name,carla_frame,carla_timestamp_sec,wall_time_unix_ns,wall_time_iso,location_x,location_y,location_z,rotation_yaw,velocity_x,velocity_y,velocity_z
ego,147,vehicle.lincoln.mkz_2017,hero,5475,547.9343698360026,1783942126847821199,2026-07-13T19:28:46.847821199+08:00,50.26735305786133,-344.8262023925781,0.033883798867464066,138.97146606445312,-8.56273365020752,7.526943206787109,-1.7166136956348055e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5476,548.0343698374927,1783942126948477427,2026-07-13T19:28:46.948477427+08:00,49.40994644165039,-344.0714416503906,0.03383893892168999,138.5726776123047,-8.551308631896973,7.622028827667236,-1.659393319641822e-06
ego,147,vehicle.lincoln.mkz_2017,hero,5477,548.1343698389828,1783942127047444396,2026-07-13T19:28:47.047444396+08:00,48.55392837524414,-343.3073425292969,0.033818379044532776,138.17457580566406,-8.534472465515137,7.712891578674316,2.155303945983178e-06
ego,147,vehicle.lincoln.mkz_2017,hero,5478,548.2343698404729,1783942127147418101,2026-07-13T19:28:47.147418101+08:00,47.699989318847656,-342.5344543457031,0.03381605073809624,137.7772216796875,-8.510034561157227,7.797699451446533,-6.389617510649259e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5479,548.334369841963,1783942127247450719,2026-07-13T19:28:47.247450719+08:00,46.848915100097656,-341.7535400390625,0.03382512927055359,137.38092041015625,-8.477932929992676,7.875734806060791,-1.2111663636460435e-06
ego,147,vehicle.lincoln.mkz_2017,hero,5480,548.4343698434532,1783942127347434179,2026-07-13T19:28:47.347434179+08:00,46.00144958496094,-340.9650573730469,0.0338401198387146,136.98541259765625,-8.438430786132812,7.947609901428223,-5.435943535303522e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5481,548.5343698449433,1783942127447318662,2026-07-13T19:28:47.447318662+08:00,45.15828323364258,-340.169677734375,0.03385717421770096,136.58935546875,-8.392315864562988,8.014348030090332,1.0490417423625331e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5482,548.6343698464334,1783942127547205999,2026-07-13T19:28:47.547205999+08:00,44.32362747192383,-339.37103271484375,0.03394624590873718,136.18264770507812,-8.252445220947266,7.997988700866699,5.722045557376987e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5483,548.7343698479235,1783942127647574031,2026-07-13T19:28:47.647574031+08:00,43.50654220581055,-338.5778503417969,0.03409459814429283,135.7708740234375,-8.08156967163086,7.946771621704102,-6.103515488575795e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5484,548.8343698494136,1783942127748073369,2026-07-13T19:28:47.748073369+08:00,42.702476501464844,-337.7860107421875,0.034111957997083664,135.3603515625,-7.982593059539795,7.963479995727539,2.3078916910890257e-06
ego,147,vehicle.lincoln.mkz_2017,hero,5485,548.9343698509037,1783942127847847434,2026-07-13T19:28:47.847847434+08:00,41.90537643432617,-336.9897155761719,0.0340406596660614,134.9534912109375,-7.931288719177246,8.025330543518066,3.5381315228733e-06
ego,147,vehicle.lincoln.mkz_2017,hero,5486,549.0343698523939,1783942127947832242,2026-07-13T19:28:47.947832242+08:00,41.11187744140625,-336.1857604980469,0.0339525006711483,134.55189514160156,-7.90431547164917,8.109895706176758,1.9931792394345393e-06
ego,147,vehicle.lincoln.mkz_2017,hero,5487,549.134369853884,1783942128048080320,2026-07-13T19:28:48.048080320+08:00,40.320499420166016,-335.37274169921875,0.03388162702322006,134.15492248535156,-7.8861985206604,8.203187942504883,-3.7193296975601697e-07
ego,147,vehicle.lincoln.mkz_2017,hero,5488,549.2343698553741,1783942128147723147,2026-07-13T19:28:48.147723147+08:00,39.530906677246094,-334.5502624511719,0.033837221562862396,133.7606201171875,-7.867772102355957,8.29666519165039,2.2888182229507947e-06
