source_frame_index,target_tid,perf_coverage_status,infer_duration_ms,running_ms,running_pct,blocked_ms,runnable_ms,unknown_ms,max_schedule_delay_us,p95_schedule_delay_us,kswapd0_cpu_ms,kcompactd0_cpu_ms,run_slice_count,migration_count,enter_inside_running,exit_inside_running,internal_inference_ms,cp_minus_internal_ms,enter_perf_s,exit_perf_s
601,1016510,complete,82.363289,30.244289024267346,36.72059407525473,51.332999966689385,0.7860000187065452,0.0,70.00000914558768,63.99999838322401,0.0,0.0,34,1,True,True,82.4625,-0.09920000000001039,75652.501732019,75652.584095308
602,1016511,complete,81.246698,29.203698053606786,35.944473773033984,51.728000020375475,0.31499992473982275,0.0,35.99999763537198,23.200000578071908,0.0,0.0,31,2,True,True,81.3269,-0.08019999999999072,75652.599103941,75652.680350639
603,1016505,complete,82.092597,33.99759698368143,41.413718440543995,47.65400002361275,0.44099999649915844,0.0,100.00000474974513,47.75000779773112,0.0,0.006999995093792677,21,1,True,True,82.185,-0.09239999999999782,75652.700249253,75652.78234185
604,1016508,complete,82.98736,31.643360023736022,38.13033698528615,50.302000003284775,1.0419999744044617,0.0,264.0000020619482,131.7999995080752,0.0,0.0,34,5,True,True,83.0771,-0.08970000000000766,75652.797258226,75652.880245586
605,1016508,complete,82.688796,29.74879599059932,35.97681599527097,52.46900003112387,0.4709999921033159,0.0,90.00000136438757,56.500003847759196,0.0,0.0,24,0,True,True,82.7812,-0.09239999999999782,75652.892053796,75652.974742592
606,1016503,complete,83.244003,30.870003014570102,37.083756066187405,51.94699998537544,0.4270000063115731,0.0,230.0000051036477,97.0000008237546,0.0,0.0,16,2,True,True,83.3581,-0.11409999999999343,75652.995821156,75653.079065159
607,1016500,complete,82.566107,33.639106986811385,40.74202867262579,48.58700001204852,0.33999999868683517,0.0,111.00000119768083,28.50000237231142,0.0,0.0,23,1,True,True,82.6499,-0.08379999999999654,75653.100913461,75653.183479568
608,1016500,complete,83.405637,30.36563703790307,36.40717597434067,52.490999980363995,0.5489999894052744,0.0,93.00000965595245,69.24999615876004,0.0,0.0109999964479357,27,3,True,True,83.487,-0.08139999999998793,75653.194585209,75653.277990846
609,1016510,complete,84.626836,29.48883597855456,34.84572668798919,54.386000003432855,0.7520000217482448,0.0,175.00000831205398,99.6000046143308,0.0,0.0,24,2,True,True,84.7145,-0.08769999999999811,75653.296506499,75653.381133335
610,1016502,complete,86.631309,30.757308908505365,35.50368713781223,54.84200002683792,1.0320000583305955,0.0,226.99999681208283,158.6000056704503,0.0,0.0,30,1,True,True,86.7222,-0.09090000000000487,75653.393846676,75653.480477985
