run_id,time_s,relative_to_t1_s,x_m,y_m,speed_mps,source_file,source_line
202607201611,1784535117.063774,-72.09569787979126,-476.3609008789062,-317.7848815917969,5.494201186469847,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,1
202607201611,1784535117.172484,-71.98698806762695,-476.6119689941406,-317.2720642089844,5.761734754534859,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,2
202607201611,1784535117.280693,-71.87877893447876,-476.8673400878906,-316.7451782226562,5.885404920951993,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,3
202607201611,1784535117.399681,-71.75979089736938,-477.1266174316406,-316.2049865722656,6.033142830773993,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,4
202607201611,1784535117.509773,-71.64969897270203,-477.3905639648438,-315.6494750976562,6.202022894146797,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,5
202607201611,1784535117.618218,-71.5412540435791,-477.6598205566406,-315.0769348144531,6.382479591740401,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,6
202607201611,1784535117.729686,-71.42978596687317,-477.9343566894531,-314.4873046875,6.557761657177031,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,7
202607201611,1784535117.83761,-71.32186198234558,-478.213623046875,-313.8811340332031,6.7249870052512115,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,8
202607201611,1784535117.951224,-71.20824790000916,-478.494873046875,-313.2674255371094,6.724852602658807,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,9
202607201611,1784535118.058685,-71.10078692436218,-478.7907409667969,-312.6182250976562,7.571432179840175,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,10
202607201611,1784535118.16452,-70.99495196342468,-479.1131286621094,-311.9059448242188,7.910792945720228,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,11
202607201611,1784535118.275295,-70.8841769695282,-479.44189453125,-311.1748657226562,8.058533605146364,D:\data\400ms\202607201611\log\localization.log.INFO.20260720-160842.232173,12
