group_name,metric,available_count,median,p90,min,max
baseline,sensor_to_fusion_ms,7,234.97915267944336,258.4403991699219,208.3151340484619,268.6290740966797
baseline,fusion_to_prediction_ms,7,5.111112732055659,10.867830861669916,3.1923787812499995,11.984406173339835
baseline,prediction_to_planning_stop_ms,7,12.828591270141601,16.21550224274903,6.737516619750977,16.271396734619145
baseline,planning_stop_to_control_ms,7,15.681362792968741,19.749032144067385,10.004627380249019,22.42818726538087
baseline,control_to_t2_ms,7,38.223985714111336,108.7873324777588,16.555873022094715,128.06357177746582
baseline,sensor_to_control_ms,7,265.400912,291.80670560000004,241.277376,303.813488
baseline,scb_actual_wall_delay_ms,7,0.069502,7.767594000000007,0.067197,19.282224
baseline,scb_queue_depth_at_trigger,7,1.0,1.0,1.0,1.0
baseline,ground_to_detection_queue_median_ms,7,0.142528,0.42518400000000023,0.129632,0.823968
baseline,ground_to_detection_process_median_ms,7,92.399488,93.420992,88.238784,93.8432
baseline,ground_detection_completion_ratio,7,0.9760589318600368,0.9868493150684932,0.9671717171717171,1.0
baseline,target_gap_max_ms,7,117.22302436828613,290.52019119262695,112.50185966491699,297.60193824768066
baseline,target_lifecycle_p90_ms,7,250.7171630859375,270.6930160522461,221.1761236190796,279.01222705841064
baseline,target_source_age_at_outcome_ms,7,399.6150493621826,1419.9473857879648,299.6969223022461,2799.8430728912354
delay_300ms,sensor_to_fusion_ms,4,278.2024145126343,311.36505603790283,261.78693771362305,319.28515434265137
delay_300ms,fusion_to_prediction_ms,4,4.095433813110361,5.926081846057139,3.9561576348876883,6.690709657348634
delay_300ms,prediction_to_planning_stop_ms,4,9.510493508422854,11.486263896093732,8.056070758300791,11.957025848876924
delay_300ms,planning_stop_to_control_ms,4,13.599993405761722,17.017831671264652,8.609529241699192,18.005072322753904
delay_300ms,control_to_t2_ms,4,447.42085048339845,524.6901708399048,407.5667566890869,541.2560112801514
delay_300ms,sensor_to_control_ms,4,303.099764,340.909676,290.349696,352.614104
delay_300ms,scb_actual_wall_delay_ms,4,300.12364049999996,300.2666875,300.046735,300.317662
delay_300ms,scb_queue_depth_at_trigger,4,1.0,1.0,1.0,1.0
delay_300ms,ground_to_detection_queue_median_ms,4,0.131024,0.1391552,0.12256,0.141536
delay_300ms,ground_to_detection_process_median_ms,4,92.183944,92.2755008,91.93664,92.292416
delay_300ms,ground_detection_completion_ratio,4,0.9711857379767828,0.9742151431209604,0.9693877551020408,0.9750692520775623
delay_300ms,target_gap_max_ms,4,188.1411075592041,411.683464050293,115.9060001373291,507.43889808654785
delay_300ms,target_lifecycle_p90_ms,4,290.45578241348267,336.6252923011784,257.07077980041504,344.0122604370123
delay_300ms,target_source_age_at_outcome_ms,4,799.3409633636475,974.4616985321045,599.6675491333008,1006.8919658660889
