frame_index,normal_count,cruise_mlp_call_count,cruise_mlp_inference_call_count,execution_ms,thread_pool_run_ms,obstacle_ids,worker_model_distribution,same_obstacle_ids_as_f888,time_alignment_status
852,10,10,26,162.441504,134.694400,26;27;28;29;65;66;68;69;70;72,1;3;3;3,False,validated
886,10,10,26,138.637536,122.388416,26;27;28;29;69;72;73;74;77;78,1;2;3;4,True,validated
887,10,10,26,159.257024,143.418848,26;27;28;29;69;72;73;74;77;78,1;2;3;4,True,validated
888,10,10,26,269.131040,253.361792,26;27;28;29;69;72;73;74;77;78,1;2;3;4,True,validated
889,10,10,26,161.417952,142.292096,26;27;28;29;69;72;73;74;77;78,1;2;3;4,True,validated
890,10,10,26,149.527264,133.375936,26;27;28;29;69;72;73;74;77;78,1;2;3;4,True,validated
891,10,10,26,154.820928,138.832320,26;27;28;29;69;72;73;74;77;78,1;2;3;4,True,validated
