frame_index,input_perception_seq,prediction_enter_ns,prediction_exit_ns,callback_tid,execution_ms,complete
852,1487,968503751113856,968503913555360,1645397,162.441504,True
886,1521,968508502464160,968508641101696,1645396,138.637536,True
887,1522,968508641162944,968508800419968,1645396,159.257024,True
888,1523,968508800481632,968509069612672,1645396,269.13104,True
889,1525,968509069710688,968509231128640,1645396,161.417952,True
890,1526,968509236673696,968509386200960,1645404,149.527264,True
891,1527,968509386297056,968509541117984,1645404,154.820928,True
