"frame_index","trace_id","input_perception_seq","prediction_output_seq","lidar_trace_id","lidar_frame_index","lidar_data_ts_ns","callback_tid","log_tid","lidar_enter_ns","perception_output_ns","prediction_enter_ns","prediction_exit_ns","complete","execution_ms","upstream_perception_ms","dispatch_proxy_ms","lidar_to_prediction_complete_ms","perception_to_prediction_complete_ms","container_calls","container_sum_ms","container_max_ms","cyber_taskmanager_notify_task_calls","cyber_taskmanager_notify_task_sum_ms","cyber_taskmanager_notify_task_max_ms","cyber_taskmanager_notify_tasks_calls","cyber_taskmanager_notify_tasks_sum_ms","cyber_taskmanager_notify_tasks_max_ms","cyber_taskmanager_queue_enqueue_calls","cyber_taskmanager_queue_enqueue_sum_ms","cyber_taskmanager_queue_enqueue_max_ms","evaluator_calls","evaluator_sum_ms","evaluator_max_ms","perception_calls","perception_sum_ms","perception_max_ms","predictor_calls","predictor_sum_ms","predictor_max_ms","proc_calls","proc_sum_ms","proc_max_ms","semantic_adc_draw_calls","semantic_adc_draw_sum_ms","semantic_adc_draw_max_ms","semantic_base_async_draw_calls","semantic_base_async_draw_sum_ms","semantic_base_async_draw_max_ms","semantic_base_async_future_replace_calls","semantic_base_async_future_replace_sum_ms","semantic_base_async_future_replace_max_ms","semantic_base_async_lock_wait_calls","semantic_base_async_lock_wait_sum_ms","semantic_base_async_lock_wait_max_ms","semantic_base_async_schedule_calls","semantic_base_async_schedule_sum_ms","semantic_base_async_schedule_max_ms","semantic_base_async_submit_calls","semantic_base_async_submit_sum_ms","semantic_base_async_submit_max_ms","semantic_base_copy_calls","semantic_base_copy_sum_ms","semantic_base_copy_max_ms","semantic_base_image_calls","semantic_base_image_sum_ms","semantic_base_image_max_ms","semantic_draw_crosswalks_calls","semantic_draw_crosswalks_sum_ms","semantic_draw_crosswalks_max_ms","semantic_draw_junctions_calls","semantic_draw_junctions_sum_ms","semantic_draw_junctions_max_ms","semantic_draw_lanes_calls","semantic_draw_lanes_sum_ms","semantic_draw_lanes_max_ms","semantic_draw_roads_calls","semantic_draw_roads_sum_ms","semantic_draw_roads_max_ms","semantic_history_cache_copy_calls","semantic_history_cache_copy_sum_ms","semantic_history_cache_copy_max_ms","semantic_map_prepare_calls","semantic_map_prepare_sum_ms","semantic_map_prepare_max_ms","semantic_map_run_calls","semantic_map_run_sum_ms","semantic_map_run_max_ms","semantic_obstacle_history_draw_calls","semantic_obstacle_history_draw_sum_ms","semantic_obstacle_history_draw_max_ms","thread_pool_run_calls","thread_pool_run_sum_ms","thread_pool_run_max_ms","writer_calls","writer_sum_ms","writer_max_ms","all_traced_span_ms","execution_ms_p99_tail","dispatch_proxy_ms_p99_tail","upstream_perception_ms_p99_tail","lidar_to_prediction_complete_ms_p99_tail","perception_to_prediction_complete_ms_p99_tail","all_traced_span_ms_p99_tail","previous20_execution_median_ms","local_execution_jump","anomaly_categories","cruise_mlp_inference_calls","cruise_mlp_inference_sum_ms","cruise_mlp_inference_max_ms","model_cruise_mlp_calls","model_cruise_mlp_sum_ms","model_cruise_mlp_max_ms","jointly_prediction_planning_inference_calls","jointly_prediction_planning_inference_sum_ms","jointly_prediction_planning_inference_max_ms","model_jointly_prediction_planning_calls","model_jointly_prediction_planning_sum_ms","model_jointly_prediction_planning_max_ms"
"824","17293852238736786816","1459","1178","72087263672010163","851","1788865091287902215","1645390","1645390","968499571686624","968499707609344","968499715313056","968499873996800","True","158.683744","135.92272","7.703712","302.310176","166.387456","1","0.52576","0.52576","16","4.876224","4.665216","1","4.895456","4.895456","1","0.007872","0.007872","1","147.706432","147.706432","1","157.396032","157.396032","1","1.315008","1.315008","1","158.683744","158.683744","1","0.001152","0.001152","1","13.092704","13.092704","1","0.00128","0.00128","1","0.001056","0.001056","1","4.916256","4.916256","1","4.912032","4.912032","1","1.494464","1.494464","1","6.417184","6.417184","1","0.003072","0.003072","1","0.03856","0.03856","1","7.51712","7.51712","1","1.5608","1.5608","1","0.19376","0.19376","1","0.72896","0.72896","1","7.101856","7.101856","1","0.480448","0.480448","1","139.86","139.86","1","0.61232","0.61232","158.683744","True","False","False","False","False","True","140.149568","False","execution_ms;all_traced_span_ms","17","438.1201919999999","49.790912","7","485.13888","111.205408","1","90.6848","90.6848","1","139.679104","139.679104"
"825","17293852238736786817","1460","1179","72087263672010164","852","1788865091424495864","1645390","1645390","968499710939328","968499859778624","968499874071712","968499992424768","True","118.353056","148.839296","14.293088","281.48544","132.646144","1","0.70864","0.70864","16","1.35424","0.930688","1","1.3904","1.3904","1","0.012576","0.012576","1","106.634208","106.634208","1","117.17152","117.17152","1","1.086592","1.086592","1","118.353056","118.353056","1","0.001792","0.001792","1","16.3192","16.3192","1","0.001824","0.001824","1","0.017632","0.017632","1","1.42464","1.42464","1","1.418624","1.418624","1","1.970976","1.970976","1","3.40528","3.40528","1","0.004704","0.004704","1","0.051616","0.051616","1","12.771168","12.771168","1","1.93424","1.93424","1","0.346144","0.346144","1","0.896128","0.896128","1","4.549536","4.549536","1","0.7824","0.7824","1","101.169184","101.169184","1","0.357312","0.357312","118.353056","False","False","False","False","False","False","140.825952","False","","17","338.489792","37.068064","7","375.3016","86.35184","","","","","",""
"826","17293852238736786818","1461","1180","72087263672010165","853","1788865091556464445","1645404","1645404","968499851504352","968499994913856","968499995262048","968500055611712","True","60.349664","143.409504","0.348192","204.10736","60.697856","1","0.748544","0.748544","16","0.31321599999999994","0.040736","1","0.331584","0.331584","1","0.009376","0.009376","1","52.516704","52.516704","1","59.098112","59.098112","1","0.825536","0.825536","1","60.349664","60.349664","1","0.001664","0.001664","1","9.301312","9.301312","1","0.001376","0.001376","1","0.001696","0.001696","1","0.353792","0.353792","1","0.349664","0.349664","1","1.356608","1.356608","1","1.716928","1.716928","1","0.003872","0.003872","1","0.03712","0.03712","1","7.463456","7.463456","1","1.311552","1.311552","1","0.197376","0.197376","1","0.678464","0.678464","1","2.390784","2.390784","1","0.466112","0.466112","1","49.430144","49.430144","1","0.37024","0.37024","60.349664","False","False","False","False","False","False","140.825952","False","","17","70.04406399999999","11.000128","7","82.956448","17.771296","1","17.998752","17.998752","1","49.22912","49.22912"
"827","17293852238736786819","1462","1181","72087263672010166","854","1788865091695535443","1645396","1645396","968500020741792","968500144477504","968500144981760","968500300992320","True","156.01056","123.735712","0.504256","280.250528","156.514816","1","1.181056","1.181056","16","0.634272","0.130624","1","0.65952","0.65952","1","0.009184","0.009184","1","146.103648","146.103648","1","154.30944","154.30944","1","1.009632","1.009632","1","156.01056","156.01056","1","0.001184","0.001184","1","10.84592","10.84592","1","0.001696","0.001696","1","0.001536","0.001536","1","0.685312","0.685312","1","0.679104","0.679104","1","1.600256","1.600256","1","2.294784","2.294784","1","0.003808","0.003808","1","0.04576","0.04576","1","8.67488","8.67488","1","1.562656","1.562656","1","0.225312","0.225312","1","0.8664","0.8664","1","3.123744","3.123744","1","0.592288","0.592288","1","142.093856","142.093856","1","0.378784","0.378784","156.01056","True","False","False","False","False","True","140.825952","False","execution_ms;all_traced_span_ms","17","382.56441600000005","43.179168","7","421.61497599999996","96.130208","1","125.36496","125.36496","1","141.61952","141.61952"
"828","17293852238736786820","1463","1182","72087263672010167","855","1788865091862743327","1645394","1645394","968500149971520","968500305269248","968500305713952","968500460543584","True","154.829632","155.297728","0.444704","310.572064","155.274336","1","0.546752","0.546752","16","9.42672","8.95744","1","9.449568","9.449568","1","0.008192","0.008192","1","147.221696","147.221696","1","153.782816","153.782816","1","0.828768","0.828768","1","154.829632","154.829632","1","0.001344","0.001344","1","9.482976","9.482976","1","0.000992","0.000992","1","0.000832","0.000832","1","9.471296","9.471296","1","9.468","9.468","1","1.255776","1.255776","1","10.752288","10.752288","1","0.004288","0.004288","1","0.056928","0.056928","1","7.63792","7.63792","1","1.330688","1.330688","1","0.209216","0.209216","1","0.803232","0.803232","1","11.462848","11.462848","1","0.490592","0.490592","1","134.938432","134.938432","1","0.386464","0.386464","154.829632","False","False","False","False","False","False","140.825952","False","","17","416.9444800000001","44.922144","7","462.79353599999996","107.571776","1","82.490624","82.490624","1","134.771072","134.771072"
"829","17293852238736786821","1464","1183","72087263672010168","856","1788865092004171274","1645394","1645394","968500297368832","968500457335936","968500460602208","968500603847936","True","143.245728","159.967104","3.266272","306.479104","146.512","1","0.463488","0.463488","16","0.447072","0.06672","1","0.464288","0.464288","1","0.008256","0.008256","1","135.037824","135.037824","1","142.219552","142.219552","1","1.225696","1.225696","1","143.245728","143.245728","1","0.002432","0.002432","1","9.84912","9.84912","1","0.002048","0.002048","1","0.001376","0.001376","1","0.485696","0.485696","1","0.480448","0.480448","1","1.493312","1.493312","1","1.984384","1.984384","1","0.003456","0.003456","1","0.045824","0.045824","1","7.305376","7.305376","1","1.96816","1.96816","1","0.235168","0.235168","1","0.689216","0.689216","1","2.742176","2.742176","1","0.51136","0.51136","1","131.591456","131.591456","1","0.45264","0.45264","143.245728","False","False","False","False","False","False","140.825952","False","","17","390.487712","51.661216","7","441.89619200000004","106.49648","1","69.564864","69.564864","1","131.382112","131.382112"
"830","17293852238736786822","1465","1184","72087263672010169","857","1788865092139555998","1645394","1645394","968500426226304","968500580106496","968500603906144","968500724663168","True","120.757024","153.880192","23.799648","298.436864","144.556672","1","0.47456","0.47456","16","0.367104","0.049536","1","0.387648","0.387648","1","0.010208","0.010208","1","112.95168","112.95168","1","119.67712","119.67712","1","0.917856","0.917856","1","120.757024","120.757024","1","0.001728","0.001728","1","9.819872","9.819872","1","0.001536","0.001536","1","0.001888","0.001888","1","0.412288","0.412288","1","0.408032","0.408032","1","1.622816","1.622816","1","2.042432","2.042432","1","0.003872","0.003872","1","0.051648","0.051648","1","7.448096","7.448096","1","1.812384","1.812384","1","0.235328","0.235328","1","0.731904","0.731904","1","2.765248","2.765248","1","0.475968","0.475968","1","109.438368","109.438368","1","0.49152","0.49152","120.757024","False","False","False","False","False","False","140.825952","False","","17","303.3425920000001","39.840096","7","366.388128","81.95168","1","46.33856","46.33856","1","109.233344","109.233344"
"831","17293852238736786823","1466","1185","72087263672010170","858","1788865092273352187","1645394","1645394","968500561024160","968500716200608","968500724735488","968500864752288","True","140.0168","155.176448","8.53488","303.728128","148.55168","1","0.606336","0.606336","16","1.5631039999999998","1.360832","1","1.579456","1.579456","1","0.008416","0.008416","1","127.9168","127.9168","1","138.89344","138.89344","1","1.002208","1.002208","1","140.0168","140.0168","1","0.001216","0.001216","1","9.422688","9.422688","1","0.00096","0.00096","1","0.001024","0.001024","1","1.60304","1.60304","1","1.599328","1.599328","1","1.530208","1.530208","1","3.141728","3.141728","1","0.003584","0.003584","1","0.036992","0.036992","1","7.448832","7.448832","1","1.415808","1.415808","1","0.19808","0.19808","1","0.749536","0.749536","1","3.852896","3.852896","1","0.503936","0.503936","1","123.298944","123.298944","1","0.415168","0.415168","140.0168","False","False","False","False","False","False","140.825952","False","","17","374.68943999999993","48.728896","7","423.4555199999999","93.866368","1","71.10304","71.10304","1","123.110656","123.110656"
"833","17293852238736786825","1468","1187","72087263672010172","860","1788865092551327508","1645394","1645394","968500839458560","968500989573376","968500991094368","968501140371424","True","149.277056","150.114816","1.520992","300.912864","150.798048","1","0.520096","0.520096","16","3.04656","2.432032","1","3.068256","3.068256","1","0.008288","0.008288","1","138.490592","138.490592","1","148.141056","148.141056","1","1.477536","1.477536","1","149.277056","149.277056","1","0.001184","0.001184","1","9.67632","9.67632","1","0.001024","0.001024","1","0.000992","0.000992","1","3.086944","3.086944","1","3.083072","3.083072","1","1.239552","1.239552","1","4.330976","4.330976","1","0.003456","0.003456","1","0.036672","0.036672","1","7.872256","7.872256","1","1.28048","1.28048","1","0.674976","0.674976","1","0.778784","0.778784","1","6.277696","6.277696","1","1.240672","1.240672","1","131.418976","131.418976","1","0.489088","0.489088","149.277056","False","False","False","False","False","False","139.811648","False","","22","409.34419199999996","42.434752","9","458.32934400000005","82.754496","","","","","",""
"834","17293852238736786826","1469","1188","72087263672010173","861","1788865092688856325","1645398","1645398","968500982078016","968501143222432","968501143653280","968501272407712","True","128.754432","161.144416","0.430848","290.329696","129.18528","1","0.524928","0.524928","16","0.34028800000000003","0.040896","1","0.357088","0.357088","1","0.008224","0.008224","1","120.614816","120.614816","1","127.658944","127.658944","1","1.046656","1.046656","1","128.754432","128.754432","1","0.00208","0.00208","1","9.183712","9.183712","1","0.001568","0.001568","1","0.001344","0.001344","1","0.378112","0.378112","1","0.373632","0.373632","1","1.360896","1.360896","1","1.745184","1.745184","1","0.003744","0.003744","1","0.044896","0.044896","1","7.310176","7.310176","1","1.341216","1.341216","1","0.269216","0.269216","1","0.759648","0.759648","1","2.503712","2.503712","1","0.478336","0.478336","1","117.336704","117.336704","1","0.429728","0.429728","128.754432","False","False","False","False","False","False","140.35472","False","","22","384.13008","37.516192","9","440.397536","95.846464","","","","","",""
