frame_index,input_seq,callback_tid,execution_ms,callback_running_ms,callback_blocked_ms,callback_runnable_ms,unknown_ms,stack_samples_all_frame_tids,stack_samples_callback,sched_context_events
814,1449,1645387,124.967296,11.435295571573079,103.77400007564574,9.758000378496945,0.0,11,1,2366
815,1450,1645387,140.959264,10.73926396202296,125.65099995117635,4.569000098854303,0.0,12,1,2440
816,1451,1645387,139.369216,10.988215450197458,126.66700012050569,1.7140003619715571,0.0,11,1,2505
817,1452,1645387,143.212128,12.994127930141985,125.17899996601045,5.039000068791211,0.0,12,1,2421
818,1453,1645387,141.306304,10.444303741678596,130.4040002869442,0.4579999949783087,0.0,16,1,2721
819,1454,1645387,148.297408,12.941407971084118,134.05700004659593,1.2989999959245324,0.0,13,2,2658
820,1455,1645387,117.03616,9.828159702010453,106.21900006663054,0.9890001965686679,0.0,9,0,1311
821,1456,1645387,125.205984,9.528983850032091,113.92399994656444,1.7530001932755113,0.0,11,0,1818
822,1457,1645394,126.273024,11.456024250946939,113.03899995982647,1.7779998015612364,0.0,12,2,1492
823,1458,1645390,140.69264,11.785640148445964,128.5969999153167,0.3100000321865082,0.0,6,1,2033
824,1459,1645390,158.683744,11.634744121693075,139.9029999738559,7.145999930799007,0.0,10,1,2696
825,1460,1645390,118.353056,14.818056137301028,102.03499998897314,1.4999998966231942,0.0,11,1,1764
826,1461,1645404,60.349664,10.241664131172001,49.488999880850315,0.619000056758523,0.0,13,1,1542
827,1462,1645396,156.01056,12.648560456000268,142.20999972894788,1.1519998079165816,0.0,11,1,2537
828,1463,1645394,154.829632,10.443631908856332,135.15800016466528,9.227999835275114,0.0,8,1,2540
829,1464,1645394,143.245728,10.591728030703962,131.79700006730855,0.856999889947474,0.0,13,1,2399
830,1465,1645394,120.757024,10.925023932941258,109.71799993421882,0.1140000531449914,0.0,14,1,2840
831,1466,1645394,140.0168,11.232799966819584,124.39599982462823,4.388000234030187,0.0,16,1,2567
833,1468,1645394,149.277056,11.861055972985923,134.04899998567998,3.367000026628375,0.0,7,1,2183
834,1469,1645398,128.754432,10.943431756459177,116.69000005349517,1.1210001539438963,0.0,10,1,1574
835,1470,1645398,135.72672,11.894720140844584,121.04300002101809,2.788999816402793,0.0,13,1,1798
836,1471,1645394,141.074752,11.66575204115361,126.3859998434782,3.0230000847950578,0.0,13,1,1987
837,1472,1645383,139.03216,11.802159831859171,126.82300026062876,0.4069999558851123,0.0,11,1,1835
838,1473,1645386,151.692448,11.021448182873428,140.26100002229214,0.40999986231327057,0.0,10,1,1831
839,1474,1645386,147.245408,12.524408055469394,133.37100006174296,1.349999918602407,0.0,9,1,2650
840,1475,1645397,141.19088,13.278880156576633,127.54599971231073,0.3660001093521714,0.0,8,1,2197
841,1476,1645392,137.441984,13.907984015531838,122.34100000932813,1.193000003695488,0.0,10,1,2021
842,1477,1645392,137.647552,13.447552220895886,112.66600003000349,11.533999815583229,0.0,13,1,2006
860,1495,1645397,136.621728,12.130727875046432,124.19899995438755,0.29200012795627117,0.0,10,1,2052
861,1496,1645397,126.575104,12.074103811755776,111.90899997018278,2.5920001789927483,0.0,9,1,1760
877,1512,1645397,148.407456,11.7754559032619,136.51000009849668,0.12199999764561653,0.0,11,2,1932
878,1513,1645397,148.1936,11.405599885620177,135.98100014496595,0.8069999748840928,0.0,11,1,1836
879,1514,1645397,138.175136,12.358135893009603,125.30800001695752,0.5090001504868269,0.0,13,1,2182
880,1515,1645397,137.103808,12.29880831670016,124.37599978875369,0.4289998905733228,0.0,10,1,2185
881,1516,1645397,138.361088,11.79508795030415,125.77700009569526,0.788999954238534,0.0,7,1,1948
882,1517,1645397,144.717376,12.104376452043653,131.88399991486222,0.7289997301995754,0.0,10,1,2160
883,1518,1645396,143.615584,12.685584020800889,123.34699998609722,7.582999998703599,0.0,12,2,2448
900,1536,1645404,120.546816,12.91481638327241,105.28600006364286,2.3459995863959193,0.0,10,2,1801
901,1537,1645396,104.912832,11.358831892721355,93.16499996930361,0.3890000516548753,0.0,9,1,2382
