record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,system_channel,raw_json
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427739470168,1783598427.73947,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.7392924,12072,guardian,1783598426183854605,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.7392924,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12072,
    ""lidar_timestamp"": ""1783598426183854605"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120299"",
    ""parent_trace_ids"": [
      ""72334774047343603"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427749525983,1783598427.749526,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.749285,12073,guardian,1783598426183854605,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.749285,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12073,
    ""lidar_timestamp"": ""1783598426183854605"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120299"",
    ""parent_trace_ids"": [
      ""72334774047343603"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427759555205,1783598427.7595553,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.7593071,12074,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.7593071,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12074,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427769483371,1783598427.7694833,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.7692914,12075,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.7692914,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12075,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427779458737,1783598427.7794588,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.7792823,12076,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.7792823,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12076,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427789544536,1783598427.7895443,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.7893178,12077,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.7893178,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12077,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427799701697,1783598427.7997017,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.7992947,12078,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.7992947,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12078,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427810262607,1783598427.8102624,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.8092835,12079,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.8092835,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12079,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427819598540,1783598427.8195987,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.819395,12080,guardian,1783598426283329466,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.819395,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12080,
    ""lidar_timestamp"": ""1783598426283329466"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120300"",
    ""parent_trace_ids"": [
      ""72334774047343604"",
      ""216449962123199478""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
/apollo_workspace/records/202607092000_MkzExample_CarlaTown01.00000.20260709195956.record,1783598427829492593,1783598427.8294926,/apollo/guardian,apollo.guardian.GuardianCommand,1783598427.8293018,12081,guardian,1783598426383250361,0,0,/apollo/guardian,"{
  ""header"": {
    ""timestamp_sec"": 1783598427.8293018,
    ""module_name"": ""guardian"",
    ""sequence_num"": 12081,
    ""lidar_timestamp"": ""1783598426383250361"",
    ""camera_timestamp"": ""0"",
    ""radar_timestamp"": ""0"",
    ""trace_id"": ""17294099749112120301"",
    ""parent_trace_ids"": [
      ""72334774047343605"",
      ""216449962123199479""
    ]
  },
  ""control_command"": {
    ""throttle"": 0.0,
    ""brake"": 50.0,
    ""steering_rate"": 25.0,
    ""steering_target"": 0.0,
    ""is_in_safe_mode"": true
  }
}"
