record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,throttle,brake,steering_target,steering_rate,speed_target,acceleration_target,gear_location,lat_lateral_error,lat_lateral_error_rate,lat_lateral_error_feedback,lat_heading_error,lat_heading_error_rate,lat_heading_error_feedback,lat_ref_heading,lat_heading,lat_curvature,lat_ref_speed,lat_steer_angle,lat_steer_angle_limited,lat_steer_angle_feedforward,lat_steer_angle_feedback,lat_steer_angle_feedback_augment,lat_steer_angle_lateral_contribution,lat_steer_angle_lateral_rate_contribution,lat_steer_angle_heading_contribution,lat_steer_angle_heading_rate_contribution,lat_lateral_acceleration,lat_lateral_centripetal_acceleration,lat_lateral_jerk,lat_steering_position
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785256813687,1783596785.2568135,/apollo/control,apollo.control.ControlCommand,1783596785.2565382,12659,12659,control,1783596784662504469,0,0,25.09994774460797,0.0,0.11417417589519932,100.0,0.0,2.0652310771369145,GEAR_DRIVE,0.0001781944819100226,-4.2822979967097884e-05,0.0001469632956814172,-2.195668323334843e-05,-0.0002812505011664327,-0.00042393994758693765,0.0007527282650467981,0.0007307715818134497,0.00023180149143568662,1.9503391981124878,0.11417417589519932,0.11402340572588483,0.07331825290976317,0.06937026459784708,-0.028665111781725414,-0.0030080635245513104,1.142046950974317e-05,0.0717490949669536,0.0006178126859350212,4.129346897725317e-08,0.0002132434226720758,0.0,0.031106550246477127
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785266752697,1783596785.2667527,/apollo/control,apollo.control.ControlCommand,1783596785.2664878,12660,12660,control,1783596784662504469,0,0,24.338280054966514,0.0,0.11593627242873636,100.0,0.0,1.8576484834628557,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.11593627242873636,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,3.334986030074542e-06,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785277020319,1783596785.2770205,/apollo/control,apollo.control.ControlCommand,1783596785.2766206,12661,12661,control,1783596784662504469,0,0,24.342388428386826,0.0,0.12168894082285633,100.0,0.0,1.8588027619497902,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.12168894082285633,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785286700766,1783596785.2867007,/apollo/control,apollo.control.ControlCommand,1783596785.2864614,12662,12662,control,1783596784662504469,0,0,24.563832099747,0.0,0.1294938039975143,100.0,0.0,1.921019030961487,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.1294938039975143,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785297082822,1783596785.297083,/apollo/control,apollo.control.ControlCommand,1783596785.2967675,12663,12663,control,1783596784662504469,0,0,24.56828817742405,0.0,0.1361721072547239,100.0,0.0,1.9222709995808178,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.1361721072547239,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785306871719,1783596785.306872,/apollo/control,apollo.control.ControlCommand,1783596785.3066165,12664,12664,control,1783596784662504469,0,0,24.790079779016764,0.0,0.14066392170119427,100.0,0.0,1.9845850222145183,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.14066392170119427,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785316899818,1783596785.3168998,/apollo/control,apollo.control.ControlCommand,1783596785.3166454,12665,12665,control,1783596784662504469,0,0,24.79488356128901,0.0,0.14307914184265316,100.0,0.0,1.985934681061337,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.14307914184265316,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785326808492,1783596785.3268087,/apollo/control,apollo.control.ControlCommand,1783596785.3265476,12666,12666,control,1783596784662504469,0,0,25.030406078785987,0.0,0.1439956882490454,100.0,0.0,2.047413308828637,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.1439956882490454,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785336777742,1783596785.3367777,/apollo/control,apollo.control.ControlCommand,1783596785.3365383,12667,12667,control,1783596784662504469,0,0,25.036433462711916,0.0,0.14404211453031332,100.0,0.0,2.0488592077423635,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.14404211453031332,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596785346717041,1783596785.346717,/apollo/control,apollo.control.ControlCommand,1783596785.3464396,12668,12668,control,1783596784662504469,0,0,25.42573308231884,0.0,0.1437076285104836,100.0,0.0,2.1104340755765714,GEAR_DRIVE,0.00014859196246870985,-7.868550774872553e-05,9.387048625118838e-05,-3.847122907130185e-05,-0.00024590101754894567,-0.00042817042626452917,0.0007964072684214507,0.0007579360393501489,0.00022446409505833497,2.0453078746795654,0.1437076285104836,0.14265784322144165,0.06949910773479527,0.07315873548664636,0.0,-0.002006420449445642,2.297778332649241e-05,0.07455969517854369,0.0005824829742218473,7.464332927799859e-08,0.0002582319728021182,0.0,0.03425225242972374
