control_seq,control_record_time_sec,control_steering_target,control_throttle,control_brake,chassis_record_time_sec,chassis_time_delta_ms,chassis_speed_mps,chassis_steering_percentage,chassis_steering_percentage_cmd,chassis_brake_percentage,chassis_throttle_percentage,localization_record_time_sec,localization_time_delta_ms,localization_x,localization_y,localization_heading
12659,1783596785.2568135,0.11417417589519932,25.09994774460797,0.0,1783596785.265359,8.545398712158203,2.0453078746795654,0.03425225242972374,,0.0,50.19989776611328,1783596785.265506,8.692502975463867,109.43228149414062,-132.99835205078125,0.0007579360393501489
12660,1783596785.2667527,0.11593627242873636,24.338280054966514,0.0,1783596785.265359,-1.3937950134277344,2.0453078746795654,0.03425225242972374,,0.0,50.19989776611328,1783596785.265506,-1.2466907501220703,109.43228149414062,-132.99835205078125,0.0007579360393501489
12661,1783596785.2770205,0.12168894082285633,24.342388428386826,0.0,1783596785.265359,-11.661529541015625,2.0453078746795654,0.03425225242972374,,0.0,50.19989776611328,1783596785.265506,-11.514425277709961,109.43228149414062,-132.99835205078125,0.0007579360393501489
12662,1783596785.2867007,0.1294938039975143,24.563832099747,0.0,1783596785.265359,-21.341800689697266,2.0453078746795654,0.03425225242972374,,0.0,50.19989776611328,1783596785.265506,-21.1946964263916,109.43228149414062,-132.99835205078125,0.0007579360393501489
12663,1783596785.297083,0.1361721072547239,24.56828817742405,0.0,1783596785.265359,-31.723976135253906,2.0453078746795654,0.03425225242972374,,0.0,50.19989776611328,1783596785.265506,-31.576871871948242,109.43228149414062,-132.99835205078125,0.0007579360393501489
12664,1783596785.306872,0.14066392170119427,24.790079779016764,0.0,1783596785.265359,-41.51296615600586,2.0453078746795654,0.03425225242972374,,0.0,50.19989776611328,1783596785.265506,-41.365861892700195,109.43228149414062,-132.99835205078125,0.0007579360393501489
12665,1783596785.3168998,0.14307914184265316,24.79488356128901,0.0,1783596785.3662632,49.36337471008301,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,49.570322036743164,109.64160919189453,-132.9981689453125,0.0007936228313947247
12666,1783596785.3268087,0.1439956882490454,25.030406078785987,0.0,1783596785.3662632,39.45446014404297,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,39.661407470703125,109.64160919189453,-132.9981689453125,0.0007936228313947247
12667,1783596785.3367777,0.14404211453031332,25.036433462711916,0.0,1783596785.3662632,29.485464096069336,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,29.692411422729492,109.64160919189453,-132.9981689453125,0.0007936228313947247
12668,1783596785.346717,0.1437076285104836,25.42573308231884,0.0,1783596785.3662632,19.5462703704834,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,19.753217697143555,109.64160919189453,-132.9981689453125,0.0007936228313947247
12669,1783596785.3570232,0.14329717141863935,25.4355457657918,0.0,1783596785.3662632,9.239912033081055,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,9.446859359741211,109.64160919189453,-132.9981689453125,0.0007936228313947247
12670,1783596785.3670487,0.14295951215353533,25.827961150436078,0.0,1783596785.3662632,-0.7855892181396484,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,-0.5786418914794922,109.64160919189453,-132.9981689453125,0.0007936228313947247
12671,1783596785.3770535,0.14249154635442554,24.515560503374452,0.0,1783596785.3662632,-10.790348052978516,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,-10.58340072631836,109.64160919189453,-132.9981689453125,0.0007936228313947247
12672,1783596785.3872397,0.12328203700822635,23.16271645809374,0.0,1783596785.3662632,-20.976543426513672,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,-20.769596099853516,109.64160919189453,-132.9981689453125,0.0007936228313947247
12673,1783596785.3972173,0.06416949637489823,23.1671934038717,0.0,1783596785.3662632,-30.95412254333496,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,-30.747175216674805,109.64160919189453,-132.9981689453125,0.0007936228313947247
12674,1783596785.4053342,-0.01505311970955522,23.117589141716717,0.0,1783596785.3662632,-39.071083068847656,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,-38.8641357421875,109.64160919189453,-132.9981689453125,0.0007936228313947247
12675,1783596785.41525,-0.08253508131127477,23.12239668157375,0.0,1783596785.3662632,-48.98691177368164,2.147214412689209,0.04298914968967438,,0.0,50.87109375,1783596785.36647,-48.779964447021484,109.64160919189453,-132.9981689453125,0.0007936228313947247
12676,1783596785.4254713,-0.127771848938474,23.069787386051637,0.0,1783596785.464929,39.45779800415039,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,40.50874710083008,109.86106872558594,-132.998046875,0.0007675204483392761
12677,1783596785.4351196,-0.15199985673486724,23.074920524040493,0.0,1783596785.464929,29.80947494506836,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,30.860424041748047,109.86106872558594,-132.998046875,0.0007675204483392761
12678,1783596785.4470663,-0.16111874852871014,23.0226368266502,0.0,1783596785.464929,17.862796783447266,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,18.913745880126953,109.86106872558594,-132.998046875,0.0007675204483392761
12679,1783596785.4569027,-0.16149645192337275,23.028095562770876,0.0,1783596785.464929,8.026361465454102,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,9.077310562133789,109.86106872558594,-132.998046875,0.0007675204483392761
12680,1783596785.467228,-0.15807021990929596,22.976137463512412,0.0,1783596785.464929,-2.2988319396972656,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,-1.2478828430175781,109.86106872558594,-132.998046875,0.0007675204483392761
12681,1783596785.4770873,-0.1557626435528458,22.17262888615412,0.0,1783596785.464929,-12.15815544128418,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,-11.107206344604492,109.86106872558594,-132.998046875,0.0007675204483392761
12682,1783596785.4872313,-0.15823061349362127,22.095504222825987,0.0,1783596785.464929,-22.30215072631836,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,-21.251201629638672,109.86106872558594,-132.998046875,0.0007675204483392761
12683,1783596785.497112,-0.16394787747782186,22.100005631422935,0.0,1783596785.464929,-32.182931900024414,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,-31.131982803344727,109.86106872558594,-132.998046875,0.0007675204483392761
12684,1783596785.5071084,-0.1695804211292611,22.019534351447312,0.0,1783596785.464929,-42.17934608459473,2.2430953979492188,-0.04844893515110016,,0.0,46.056190490722656,1783596785.46598,-41.12839698791504,109.86106872558594,-132.998046875,0.0007675204483392761
12685,1783596785.5167716,-0.1737359045857595,22.024687881253026,0.0,1783596785.5650227,48.25115203857422,2.3327088356018066,-0.04965657740831375,,0.0,48.58599090576172,1783596785.5656316,48.86007308959961,110.08958435058594,-132.99790954589844,0.0007222468167968898
12686,1783596785.526918,-0.1762017281490263,21.942131552589256,0.0,1783596785.5650227,38.10477256774902,2.3327088356018066,-0.04965657740831375,,0.0,48.58599090576172,1783596785.5656316,38.713693618774414,110.08958435058594,-132.99790954589844,0.0007222468167968898
12687,1783596785.5370817,-0.17732003663903825,21.94758515483969,0.0,1783596785.5650227,27.940988540649414,2.3327088356018066,-0.04965657740831375,,0.0,48.58599090576172,1783596785.5656316,28.549909591674805,110.08958435058594,-132.99790954589844,0.0007222468167968898
12688,1783596785.5467525,-0.1775807117942243,21.865328898620636,0.0,1783596785.5650227,18.270254135131836,2.3327088356018066,-0.04965657740831375,,0.0,48.58599090576172,1783596785.5656316,18.879175186157227,110.08958435058594,-132.99790954589844,0.0007222468167968898
