planning_seq,planning_start,planning_pub_time,input_prediction_seq,prediction_timestamp,lidar_timestamp,planning_data_age_ms,planning_interval_ms,trajectory_point_count,first_v,first_a,decision_type
551,1788414543.151996374,1788414543.166541576,553,,1788414542931650622,234.890938,,136,11.584646734,0.074728759,cruise
552,1788414543.256638527,1788414543.273941040,554,1788414543.256331444,1788414543031841374,242.099762,107.399464,136,11.593488679,0.072854202,cruise
553,1788414543.352285862,1788414543.365396261,555,1788414543.352119207,1788414543131240807,234.155655,91.455221,136,11.599262502,0.071763973,cruise
554,1788414543.444919109,1788414543.457591534,556,1788414543.444640398,1788414543231052579,226.538897,92.195272,136,11.606370973,0.070403318,cruise
555,1788414543.539783001,1788414543.554851770,557,1788414543.539624214,1788414543331074849,223.777056,97.260237,140,11.607770221,0.070110333,cruise
556,1788414543.646310568,1788414543.664337635,558,1788414543.646194696,1788414543431554627,232.783079,109.485865,136,11.620244266,0.069504595,cruise
557,1788414543.750573874,1788414543.766868830,559,1788414543.750376463,1788414543531070390,235.798359,102.531195,136,11.627054526,0.066700344,cruise
558,1788414543.856273413,1788414543.875407219,560,1788414543.855989456,1788414543631145056,244.262218,108.538389,136,11.635008223,0.066437744,cruise
559,1788414543.959643364,1788414543.975646973,561,1788414543.958808899,1788414543731908869,243.738174,100.239754,136,11.641607331,0.065544620,cruise
560,1788414544.049847603,1788414544.064752102,562,1788414544.049698114,1788414543831266097,233.485937,89.105129,136,11.646822320,0.064591021,cruise
561,1788414544.147003651,1788414544.161870480,563,1788414544.146642923,1788414543932081102,229.789257,97.118378,136,11.653156823,0.062097116,cruise
562,1788414544.236258507,1788414544.251156807,564,1788414544.236087799,1788414544031082968,220.073700,89.286327,139,11.655630980,0.061902564,cruise
563,1788414544.340308428,1788414544.361552954,565,1788414544.340143204,1788414544130965691,230.587244,110.396147,139,11.661767265,0.060824010,cruise
564,1788414544.452260256,1788414544.473051310,566,1788414544.452039957,1788414544231278352,241.772890,111.498356,136,11.671197285,0.056874576,cruise
565,1788414544.544362545,1788414544.557239294,567,1788414544.544157267,1788414544332231380,225.007772,84.187984,136,11.676798225,0.055142077,cruise
566,1788414544.644565105,1788414544.658523083,568,1788414544.644291639,1788414544431634726,226.888418,101.283789,136,11.682256460,0.054025298,cruise
567,1788414544.740270376,1788414544.754012823,569,1788414544.740054846,1788414544531291829,222.720861,95.489740,139,11.684396764,0.053611115,cruise
568,1788414544.842536449,1788414544.859790802,570,1788414544.842288733,1788414544631366475,228.424311,105.777979,136,11.692862173,0.052107753,cruise
569,1788414544.940084696,1788414544.955576658,571,1788414544.939834356,1788414544731995167,223.581553,95.785856,139,11.694903183,0.051241757,cruise
570,1788414545.040057659,1788414545.055106163,572,1788414545.039940357,1788414544831102457,224.003792,99.529505,139,11.699939711,0.049488805,cruise
