"kind","name","bytes","sha256"
"archive","raw_bundle.tar.gz","1426671620","253f41a81f08c1f6d1f290e4043b0b75ed7df19f8ab96c57ee16f4643f8be852"
"part","raw_bundle.tar.gz.part001","1426671620","253f41a81f08c1f6d1f290e4043b0b75ed7df19f8ab96c57ee16f4643f8be852"
