frame_index,worker_model_count,worker_tid,cpu,running_ms
814,1,1646942,0,0.3400000277906656
814,1,1646942,1,0.9030000073835254
814,1,1646942,8,6.448503932915628
814,1,1646942,9,2.275640144944191
814,1,1646942,10,1.844000187702477
814,1,1646942,11,1.3200000394135714
814,2,1646954,0,2.015999867580831
814,2,1646954,1,0.6735359784215689
814,2,1646954,2,0.16799999866634607
814,2,1646954,8,6.041800254024565
814,2,1646954,9,2.436999580822885
814,2,1646954,10,2.550000208429992
814,2,1646954,11,3.513999981805682
814,2,1646955,1,0.9429999627172947
814,2,1646955,2,0.4579999949783087
814,2,1646955,8,1.026999787427485
814,2,1646955,9,5.8453838573768735
814,2,1646955,10,10.419567697681487
814,2,1646955,11,2.8959999326616526
814,2,1646957,0,0.43000001460313797
814,2,1646957,1,0.20000000949949026
814,2,1646957,8,6.869631935842335
814,2,1646957,9,2.8285918524488807
814,2,1646957,10,2.462999662384391
814,2,1646957,11,3.2170400954782963
815,1,1646953,0,2.093999763019383
815,1,1646953,1,2.5690000038594007
815,1,1646953,2,1.8779999809339643
815,1,1646953,3,4.161999793723226
815,1,1646953,8,0.8303440408781171
815,1,1646953,9,0.8619999280199409
815,1,1646953,10,1.5209998236969113
815,1,1646953,11,0.25800010189414024
815,2,1646960,0,3.082999959588051
815,2,1646960,1,2.711000037379563
815,2,1646960,2,3.0507921474054456
815,2,1646960,3,2.2609999869018793
815,2,1646960,8,1.4000883093103766
815,2,1646960,9,0.15400000847876072
815,2,1646960,10,1.7148640472441912
815,2,1646960,11,2.8979998314753175
815,2,1646946,0,2.7569999219849706
815,2,1646946,1,4.862999776378274
815,2,1646946,2,1.5829999465495348
815,2,1646946,3,0.9619999909773469
815,2,1646946,8,1.118999789468944
815,2,1646946,9,3.867352264933288
815,2,1646946,10,1.0520719224587083
815,2,1646946,11,7.591760135255754
815,2,1646958,0,0.4430001135915518
815,2,1646958,1,3.1529994448646903
815,2,1646958,2,2.4989998200908303
815,2,1646958,3,2.8640003874897957
815,2,1646958,8,2.411648165434599
815,2,1646958,9,2.5920000625774264
815,2,1646958,10,1.7366156680509448
815,2,1646958,11,3.1444313935935497
816,1,1646952,0,3.908999846316874
816,1,1646952,1,3.911000327207148
816,1,1646952,2,2.4260003119707108
816,1,1646952,3,1.5975520946085453
816,1,1646952,8,2.0000002114102244
816,1,1646952,10,0.502711976878345
816,2,1646961,0,2.1639999467879534
816,2,1646961,1,2.0908962469547987
816,2,1646961,2,6.262999842874706
816,2,1646961,3,2.3572073550894856
816,2,1646961,9,3.782623913139105
816,2,1646961,10,0.3090000245720148
816,2,1646961,11,1.3590001035481691
816,2,1646955,0,2.6179999113082886
816,2,1646955,1,9.367088321596384
816,2,1646955,2,3.2799997134134173
816,2,1646955,3,7.4609925504773855
816,2,1646955,8,0.9739999659359455
816,2,1646955,9,0.5029999883845448
816,2,1646955,11,0.22599997464567423
816,2,1646945,0,0.3939999733120203
