"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"814","7","7","17","124.967296","112.12144","26;27;28;29;64;65;66;67","968498352331104","968498477298400","968498.7614953681","968499.0864626641","True"
"815","7","7","17","140.959264","125.7712","26;27;28;29;64;65;66;67","968498477355808","968498618315072","968498.8865200721","968499.2274793361","True"
"816","7","7","17","139.369216","126.198464","26;27;28;29;64;65;66;67","968498618372480","968498757741696","968499.0275367441","968499.36690596","True"
"817","7","7","17","143.212128","129.708352","26;27;28;29;64;65;66;67","968498757808608","968498901020736","968499.1669728721","968499.510185","True"
"818","7","7","17","141.306304","128.685568","26;27;28;29;64;65;66;67","968498901091712","968499042398016","968499.310255976","968499.65156228","True"
"819","7","7","17","148.297408","132.652832","26;27;28;29;64;65;66;67","968499042463936","968499190761344","968499.4516282001","968499.7999256081","True"
"820","7","7","17","117.03616","106.272704","26;27;28;29;64;65;66","968499190828096","968499307864256","968499.5999923601","968499.91702852","True"
"821","7","7","17","125.205984","112.297696","26;27;28;29;64;65;66","968499307932960","968499433138944","968499.7170972241","968500.042303208","True"
"822","7","7","17","126.273024","112.460416","26;27;28;29;64;65;66","968499439248960","968499565521984","968499.8484132241","968500.1746862481","True"
"823","7","7","17","140.69264","128.177696","26;27;28;29;64;65;66","968499574530336","968499715222976","968499.9836946","968500.3243872401","True"
"824","7","7","17","158.683744","139.86","26;27;28;29;64;65;66;68","968499715313056","968499873996800","968500.1244773201","968500.4831610641","True"
"825","7","7","17","118.353056","101.169184","26;27;28;29;64;65;66","968499874071712","968499992424768","968500.2832359761","968500.6015890321","True"
"826","7","7","17","60.349664","49.430144","26;27;28;29;64;65;66;68","968499995262048","968500055611712","968500.4044263121","968500.6647759761","True"
"827","7","7","17","156.01056","142.093856","26;27;28;29;64;65;66;68","968500144981760","968500300992320","968500.554146024","968500.910156584","True"
"828","7","7","17","154.829632","134.938432","26;27;28;29;64;65;66;68","968500305713952","968500460543584","968500.7148782162","968501.069707848","True"
"829","7","7","17","143.245728","131.591456","26;27;28;29;64;65;66;68","968500460602208","968500603847936","968500.8697664721","968501.2130122001","True"
"830","7","7","17","120.757024","109.438368","26;27;28;29;64;65;66;68","968500603906144","968500724663168","968501.0130704081","968501.333827432","True"
"831","7","7","17","140.0168","123.298944","26;27;28;29;64;65;66;68","968500724735488","968500864752288","968501.133899752","968501.473916552","True"
