dimension,metric,source_column,unit,semantics,group_name,n_total_runs,n_available_runs,p50,p90,p95,p99,max,iqr
R,physical reaction,T_e2e_data_observed_ms,ms,t1 to t2,single_run_1643_descriptive,1,1,893.8701152801514,893.8701152801514,893.8701152801514,893.8701152801514,893.8701152801514,0.0
A,target data age at t2,data_age_target_at_t2_data_observed_ms,ms,latest source represented before t2,single_run_1643_descriptive,1,1,394.22011375427246,394.22011375427246,394.22011375427246,394.22011375427246,394.22011375427246,0.0
G,target output gap in response window,update_gap_target_response_window_max_data_observed_ms,ms,maximum of four within-window gaps,single_run_1643_descriptive,1,1,99.26295280456543,99.26295280456543,99.26295280456543,99.26295280456543,99.26295280456543,0.0
