record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,point_count,measurement_time
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596813422524800,1783596813.422525,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.3623624,0,,1783596813362362419,0,0,5933,1783596813.3623624
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596813514325476,1783596813.5143256,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.4626842,0,,1783596813462684182,0,0,5878,1783596813.4626842
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596813590854733,1783596813.5908546,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.5630288,0,,1783596813563028807,0,0,5928,1783596813.5630288
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596813690171421,1783596813.6901715,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.6623235,0,,1783596813662323494,0,0,5942,1783596813.6623235
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596813794102448,1783596813.7941024,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.763326,0,,1783596813763326004,0,0,5963,1783596813.763326
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596813890205713,1783596813.8902056,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.862574,0,,1783596813862574135,0,0,5902,1783596813.862574
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814004003793,1783596814.0040038,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596813.9623895,0,,1783596813962389523,0,0,5928,1783596813.9623895
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814123851431,1783596814.1238515,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.0621886,0,,1783596814062188562,0,0,6018,1783596814.0621886
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814195555179,1783596814.195555,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.162413,0,,1783596814162412885,0,0,5923,1783596814.162413
/apollo_workspace/records/202607091933_MkzExample_CarlaTown01.00000.20260709193304.record,1783596814294264274,1783596814.2942643,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783596814.2623148,0,,1783596814262314751,0,0,5961,1783596814.2623148
