event_type,collision_seq,wall_time_unix_ns,wall_time_iso,carla_frame,carla_timestamp_sec,map_name,ego_actor_id,ego_type_id,ego_role_name,other_actor_id,other_type_id,other_role_name,other_semantic_tags,normal_impulse_x,normal_impulse_y,normal_impulse_z,normal_impulse_norm,ego_location_x,ego_location_y,ego_location_z,ego_rotation_roll,ego_rotation_pitch,ego_rotation_yaw,ego_velocity_x,ego_velocity_y,ego_velocity_z,ego_speed_mps,other_location_x,other_location_y,other_location_z
CARLA_COLLISION,1,1783598434283022616,2026-07-09T20:00:34.283025+08:00,1462,147.33987338468432,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.unknown,,[22],-28247.384765625,586.9571533203125,19085.626953125,34095.75370909036,343.24993896484375,132.21026611328125,0.13247132301330566,0.02253400906920433,0.6671455502510071,-2.4496467113494873,18.734086990356445,-0.7923806309700012,0.2864755392074585,18.7530251069299,0.0,0.0,0.0
CARLA_COLLISION,2,1783598436382933539,2026-07-09T20:00:36.382937+08:00,1483,149.43987341597676,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.unknown,,[22],-4624.08251953125,96.08457946777344,3124.307373046875,5581.457511718694,343.5879211425781,132.16835021972656,0.12194356322288513,0.6141356229782104,-0.6504798531532288,-2.916748523712158,2.515045642852783,-0.10289036482572556,-0.4948486089706421,2.56532963936546,0.0,0.0,0.0
CARLA_COLLISION,3,1783598436583119115,2026-07-09T20:00:36.583121+08:00,1485,149.639873418957,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.unknown,,[22],-8.060623168945312,0.1674930304288864,5.446239948272705,9.729503037727143,343.57489013671875,132.1689453125,0.06426770985126495,0.6828108429908752,-2.917262315750122,-2.9463202953338623,-0.5580947995185852,0.019987430423498154,-0.8044155836105347,0.979261831064655,0.0,0.0,0.0
CARLA_COLLISION,4,1783598436585621446,2026-07-09T20:00:36.585622+08:00,1485,149.639873418957,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.sidewalk,,[2],64.10256958007812,2.7617645263671875,644.8557739257812,648.0399184737666,343.5307312011719,132.17245483398438,0.016294917091727257,0.2791946232318878,-4.433591842651367,-2.943878173828125,-0.016493897885084152,0.001584480400197208,-0.045274198055267334,0.04821112169541137,0.0,0.0,0.0
CARLA_COLLISION,5,1783598436586048415,2026-07-09T20:00:36.586049+08:00,1485,149.639873418957,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.sidewalk,,[2],62.98073196411133,2.7134318351745605,633.5703125,636.6987326769287,343.5307312011719,132.17245483398438,0.016294917091727257,0.2791946232318878,-4.433591842651367,-2.943878173828125,-0.016493897885084152,0.001584480400197208,-0.045274198055267334,0.04821112169541137,0.0,0.0,0.0
CARLA_COLLISION,6,1783598436683709320,2026-07-09T20:00:36.683711+08:00,1486,149.7398734204471,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.unknown,,[22],-42.72696304321289,0.8878307342529297,28.868896484375,51.573198451660176,343.5307312011719,132.17245483398438,0.016294917091727257,0.2791946232318878,-4.433591842651367,-2.943878173828125,-0.016493897885084152,0.001584480400197208,-0.045274198055267334,0.04821112169541137,0.0,0.0,0.0
CARLA_COLLISION,7,1783598436686703500,2026-07-09T20:00:36.686704+08:00,1486,149.7398734204471,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.sidewalk,,[2],0.12690410017967224,0.005467476323246956,1.2766233682632446,1.282927031570989,343.53057861328125,132.17247009277344,0.018597392365336418,0.28414127230644226,-4.532165050506592,-2.944366693496704,0.01254894956946373,-0.00046591460704803467,0.03754841163754463,0.03959263098381442,0.0,0.0,0.0
CARLA_COLLISION,8,1783598436687078603,2026-07-09T20:00:36.687079+08:00,1486,149.7398734204471,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.sidewalk,,[2],6.174040794372559,0.265999436378479,62.10929870605469,62.41597969421498,343.53057861328125,132.17247009277344,0.018597392365336418,0.28414127230644226,-4.532165050506592,-2.944366693496704,0.01254894956946373,-0.00046591460704803467,0.03754841163754463,0.03959263098381442,0.0,0.0,0.0
CARLA_COLLISION,9,1783598436783483600,2026-07-09T20:00:36.783485+08:00,1487,149.83987342193723,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.unknown,,[22],-44.53961181640625,0.925495982170105,30.093629837036133,53.761139499993114,343.53057861328125,132.17247009277344,0.018597392365336418,0.28414127230644226,-4.532165050506592,-2.944366693496704,0.01254894956946373,-0.00046591460704803467,0.03754841163754463,0.03959263098381442,0.0,0.0,0.0
CARLA_COLLISION,10,1783598436786434961,2026-07-09T20:00:36.786435+08:00,1487,149.83987342193723,Carla/Maps/Town01,197,vehicle.lincoln.mkz_2017,hero,0,static.sidewalk,,[2],0.22882355749607086,0.009858525358140469,2.301907539367676,2.313273812324244,343.5303039550781,132.1724090576172,0.02368791587650776,0.29541006684303284,-4.748661518096924,-2.945618152618408,-0.00023373126168735325,-0.0002597451093606651,-0.007626604754477739,0.007634605288130435,0.0,0.0,0.0
