record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,radar_object_index,obstacle_id,longitude_dist,lateral_dist,longitude_vel,lateral_vel,rcs,raw_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,10,0,-35.02233693144191,-133.28420902942756,-0.0067128112645017946,-1.7824145511072331,0.0,"{
  ""longitude_dist"": -35.02233693144191,
  ""lateral_dist"": -133.28420902942756,
  ""longitude_vel"": -0.0067128112645017946,
  ""lateral_vel"": -1.7824145511072331
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,11,0,-68.8279866888945,-132.92406465707552,0.0031542905775200115,-1.8152261984774138,0.0,"{
  ""longitude_dist"": -68.8279866888945,
  ""lateral_dist"": -132.92406465707552,
  ""longitude_vel"": 0.0031542905775200115,
  ""lateral_vel"": -1.8152261984774138
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,12,0,-72.05578662391443,-132.91453685688683,0.003847725257262557,-1.8106443529985914,0.0,"{
  ""longitude_dist"": -72.05578662391443,
  ""lateral_dist"": -132.91453685688683,
  ""longitude_vel"": 0.003847725257262557,
  ""lateral_vel"": -1.8106443529985914
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,13,0,-88.48198848368791,-132.98937445734583,-0.001599701465266751,4.418809601184392,0.0,"{
  ""longitude_dist"": -88.48198848368791,
  ""lateral_dist"": -132.98937445734583,
  ""longitude_vel"": -0.001599701465266751,
  ""lateral_vel"": 4.418809601184392
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,14,0,-67.22365052950688,-132.93249157832227,0.002691888899859781,-1.8160636740135518,0.0,"{
  ""longitude_dist"": -67.22365052950688,
  ""lateral_dist"": -132.93249157832227,
  ""longitude_vel"": 0.002691888899859781,
  ""lateral_vel"": -1.8160636740135518
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,15,0,-82.87890549905799,-132.95401374088325,0.0027950934554485762,-1.8128302007076114,0.0,"{
  ""longitude_dist"": -82.87890549905799,
  ""lateral_dist"": -132.95401374088325,
  ""longitude_vel"": 0.0027950934554485762,
  ""lateral_vel"": -1.8128302007076114
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,16,0,-67.69497189493117,-132.8828553715691,0.004760193185536176,-1.8023566328060274,0.0,"{
  ""longitude_dist"": -67.69497189493117,
  ""lateral_dist"": -132.8828553715691,
  ""longitude_vel"": 0.004760193185536176,
  ""lateral_vel"": -1.8023566328060274
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,17,0,-72.02763604753422,-132.90516414691592,0.004270879443636909,-1.8072291215465226,0.0,"{
  ""longitude_dist"": -72.02763604753422,
  ""lateral_dist"": -132.90516414691592,
  ""longitude_vel"": 0.004270879443636909,
  ""lateral_vel"": -1.8072291215465226
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,18,0,-72.14841129318017,-132.92619666654338,0.0033217842834747176,-1.8141869889997604,0.0,"{
  ""longitude_dist"": -72.14841129318017,
  ""lateral_dist"": -132.92619666654338,
  ""longitude_vel"": 0.0033217842834747176,
  ""lateral_vel"": -1.8141869889997604
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,19,0,-88.60628020141121,-132.97805435176525,-0.0038239798724045864,4.41270805608361,0.0,"{
  ""longitude_dist"": -88.60628020141121,
  ""lateral_dist"": -132.97805435176525,
  ""longitude_vel"": -0.0038239798724045864,
  ""lateral_vel"": 4.41270805608361
}"
