group_name,nominal_injected_delay_ms,run_id,run_directory,analysis_status,target_id,physical_target_id_chain,target_association_method,target_association_confidence,t_sensor_origin_s,t_perception_stable_output_s,t_prediction_first_s,t_planning_stop_s,t_planning_decel_s,t_control_brake_command_s,t_brake_effective_s,t_stop_s,t_near_stop_s,t_minimum_speed_s,stop_event_status,braking_endpoint_type,t_collision_s,t_end_s,t1_speed_mps,brake_start_speed_mps,D1_center_m,D1_euclidean_center_m,D1_clear_m,D1_lateral_offset_m,geometry_offset_m,geometry_method,sensor_to_perception_ms,sensor_to_prediction_ms,sensor_to_planning_stop_ms,sensor_to_planning_output_ms,sensor_to_control_ms,perception_to_prediction_ms,prediction_to_planning_stop_ms,planning_stop_to_control_ms,control_to_effective_brake_ms,actual_e2e_latency_ms,raw_brake_onset_latency_ms,brake_onset_attribution,D_delay_m,D_delay_path_m,D_delay_constant_speed_m,D_delay_approx_error_m,clearance_at_brake_start_m,empirical_braking_distance_m,empirical_braking_path_length_m,empirical_braking_distance_method,braking_duration_s,mean_deceleration_mps2,peak_deceleration_mps2,deceleration_p10_mps2,deceleration_p50_mps2,deceleration_p90_mps2,max_abs_braking_jerk_mps3,effective_deceleration_mps2,k_distance_per_speed_squared,final_clearance_m,collision,collision_with_target,impact_speed_mps,collision_impulse_norm,distance_braked_before_collision_m,time_braked_before_collision_s,scb_log_present,scb_lifecycle_complete,scb_requested_delay_ms,scb_actual_wall_delay_ms,scb_actual_sim_delay_ms,scb_actual_frame_delay,scb_trigger_relative_t1_s,scb_activation_speed_mps,scb_brake_threshold_percentage,scb_first_brake_percentage,scb_queue_depth_at_trigger,map_name,map_source,fixed_delta_seconds,pointcloud_count_configured,pointcloud_count_source,localization_median_interval_ms,localization_frequency_hz,perception_detection_count,perception_gap_count,max_perception_gap_ms,target_id_switch_count,target_missing_duration_ms,target_static_classification_status,fusion_lifecycle_mean_ms,fusion_lifecycle_p90_ms,fusion_lifecycle_p99_ms,fusion_lifecycle_max_ms,fusion_lifecycle_over_500ms_count,planning_primal_infeasible_count,planning_speed_fallback_count,planning_constant_deceleration_fallback_count,planning_first_speed_fallback_s,planning_first_speed_fallback_source_line,clock_alignment_status,clock_alignment_p95_residual_ms,speed_condition_in_window,source_perception_file,source_planning_file,source_localization_file,source_scb_file,source_collision_file,data_quality_notes,D_brake_required_m,D_brake_required_at_D1_speed_m,D_margin_m,D_margin_source,M_space_m,M_safety_6m_m,M_collision_0m_m,M_at_brake_start_m,M_space_consistency_error_m,T_deadline_s,T_collision_deadline_s,M_time_s,M_time_from_space_s,measured_added_delay_ms,phase_matched_added_delay_ms,matched_baseline_run_id,D_saved_counterfactual_m,M_space_counterfactual_m,M_safety_6m_counterfactual_m,M_collision_0m_counterfactual_m,counterfactual_safe,counterfactual_collision_avoided,counterfactual_confidence,counterfactual_distance_method
baseline,0.0,202607171703,D:\data\baseline\202607171703,ANALYZED,250,"[""250""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784279046.475361,1784279046.702601,1784279046.7100933,1784279046.71886,1784279046.721992,1784279046.7348816,1784279046.803499,1784279049.220944,1784279049.220944,1784279051.068441,AVAILABLE,MINIMUM_SPEED_PROXY,,1784279056.0,15.584623343000933,15.805458260007956,44.76751560603502,44.791426697555096,39.46011560603502,-1.440243665964337,5.3074,longitudinal projection with calibrated combined center-to-contact offset,227.23984718322754,234.73216000000002,243.4988021850586,249.315712,259.520544,7.492312816772483,8.766642185058572,16.02174181494138,68.61733060327151,328.1378746032715,328.1378746032715,DIRECT_AFTER_CONTROL,5.172561902368942,4.733189614149379,5.113905180264858,-0.058656722104084125,34.28755370366608,22.72244264377112,25.14674227481708,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,4.264941930770874,6.40622037796717,22.057708836453635,2.7217272155397656,4.416100905543287,15.257411146441719,156.78569555532044,5.497043489673734,0.09095798513132675,12.018671765700372,False,False,,,,,True,True,0.0,12.381738,0.0,0.0,-37.16485834121704,10.0,10.0,19.145859982569107,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,106.55808448791504,9.384553080188036,53,0,151.41797065734863,0,0.0,STATIC,1358.0379988424588,2967.0769214630127,3101.8774890899663,3171.3833808898926,346,223,19,19,1784279046.720651,385272,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\baseline\202607171703\log\perception.log.INFO.20260717-170128.398545,D:\data\baseline\202607171703\log\planning.log.INFO.20260717-170122.398540,D:\data\baseline\202607171703\log\localization.log.INFO.20260717-170121.398524,D:\data\baseline\202607171703\log\scb_control_delay_20260717170059_182057.csv,,[],25.473001057768474,24.766152923017756,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,2.814552645897603,2.814552645897603,8.814552645897603,2.814552645897603,0.0,0.5578551686282317,0.9428500361939341,0.22971729402496022,0.1805980538606742,-14.007091522216797,-14.007091522216797,,-0.21829524550469037,2.5962574003929126,2.5962574003929126,8.596257400392913,True,True,MEDIUM,
baseline,0.0,202607171706,D:\data\baseline\202607171706,ANALYZED,17,"[""17""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784279265.798708,1784279266.034558,1784279266.0423553,1784279266.053215,1784279266.056934,1784279266.0609686,1784279266.150907,,1784279271.487874,1784279271.487874,MISSING,MINIMUM_SPEED_PROXY,,1784279275.0,16.362334078749104,16.276229115163034,44.667605219045214,44.67456822219734,39.36020521904521,0.4325835351027172,5.3074,longitudinal projection with calibrated combined center-to-contact offset,235.85009574890137,243.64744000000002,254.50706481933594,260.9412,262.260624,7.79734425109865,10.85962481933592,7.75355918066407,89.93845360620116,352.1990776062012,352.1990776062012,DIRECT_AFTER_CONTROL,5.769261313990739,4.9173143203770335,5.762798970019946,-0.00646234397079315,33.59094390505447,27.395764053258638,31.21135996774251,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,5.3369669914245605,4.9614179774695035,21.580717952287152,0.7311497658770659,4.018434252451117,9.42806380637374,167.54754149336816,4.834974372210837,0.10341316447792676,7.047515613773142,False,False,,,,,True,True,0.0,7.2418,0.0,0.0,-40.17157864570618,10.0,10.0,14.5,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.29112339019775,9.06691281457086,52,0,141.61396026611328,0,0.0,STATIC,741.8331519748559,2386.26446723938,2915.2796602249146,2945.882558822632,198,187,35,35,1784279240.197873,157600,LIMITED_NO_DUAL_CLOCK_HISTORY,,False,D:\data\baseline\202607171706\log\perception.log.INFO.20260717-170531.449410,D:\data\baseline\202607171706\log\planning.log.INFO.20260717-170527.449376,D:\data\baseline\202607171706\log\localization.log.INFO.20260717-170526.449355,D:\data\baseline\202607171706\log\scb_control_delay_20260717170504_090856.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",27.01304353646187,27.29960985785794,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,0.577900368592605,0.577900368592605,6.577900368592605,0.577900368592605,0.0,0.3703991943948013,0.7370950442120114,0.018200116788600118,0.0353189444617907,10.05411148071289,10.05411148071289,,0.16370262185105938,0.7416029904436643,0.7416029904436643,6.741602990443664,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
baseline,0.0,202607171721,D:\data\baseline\202607171721,ANALYZED,13,"[""13""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784280146.853629,1784280147.082135,1784280147.0903406,1784280147.104425,1784280147.107455,1784280147.1209853,1784280147.183501,,1784280152.494276,1784280152.494276,MISSING,MINIMUM_SPEED_PROXY,,1784280154.0,15.697547483340998,15.580507035902432,45.31703187066853,45.56237841834037,40.00963187066853,-4.718381094461468,5.3074,longitudinal projection with calibrated combined center-to-contact offset,228.50584983825684,236.711544,250.79584121704102,256.6358,267.356152,8.205694161743168,14.084297217041012,16.560310782958993,62.51574092907714,329.87189292907715,329.87189292907715,DIRECT_AFTER_CONTROL,5.179271349533202,4.712723257763308,5.1781797026737655,-0.0010916468594368567,34.830360521135326,24.402370609809033,27.744229532593607,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,5.3107750415802,3.4782367158358882,22.08198429893115,0.048117701575721795,1.6513350629166546,9.372537755260229,143.34925164940483,4.973947068040717,0.10052378788119162,10.995613454331728,False,False,,,,,True,True,0.0,7.08344,0.0,0.0,-33.717885971069336,10.0,10.0,14.5,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.2060079574585,9.073915465534492,63,0,166.52297973632812,0,0.0,STATIC,497.84129329563416,1411.8539333343506,1787.7387142181396,1796.7627048492432,121,211,18,18,1784280147.106153,295514,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\baseline\202607171721\log\perception.log.INFO.20260717-172029.633871,D:\data\baseline\202607171721\log\planning.log.INFO.20260717-172026.633866,D:\data\baseline\202607171721\log\localization.log.INFO.20260717-172025.633858,D:\data\baseline\202607171721\log\scb_control_delay_20260717172005_930750.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",24.753071871823614,25.126357814086568,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,4.077288649311711,4.077288649311711,10.077288649311711,4.077288649311711,0.0,0.5659020344425983,0.9481273474328914,0.2360301415135212,0.25974048835582303,-12.273073196411133,-12.273073196411133,,-0.19265714926718341,3.8846315000445277,3.8846315000445277,9.884631500044527,True,True,MEDIUM,
baseline,0.0,202607171726,D:\data\baseline\202607171726,ANALYZED,12,"[""12""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784280441.275289,1784280441.517201,1784280441.5209594,1784280441.52986,1784280441.533104,1784280441.5479574,1784280441.608542,,1784280444.228317,1784280446.01091,MISSING,MINIMUM_SPEED_PROXY,,1784280451.0,15.493531909930631,15.407070573314398,45.43128187528055,45.630451752728035,40.123881875280546,-4.254758576118464,5.3074,longitudinal projection with calibrated combined center-to-contact offset,241.9118881225586,245.67040000000003,254.57096099853516,260.6616,272.668384,3.7585118774414354,8.900560998535127,18.097423001464847,60.5845227993164,333.2529067993164,333.2529067993164,DIRECT_AFTER_CONTROL,5.1702312584786245,4.657068388077828,5.163264545572348,-0.006966712906276484,34.95365061680192,22.394971748384613,25.49485540478993,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,4.402368068695068,5.839796960703725,20.362097590035255,2.5211684274320163,4.197001043807756,9.558569400054655,150.466893114195,5.299801810828649,0.09434315052657084,13.143413516777443,False,False,,,,,True,True,0.0,0.141043,0.0,0.0,-34.62356400489807,10.0,10.0,15.544573114335364,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.79907417297363,9.025346172467588,51,0,156.92377090454102,0,0.0,STATIC,624.4002060223651,1691.2045478820803,1996.9727897644043,2017.9316997528076,174,225,19,19,1784280426.106594,180439,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\baseline\202607171726\log\perception.log.INFO.20260717-172527.690616,D:\data\baseline\202607171726\log\planning.log.INFO.20260717-172521.690611,D:\data\baseline\202607171726\log\localization.log.INFO.20260717-172519.690603,D:\data\baseline\202607171726\log\scb_control_delay_20260717172500_598692.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",24.205054956521817,24.477484888178413,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,4.748595660280106,4.748595660280106,10.748595660280106,4.748595660280106,0.0,0.6226080046292893,1.009866380245651,0.28935509782997293,0.3064889069764963,-8.892059326171875,-8.892059326171875,,-0.13776940491504022,4.610826255365065,4.610826255365065,10.610826255365065,True,True,MEDIUM,
baseline,0.0,202607171735,D:\data\baseline\202607171735,ANALYZED,15,"[""15""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784280947.595634,1784280947.83283,1784280947.8361688,1784280947.84769,1784280947.850768,1784280947.8631296,1784280947.946671,,1784280954.250248,1784280954.250248,MISSING,MINIMUM_SPEED_PROXY,,1784280955.0,15.607818442513645,15.525764210029958,45.545669309653874,45.73393023234247,40.23826930965387,-4.141078540596689,5.3074,longitudinal projection with calibrated combined center-to-contact offset,237.1959686279297,240.534792,252.05612182617188,257.86212,267.495688,3.3388233720703226,11.521329826171865,15.439566173828098,83.54133745166018,351.03702545166016,351.03702545166016,DIRECT_AFTER_CONTROL,5.485995612916829,4.69092230434909,5.478922159849553,-0.0070734530672762475,34.75227369673704,25.399782397432656,29.62985228086969,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,6.303576946258545,3.2348200015000264,21.15823261443561,0.055477331550929494,0.10840961005129705,8.606032813547577,171.8232594366529,4.7451066811070755,0.10537170892085097,10.250798290084258,False,False,,,,,True,True,0.0,12.38394,0.0,0.0,-35.960721015930176,10.0,10.0,14.875921665216246,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,113.97290229797363,8.774015400481552,67,1,219.28906440734863,0,219.28906440734863,STATIC,480.7949733734131,1217.443704605103,1679.549617767334,1744.6951866149902,115,207,15,15,1784280947.849422,272592,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\baseline\202607171735\log\perception.log.INFO.20260717-173350.811046,D:\data\baseline\202607171735\log\planning.log.INFO.20260717-173343.811042,D:\data\baseline\202607171735\log\localization.log.INFO.20260717-173341.811034,D:\data\baseline\202607171735\log\scb_control_delay_20260717173319_704830.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",24.57943534259311,24.83992831787043,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,4.172838354143931,4.172838354143931,10.17283835414393,4.172838354143931,0.0,0.6021559660242841,0.9865786848109653,0.25111894057262396,0.26735564419289165,8.892059326171875,8.892059326171875,,0.13810694361775458,4.310945297761685,4.310945297761685,10.310945297761686,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
baseline,0.0,202607171738,D:\data\baseline\202607171738,ANALYZED,15,"[""15""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784281122.816522,1784281123.064935,1784281123.0690968,1784281123.078025,1784281123.080928,1784281123.0870051,1784281123.183965,,1784281129.871896,1784281129.871896,MISSING,MINIMUM_SPEED_PROXY,,1784281130.0,15.383641659949928,15.378049304036937,45.9117907058258,46.06013432699411,40.6043907058258,-3.68959566750966,5.3074,longitudinal projection with calibrated combined center-to-contact offset,248.4130859375,252.575016,261.5032196044922,267.041192,270.483144,4.161930062500005,8.928203604492182,8.979924395507794,96.9599407167969,367.4430847167969,367.4430847167969,DIRECT_AFTER_CONTROL,5.673569200279811,4.635114791560472,5.652612745709828,-0.020956454569983407,34.93082150554599,26.937785002425418,31.052874746874426,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,6.687931060791016,4.231111146415467,21.116624060164423,0.061800172273919665,3.333298724092072,10.481052530334035,218.94065502647004,4.389455190471272,0.11390935282479045,9.151699725437002,False,False,,,,,True,True,0.0,7.225818,0.0,0.0,-34.802605867385864,10.0,10.0,14.5,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.67342758178711,9.035592570411763,65,0,162.05286979675293,0,0.0,STATIC,682.9298162674155,1852.5111675262451,2206.6481471061707,2231.7333221435547,175,196,23,23,1784281104.10031,159469,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\baseline\202607171738\log\perception.log.INFO.20260717-173638.839282,D:\data\baseline\202607171738\log\planning.log.INFO.20260717-173633.839222,D:\data\baseline\202607171738\log\localization.log.INFO.20260717-173631.839191,D:\data\baseline\202607171738\log\scb_control_delay_20260717173609_387550.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",24.11395394875869,24.13149561878996,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,4.816867556787301,4.816867556787301,10.816867556787301,4.816867556787301,0.0,0.6807812687356843,1.0708059542183497,0.31333818401888747,0.3131162089746037,25.298118591308594,25.298118591308594,,0.3893882970974231,5.206255853884724,5.206255853884724,11.206255853884723,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
delay_100ms,100.0,202607181815,D:\data\100ms\202607181815,ANALYZED,18,"[""18""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784369761.488446,1784369761.782611,1784369761.786802,1784369761.802977,1784369761.807996,1784369761.815354,1784369761.968432,,1784369764.247501,1784369765.474833,MISSING,MINIMUM_SPEED_PROXY,,1784369770.0,15.221941554997487,15.226471965574504,46.88664836168929,47.0750152106582,41.57924836168929,-4.205869836702794,5.3074,longitudinal projection with calibrated combined center-to-contact offset,294.16489601135254,298.356024,314.5310878753662,322.869816,326.908184,4.191127988647452,16.17506387536622,12.377096124633795,153.07776837731933,479.98595237731934,479.98595237731934,DIRECT_AFTER_CONTROL,7.334863379340801,6.1169224045955035,7.306318114307363,-0.028545265033438127,34.244384982348485,20.940225455800178,23.877209483121106,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,3.5064010620117188,6.739055059273087,20.76172112199422,3.238845894253887,4.138094158238159,17.79327772672225,220.42436552411795,5.535887113722743,0.09031976081314323,14.589318142286025,False,False,,,,,True,True,100.0,105.507752,100.00000149011612,1.0,-34.56745505332947,10.0,10.0,14.5,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.49199104309082,9.050429723997006,70,0,139.64509963989258,0,0.0,STATIC,764.1138808293776,2056.1726331710815,2412.9730081558228,2426.17130279541,189,229,19,19,1784369761.80611,274413,LIMITED_NO_DUAL_CLOCK_HISTORY,,False,D:\data\100ms\202607181815\log\perception.log.INFO.20260718-181305.61806,D:\data\100ms\202607181815\log\planning.log.INFO.20260718-181259.61732,D:\data\100ms\202607181815\log\localization.log.INFO.20260718-181257.61710,D:\data\100ms\202607181815\log\scb_control_delay_20260718181238_626853.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",23.64092709459037,23.626861174010383,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,4.603457887758115,4.603457887758115,10.603457887758115,4.603457887758115,0.0,0.7852077965543652,1.1793756481600068,0.3052218441770459,0.3024225175957769,137.84098625183105,112.54286766052246,202607171738,2.1091888405208037,6.712646728278918,6.712646728278918,12.71264672827892,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
delay_100ms,100.0,202607181818,D:\data\100ms\202607181818,ANALYZED,12,"[""12""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784369939.143924,1784369939.399197,1784369939.4036887,1784369939.428944,1784369939.435781,1784369939.4417589,1784369939.601659,,1784369942.005835,1784369943.783178,MISSING,MINIMUM_SPEED_PROXY,,1784369949.0,15.546095289848829,15.408749465898575,45.82985488220513,45.89836925267862,40.52245488220513,-2.5009516558437115,5.3074,longitudinal projection with calibrated combined center-to-contact offset,255.27310371398926,259.76464,285.020112991333,295.501344,297.834944,4.491536286010728,25.255472991333022,12.814831008667,159.9001176455078,457.7350616455078,457.7350616455078,DIRECT_AFTER_CONTROL,7.120603884852146,6.2245683418616355,7.115992885845892,-0.004610999006254168,33.40185099735299,21.752301141365816,24.958111465905453,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,4.181519031524658,6.269927768054504,20.43592395591268,2.5198906754035995,4.226468177944228,16.260344879347976,140.05418263861165,5.457573397862621,0.09161580862949414,12.580214197943018,False,False,,,,,True,True,100.0,107.348537,100.00000149011612,1.0,-39.51743769645691,10.0,10.0,14.5,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.53550243377686,9.04686709683264,52,0,143.3258056640625,0,0.0,STATIC,451.90881415614933,1206.447696685791,1570.3785967826843,1656.8443775177002,118,167,34,34,1784369913.182276,137990,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\100ms\202607181818\log\perception.log.INFO.20260718-181651.98652,D:\data\100ms\202607181818\log\planning.log.INFO.20260718-181643.98619,D:\data\100ms\202607181818\log\localization.log.INFO.20260718-181642.98592,D:\data\100ms\202607181818\log\scb_control_delay_20260718181620_407815.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",24.2103304436686,24.64385132269731,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,3.191520553684388,3.191520553684388,9.191520553684388,3.191520553684388,0.0,0.635439534836653,1.0213885392736601,0.17770447319114524,0.20529403005578917,115.59009552001953,106.69803619384766,202607171735,1.7918206063839188,4.983341160068306,4.983341160068306,10.983341160068306,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
delay_100ms,100.0,202607181844,D:\data\100ms\202607181844,ANALYZED,14,"[""14""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784371518.867334,1784371519.107397,1784371519.1125658,1784371519.122186,1784371519.125821,1784371519.132988,1784371519.307311,,1784371521.681334,1784371523.963749,MISSING,MINIMUM_SPEED_PROXY,,1784371528.0,15.548264630397634,15.464887491870547,45.452342208768684,45.63073709233517,40.14494220876868,-4.027401988430159,5.3074,longitudinal projection with calibrated combined center-to-contact offset,240.06319046020508,245.23177600000002,254.8520565032959,261.51766399999997,265.654144,5.168585539794947,9.620280503295874,10.802087496704075,174.32302503686526,439.97716903686523,439.97716903686523,DIRECT_AFTER_CONTROL,6.853864084103051,6.234072166885872,6.840881455518373,-0.01298262858467858,33.29107812466563,21.8849315970626,24.8859697266305,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,4.656437873840332,6.363603044530031,22.000698302532918,3.017384934975657,4.209668340313824,13.303131262310533,118.675210159328,5.464096245297713,0.09150644087396695,12.101626982721264,False,False,,,,,True,True,100.0,100.078097,100.00000149011612,1.0,-34.084375858306885,15.0,20.0,20.14977731931738,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,110.65495014190674,9.037101356221068,54,0,146.6379165649414,0,0.0,STATIC,691.6510445891686,1884.6486568450925,2171.7283248901367,2193.648099899292,174,224,19,19,1784371519.124375,258106,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\100ms\202607181844\log\perception.log.INFO.20260718-184341.6113,D:\data\100ms\202607181844\log\planning.log.INFO.20260718-184337.6089,D:\data\100ms\202607181844\log\localization.log.INFO.20260718-184336.6078,D:\data\100ms\202607181844\log\scb_control_delay_20260718184314_084417.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",24.38706068046003,24.650729530374505,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,2.9040174442056,2.9040174442056,8.9040174442056,2.9040174442056,0.0,0.6106284465876994,0.996523602261195,0.1706512775508342,0.18677437728504445,97.83220291137695,106.72426223754883,202607171726,1.5194238301192333,4.4234412743248335,4.4234412743248335,10.423441274324833,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
delay_100ms,100.0,202607181854,D:\data\100ms\202607181854,ANALYZED,11,"[""11""]",Planning STOP目标与静态连续Fusion目标一致,MEDIUM_HIGH,1784372086.891295,1784372087.16148,1784372087.1658788,1784372087.17822,1784372087.181732,1784372087.1860068,1784372087.377981,,1784372089.953308,1784372091.69226,MISSING,MINIMUM_SPEED_PROXY,,1784372096.0,15.759506113397176,15.692512069119381,45.30878575201302,45.53955810844932,40.00138575201302,-4.5483696089277945,5.3074,longitudinal projection with calibrated combined center-to-contact offset,270.1849937438965,274.58390399999996,286.9250774383545,293.218432,294.711904,4.398910256103477,12.34117343835453,7.786826561645512,191.97408728723144,486.68599128723145,486.68599128723145,DIRECT_AFTER_CONTROL,7.678781440166285,6.313554699783151,7.669930854995889,-0.008850585170395497,32.32260431184674,22.27494793066471,27.46716845604498,3-D Localization displacement from effective brake onset to post-t2 minimum-speed sample,4.314279079437256,5.8970863745990485,19.445877565335042,2.533391222672326,3.9509399875179803,15.682570352644381,147.76440358273453,5.5276208906520425,0.09045482855844328,11.49892227387106,False,False,,,,,True,True,100.0,100.902508,100.00000149011612,1.0,-27.98173427581787,15.0,20.0,20.227000907366897,1.0,Town04,user_fixed_experiment_condition,0.1,1300000,user_fixed_experiment_condition; raw count not archived in run directory,119.96853351593018,8.33551907898594,43,0,164.38603401184082,0,0.0,STATIC,621.2040286077071,1807.0719718933103,2321.0236263275146,2350.961446762085,106,233,23,23,1784372087.180298,221544,LIMITED_NO_DUAL_CLOCK_HISTORY,,True,D:\data\100ms\202607181854\log\perception.log.INFO.20260718-185132.100650,D:\data\100ms\202607181854\log\planning.log.INFO.20260718-185126.100644,D:\data\100ms\202607181854\log\localization.log.INFO.20260718-185124.100632,D:\data\100ms\202607181854\log\scb_control_delay_20260718185102_211620.csv,,"[""STRICT_STOP_HOLD_NOT_MET_MINIMUM_SPEED_PROXY_USED_FOR_BRAKING_DISTANCE""]",25.110240477669812,25.325098039566043,6.0,analysis fallback required by the current experiment plan; runtime planning stop distance was not archived,1.2123638341769265,1.2123638341769265,7.2123638341769265,1.2123638341769265,0.0,0.5505431229898287,0.931265713966166,0.06385713170259721,0.076929050025641,144.54102516174316,156.8140983581543,202607171721,2.27939852593648,3.4917623601134067,3.4917623601134067,9.491762360113407,True,True,MEDIUM,trapezoidal integration over pre-brake speed history
