run_id,group_name,sensor_to_perception_ms,perception_to_prediction_ms,prediction_to_planning_stop_ms,planning_stop_to_control_ms,control_to_effective_brake_ms,actual_e2e_latency_ms
202607171703,baseline,227.23984718322754,7.492312816772483,8.766642185058572,16.02174181494138,68.61733060327151,328.1378746032715
202607171706,baseline,235.85009574890137,7.79734425109865,10.85962481933592,7.75355918066407,89.93845360620116,352.1990776062012
202607171721,baseline,228.50584983825684,8.205694161743168,14.084297217041012,16.560310782958993,62.51574092907714,329.87189292907715
202607171726,baseline,241.9118881225586,3.7585118774414354,8.900560998535127,18.097423001464847,60.5845227993164,333.2529067993164
202607171735,baseline,237.1959686279297,3.3388233720703226,11.521329826171865,15.439566173828098,83.54133745166018,351.03702545166016
202607171738,baseline,248.4130859375,4.161930062500005,8.928203604492182,8.979924395507794,96.9599407167969,367.4430847167969
202607181815,delay_100ms,294.16489601135254,4.191127988647452,16.17506387536622,12.377096124633795,153.07776837731933,479.98595237731934
202607181818,delay_100ms,255.27310371398926,4.491536286010728,25.255472991333022,12.814831008667,159.9001176455078,457.7350616455078
202607181844,delay_100ms,240.06319046020508,5.168585539794947,9.620280503295874,10.802087496704075,174.32302503686526,439.97716903686523
202607181854,delay_100ms,270.1849937438965,4.398910256103477,12.34117343835453,7.786826561645512,191.97408728723144,486.68599128723145
202607181955,delay_100ms,241.87397956848145,4.138628431518555,17.663320115844726,18.056199884155262,184.7598096373291,466.4919376373291
202607181958,delay_100ms,259.42492485046387,4.17202714953612,11.930048427246106,16.696383572753916,158.4635476101074,450.6869316101074
202607182007,delay_300ms,292.65499114990234,4.5296328500976415,13.240419106079116,19.98729289392088,319.84453617712404,650.256872177124
202607182012,delay_300ms,260.68997383117676,5.998762168823248,8.26319881445312,11.711969185546877,,
202607182017,delay_300ms,242.10095405578613,4.5492459442138795,9.744663128662097,12.865832871337886,372.5883449851074,641.8490409851074
202607182021,delay_300ms,238.00301551818848,3.828272481811524,24.693742136108398,17.732945863891587,379.50197082312013,663.7599468231201
202607182026,delay_300ms,273.0519771575928,7.416262842407264,11.377796911010705,9.343899088989247,381.075107258667,682.265043258667
202607182029,delay_300ms,236.73200607299805,3.356545927001946,9.996325014160163,16.026490985839814,390.3436719780274,656.4550399780273
202607191727,delay_400ms,283.27202796936035,3.7970840306396667,11.095732512939435,11.658763487060583,499.4443897416992,809.2679977416992
202607191734,delay_400ms,263.7219429016113,3.9027530983886436,7.0742767020263955,14.460987297973588,,
202607191739,delay_400ms,814.0850067138672,3.4098812861327588,6.596308060180718,12.117995939819366,496.5919115919189,1332.801103591919
202607201555,delay_400ms,347.3169803619385,4.753763638061514,7.284228839355478,16.244219160644548,516.7588726514892,892.3580646514893
202607201611,delay_400ms,271.9290256500244,3.9450703499755946,16.771835243896476,9.943108756103527,608.0359409265136,910.6249809265137
