run_id,group_name,nominal_injected_delay_ms,t1_speed_mps,D1_center_m,D1_clear_m,D1_lateral_offset_m,fixed_delta_seconds,map_name,pointcloud_count_configured,speed_condition_in_window
202607171703,baseline,0.0,15.584623343000933,44.76751560603502,39.46011560603502,-1.440243665964337,0.1,Town04,1300000,True
202607171706,baseline,0.0,16.362334078749104,44.667605219045214,39.36020521904521,0.4325835351027172,0.1,Town04,1300000,False
202607171721,baseline,0.0,15.697547483340998,45.31703187066853,40.00963187066853,-4.718381094461468,0.1,Town04,1300000,True
202607171726,baseline,0.0,15.493531909930631,45.43128187528055,40.123881875280546,-4.254758576118464,0.1,Town04,1300000,True
202607171735,baseline,0.0,15.607818442513645,45.545669309653874,40.23826930965387,-4.141078540596689,0.1,Town04,1300000,True
202607171738,baseline,0.0,15.383641659949928,45.9117907058258,40.6043907058258,-3.68959566750966,0.1,Town04,1300000,True
202607181815,delay_100ms,100.0,15.221941554997487,46.88664836168929,41.57924836168929,-4.205869836702794,0.1,Town04,1300000,False
202607181818,delay_100ms,100.0,15.546095289848829,45.82985488220513,40.52245488220513,-2.5009516558437115,0.1,Town04,1300000,True
202607181844,delay_100ms,100.0,15.548264630397634,45.452342208768684,40.14494220876868,-4.027401988430159,0.1,Town04,1300000,True
202607181854,delay_100ms,100.0,15.759506113397176,45.30878575201302,40.00138575201302,-4.5483696089277945,0.1,Town04,1300000,True
202607181955,delay_100ms,100.0,16.588696214411325,44.229094951604814,38.92169495160481,-0.034817825996295536,0.1,Town04,1300000,False
202607181958,delay_100ms,100.0,15.390509411505654,45.340943285473244,40.03354328547324,-4.808849434101244,0.1,Town04,1300000,True
202607182007,delay_300ms,300.0,16.697465277356272,44.5135922744009,39.2061922744009,-0.035466558780431645,0.1,Town04,1300000,False
202607182012,delay_300ms,300.0,15.634231248477413,45.92854267976368,40.62114267976368,0.401411323921065,0.1,Town04,1300000,True
202607182017,delay_300ms,300.0,16.4874383911507,45.50505426280505,40.197654262805045,0.832806783261851,0.1,Town04,1300000,False
202607182021,delay_300ms,300.0,16.53761193501559,45.62109433034056,40.31369433034056,0.6846515763925206,0.1,Town04,1300000,False
202607182026,delay_300ms,300.0,14.768547172157003,45.79184858910491,40.48444858910491,0.3324129827511151,0.1,Town04,1300000,False
202607182029,delay_300ms,300.0,15.249347291250235,46.274748221716095,40.967348221716094,0.12196739466904871,0.1,Town04,1300000,False
202607191727,delay_400ms,400.0,15.665205869054772,44.74187465712616,39.43447465712616,0.08189787963195427,0.1,Town04,1300000,True
202607191734,delay_400ms,400.0,15.164059720826309,45.41333359580508,40.10593359580508,3.055218311642544,0.1,Town04,1300000,False
202607191739,delay_400ms,400.0,17.33576230373031,44.16140441001601,38.85400441001601,0.14189635981447424,0.1,Town04,1300000,False
202607201555,delay_400ms,400.0,16.138151239747437,44.87905414845961,39.57165414845961,0.6567839805634093,0.1,Town04,1300000,False
202607201611,delay_400ms,400.0,15.993071036592054,45.04050836615297,39.73310836615297,0.3816671019182156,0.1,Town04,1300000,False
