run_id,group_name,stable_frames,brake_decel_threshold_mps2,D_margin_m,margin_role,t1_s,t2_s,actual_e2e_latency_ms,M_space_m,M_space_counterfactual_m,rt_only_margin_condition,classification_sensitivity,onset_status
202607171703,baseline,2,0.3,0.0,collision_avoidance_boundary,1784279046.475361,1784279046.803499,328.1378746032715,8.814552645897603,8.596257400392913,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.3,5.0,safety_margin_sensitivity,1784279046.475361,1784279046.803499,328.1378746032715,3.814552645897603,3.5962574003929126,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.3,6.0,six_meter_safety_boundary,1784279046.475361,1784279046.803499,328.1378746032715,2.814552645897603,2.5962574003929126,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.3,8.0,safety_margin_sensitivity,1784279046.475361,1784279046.803499,328.1378746032715,0.8145526458976029,0.5962574003929125,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.3,10.0,safety_margin_sensitivity,1784279046.475361,1784279046.803499,328.1378746032715,-1.185447354102397,-1.4037425996070874,False,SAFE_MARGIN_LOSS,AVAILABLE
202607171703,baseline,2,0.5,0.0,collision_avoidance_boundary,1784279046.475361,1784279046.803499,328.1378746032715,8.814552645897603,8.596257400392913,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.5,5.0,safety_margin_sensitivity,1784279046.475361,1784279046.803499,328.1378746032715,3.814552645897603,3.5962574003929126,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.5,6.0,six_meter_safety_boundary,1784279046.475361,1784279046.803499,328.1378746032715,2.814552645897603,2.5962574003929126,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.5,8.0,safety_margin_sensitivity,1784279046.475361,1784279046.803499,328.1378746032715,0.8145526458976029,0.5962574003929125,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,0.5,10.0,safety_margin_sensitivity,1784279046.475361,1784279046.803499,328.1378746032715,-1.185447354102397,-1.4037425996070874,False,SAFE_MARGIN_LOSS,AVAILABLE
202607171703,baseline,2,1.0,0.0,collision_avoidance_boundary,1784279046.475361,1784279046.911397,436.0358715057373,8.220473898932141,8.002178653427451,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,1.0,5.0,safety_margin_sensitivity,1784279046.475361,1784279046.911397,436.0358715057373,3.2204738989321413,3.002178653427451,False,SAFE_MARGIN_POSITIVE,AVAILABLE
202607171703,baseline,2,1.0,6.0,six_meter_safety_boundary,1784279046.475361,1784279046.911397,436.0358715057373,2.2204738989321413,2.002178653427451,False,SAFE_MARGIN_POSITIVE,AVAILABLE
