record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,total_time_ms,task_index,task_name,task_time_ms
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540834727454,1783598540.8347275,/apollo/control,apollo.control.ControlCommand,1783598540.8344016,6638,6638,control,1783598540618515479,0,0,0.8453729999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540844587832,1783598540.8445878,/apollo/control,apollo.control.ControlCommand,1783598540.8443253,6639,6639,control,1783598540618515479,0,0,0.790365,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540854722801,1783598540.8547227,/apollo/control,apollo.control.ControlCommand,1783598540.8544693,6640,6640,control,1783598540618515479,0,0,0.847708,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540864717995,1783598540.8647182,/apollo/control,apollo.control.ControlCommand,1783598540.8644166,6641,6641,control,1783598540618515479,0,0,0.868189,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540874735493,1783598540.8747356,/apollo/control,apollo.control.ControlCommand,1783598540.8744583,6642,6642,control,1783598540618515479,0,0,0.8932760000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540884627552,1783598540.8846273,/apollo/control,apollo.control.ControlCommand,1783598540.8844292,6643,6643,control,1783598540618515479,0,0,0.8722530000000001,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540894731641,1783598540.8947315,/apollo/control,apollo.control.ControlCommand,1783598540.894481,6644,6644,control,1783598540618515479,0,0,0.945276,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540904711315,1783598540.9047115,/apollo/control,apollo.control.ControlCommand,1783598540.9044206,6645,6645,control,1783598540618515479,0,0,0.8935329999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540914807469,1783598540.9148076,/apollo/control,apollo.control.ControlCommand,1783598540.9145217,6646,6646,control,1783598540618515479,0,0,0.982908,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540924792071,1783598540.924792,/apollo/control,apollo.control.ControlCommand,1783598540.9244964,6647,6647,control,1783598540618515479,0,0,0.9502039999999999,-1,,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540934577346,1783598540.9345775,/apollo/control,apollo.control.ControlCommand,1783598540.9342875,6648,6648,control,1783598540618515479,0,0,0.7475809999999999,-1,,
