record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,point_kind,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,input_trajectory_header_timestamp_sec,input_trajectory_header_sequence_num,input_trajectory_header_module_name,input_trajectory_header_lidar_timestamp,input_trajectory_header_camera_timestamp,input_trajectory_header_radar_timestamp,latest_replan_trajectory_header_timestamp_sec,latest_replan_trajectory_header_sequence_num,latest_replan_trajectory_header_module_name,latest_replan_trajectory_header_lidar_timestamp,latest_replan_trajectory_header_camera_timestamp,latest_replan_trajectory_header_radar_timestamp,input_localization_header_timestamp_sec,input_localization_header_sequence_num,input_localization_header_module_name,input_localization_header_lidar_timestamp,input_localization_header_camera_timestamp,input_localization_header_radar_timestamp,input_canbus_header_timestamp_sec,input_canbus_header_sequence_num,input_canbus_header_module_name,input_canbus_header_lidar_timestamp,input_canbus_header_camera_timestamp,input_canbus_header_radar_timestamp,point_relative_time,point_s,point_x,point_y,point_z,point_theta,point_kappa,point_dkappa,point_ddkappa,point_v,point_a,point_da,point_steer
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540594720302,1783598540.5947204,/apollo/control,apollo.control.ControlCommand,1783598540.5944066,6614,6614,lon_preview_reference_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.73964066136244,-132.99851644328749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540594720302,1783598540.5947204,/apollo/control,apollo.control.ControlCommand,1783598540.5944066,6614,6614,lat_current_target_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,110.54624791906348,-132.99812377836884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604679208,1783598540.604679,/apollo/control,apollo.control.ControlCommand,1783598540.6042902,6615,6615,lon_current_matched_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.13181299977352,-132.99903802342504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604679208,1783598540.604679,/apollo/control,apollo.control.ControlCommand,1783598540.6042902,6615,6615,lon_current_reference_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.25943536176722,-132.99894114440374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604679208,1783598540.604679,/apollo/control,apollo.control.ControlCommand,1783598540.6042902,6615,6615,lon_preview_reference_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.73964066136244,-132.99851644328749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604679208,1783598540.604679,/apollo/control,apollo.control.ControlCommand,1783598540.6042902,6615,6615,lat_current_target_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,110.54624791906348,-132.99812377836884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614648194,1783598540.6146483,/apollo/control,apollo.control.ControlCommand,1783598540.6143613,6616,6616,lon_current_matched_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.13181299977352,-132.99903802342504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614648194,1783598540.6146483,/apollo/control,apollo.control.ControlCommand,1783598540.6143613,6616,6616,lon_current_reference_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.30540871964213,-132.99890534588448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614648194,1783598540.6146483,/apollo/control,apollo.control.ControlCommand,1783598540.6143613,6616,6616,lon_preview_reference_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,109.79009814904084,-132.99846968637203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614648194,1783598540.6146483,/apollo/control,apollo.control.ControlCommand,1783598540.6143613,6616,6616,lat_current_target_point,control,1783598540418404946,0,0,1783598540.5669887,242,planning,1783598540418404946,0,0,1783598538.2644048,219,planning,1783598538118371365,0,0,1783598540.5214887,664,localization,0,0,0,1783598540.5183544,0,carla_bridge,0,0,0,0.0,0.0,110.54624791906348,-132.99812377836884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
