control_seq,control_record_time_sec,control_steering_target,control_throttle,control_brake,chassis_record_time_sec,chassis_time_delta_ms,chassis_speed_mps,chassis_steering_percentage,chassis_steering_percentage_cmd,chassis_brake_percentage,chassis_throttle_percentage,localization_record_time_sec,localization_time_delta_ms,localization_x,localization_y,localization_heading
6612,1783598540.5750878,0.1103801370436887,24.459618122643814,0.0,1783598540.62098,45.89223861694336,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,246.08612060546875,109.73590850830078,-132.998291015625,0.0007243805934846748
6613,1783598540.584503,0.11057407342168696,24.464125204823308,0.0,1783598540.62098,36.477088928222656,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,236.67097091674805,109.73590850830078,-132.998291015625,0.0007243805934846748
6614,1783598540.5947204,0.11118841681295667,24.694185510837432,0.0,1783598540.62098,26.259660720825195,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,226.4535427093506,109.73590850830078,-132.998291015625,0.0007243805934846748
6615,1783598540.604679,0.11182387808429305,24.69905396110626,0.0,1783598540.62098,16.30091667175293,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,216.49479866027832,109.73590850830078,-132.998291015625,0.0007243805934846748
6616,1783598540.6146483,0.11230570827576851,24.929475635209716,0.0,1783598540.62098,6.331682205200195,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,206.5255641937256,109.73590850830078,-132.998291015625,0.0007243805934846748
6617,1783598540.6253371,0.11262917554527242,24.205927225910383,0.0,1783598540.62098,-4.357099533081055,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,195.83678245544434,109.73590850830078,-132.998291015625,0.0007243805934846748
6618,1783598540.6522765,0.112862866083276,24.209998601551135,0.0,1783598540.62098,-31.296491622924805,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,168.8973903656006,109.73590850830078,-132.998291015625,0.0007243805934846748
6619,1783598540.6522915,0.11302876389218977,24.435810554221288,0.0,1783598540.62098,-31.311511993408203,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,168.8823699951172,109.73590850830078,-132.998291015625,0.0007243805934846748
6620,1783598540.6577618,0.11312346336523615,24.440237189534912,0.0,1783598540.62098,-36.78178787231445,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,163.41209411621094,109.73590850830078,-132.998291015625,0.0007243805934846748
6621,1783598540.664593,0.11316373675360221,24.444663824848536,0.0,1783598540.62098,-43.61295700073242,1.9660189151763916,0.033691711723804474,,0.0,49.858951568603516,1783598540.821174,156.58092498779297,109.73590850830078,-132.998291015625,0.0007243805934846748
