record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,control_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,lon_station_reference,lon_station_error,lon_preview_station_error,lon_speed_reference,lon_speed_error,lon_preview_speed_reference,lon_preview_speed_error,lon_acceleration_reference,lon_acceleration_cmd,lon_current_speed,lon_current_acceleration,lon_current_station,lon_path_remain,lon_throttle_cmd,lon_brake_cmd,lon_slope_offset
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540575087929,1783598540.5750878,/apollo/control,apollo.control.ControlCommand,1783598540.5745652,6612,6612,control,1783598540418404946,0,0,-0.18389348725078794,0.08164838720077958,0.557351742390156,2.2634381850729914,0.38971006280852616,2.4904627128226333,0.616734590558168,1.1748425225803223,1.9039521745697416,1.8737280367417797,-0.006824607029051997,-0.2655418744515675,33.228849987198025,24.459618122643814,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540584502933,1783598540.584503,/apollo/control,apollo.control.ControlCommand,1783598540.5842454,6613,6613,control,1783598540418404946,0,0,-0.18389348725078794,0.08164838720077958,0.557351742390156,2.2634381850729914,0.38971006280852616,2.4904627128226333,0.616734590558168,1.1748425225803223,1.9051702937904877,1.8737280367417797,-0.006824607029051997,-0.2655418744515675,33.228849987198025,24.464125204823308,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540594720302,1783598540.5947204,/apollo/control,apollo.control.ControlCommand,1783598540.5944066,6614,6614,control,1783598540418404946,0,0,-0.13792011543809096,0.12762175901347655,0.6078092517324183,2.286798897828645,0.4130707755641796,2.5119530117776057,0.6382248895131404,1.170304491013528,1.9673481883852681,1.8737280367417797,-0.006824607029051997,-0.2655418744515675,33.228849987198025,24.694185510837432,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604679208,1783598540.604679,/apollo/control,apollo.control.ControlCommand,1783598540.6042902,6615,6615,control,1783598540418404946,0,0,-0.13792011543809096,0.12762175901347655,0.6078092517324183,2.286798897828645,0.4130707755641796,2.5119530117776057,0.6382248895131404,1.170304491013528,1.9686639737673688,1.8737280367417797,-0.006824607029051997,-0.2655418744515675,33.228849987198025,24.69905396110626,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614648194,1783598540.6146483,/apollo/control,apollo.control.ControlCommand,1783598540.6143613,6616,6616,control,1783598540418404946,0,0,-0.09194674362539396,0.17359513082617356,0.6582667610746806,2.3101596105842988,0.43643148831983347,2.533443310732578,0.6597151884681127,1.1657664594467336,2.0309395345235046,1.8737280367417797,-0.006824607029051997,-0.2655418744515675,33.228849987198025,24.929475635209716,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540625337114,1783598540.6253371,/apollo/control,apollo.control.ControlCommand,1783598540.6247551,6617,6617,control,1783598540418404946,0,0,-0.04597337181269698,0.027964259984202766,0.5171200277622752,2.333520323339952,0.3675013050574454,2.5549336096875503,0.5889145914050435,1.1612284278799394,1.8316974371093973,1.9660189142462219,-0.00184811861166836,-0.07393763179689974,33.03724574454336,24.205927225910383,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652276467,1783598540.6522765,/apollo/control,apollo.control.ControlCommand,1783598540.6342592,6618,6618,control,1783598540418404946,0,0,-0.04597337181269698,0.027964259984202766,0.5171200277622752,2.333520323339952,0.3675013050574454,2.5549336096875503,0.5889145914050435,1.1612284278799394,1.8328167195805602,1.9660189142462219,-0.00184811861166836,-0.07393763179689974,33.03724574454336,24.209998601551135,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652291475,1783598540.6522915,/apollo/control,apollo.control.ControlCommand,1783598540.6447573,6619,6619,control,1783598540418404946,0,0,2.907316167868219e-08,0.07393766087006143,0.5675775371045374,2.35688105437563,0.390862036093123,2.5764239086425227,0.6104048903600159,1.1566903974699188,1.8948958256873545,1.9660189142462219,-0.00184811861166836,-0.07393763179689974,33.03724574454336,24.435810554221288,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540657761726,1783598540.6577618,/apollo/control,apollo.control.ControlCommand,1783598540.652193,6620,6620,control,1783598540418404946,0,0,2.907316167868219e-08,0.07393766087006143,0.5675775371045374,2.35688105437563,0.390862036093123,2.5764239086425227,0.6104048903600159,1.1566903974699188,1.896112774392156,1.9660189142462219,-0.00184811861166836,-0.07393763179689974,33.03724574454336,24.440237189534912,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540664592900,1783598540.664593,/apollo/control,apollo.control.ControlCommand,1783598540.6643395,6621,6621,control,1783598540418404946,0,0,2.907316167868219e-08,0.07393766087006143,0.5675775371045374,2.35688105437563,0.390862036093123,2.5764239086425227,0.6104048903600159,1.1566903974699188,1.8973297230969575,1.9660189142462219,-0.00184811861166836,-0.07393763179689974,33.03724574454336,24.444663824848536,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540674914173,1783598540.6749141,/apollo/control,apollo.control.ControlCommand,1783598540.6746156,6622,6622,control,1783598540518354552,0,0,-0.19308186361853152,0.12220812677469434,0.6201645885737735,2.379299326274036,0.41328030799152904,2.5975240264457127,0.6315050081632059,1.1423796050898651,1.959059550708473,1.9660189142462219,-0.00184811861166836,-0.31528999039322586,33.74759917151215,24.669205281469523,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540682524416,1783598540.6825244,/apollo/control,apollo.control.ControlCommand,1783598540.682165,6623,6623,control,1783598540518354552,0,0,-0.19308186361853152,0.12220812677469434,0.6201645885737735,2.379299326274036,0.41328030799152904,2.5975240264457127,0.6315050081632059,1.1423796050898651,1.9603727165085123,1.9660189142462219,-0.00184811861166836,-0.31528999039322586,33.74759917151215,24.673981905233667,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540694583858,1783598540.694584,/apollo/control,apollo.control.ControlCommand,1783598540.6941462,6624,6624,control,1783598540518354552,0,0,-0.14481139771389864,0.17047859267932722,0.6727508958070656,2.4017175981724423,0.43569857988993554,2.618602526220046,0.652583507937539,1.1280688127098115,2.021766690791754,1.9660189142462219,-0.00184811861166836,-0.31528999039322586,33.74759917151215,24.897301699678366,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540704450381,1783598540.7044504,/apollo/control,apollo.control.ControlCommand,1783598540.7041728,6625,6625,control,1783598540518354552,0,0,-0.14481139771389864,0.17047859267932722,0.6727508958070656,2.4017175981724423,0.43569857988993554,2.618602526220046,0.652583507937539,1.1280688127098115,2.023176073687031,1.9660189142462219,-0.00184811861166836,-0.31528999039322586,33.74759917151215,24.90242831189303,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540714295943,1783598540.714296,/apollo/control,apollo.control.ControlCommand,1783598540.7141016,6626,6626,control,1783598540518354552,0,0,-0.09654093180926576,0.2187490585839601,0.7253372030403575,2.4241358700708484,0.4581168517883416,2.6396810259943786,0.6736620077118718,1.1137580203297581,2.0846662650655103,1.9660189142462219,-0.00184811861166836,-0.31528999039322586,33.74759917151215,25.226274006637798,0.0,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540724486305,1783598540.7244864,/apollo/control,apollo.control.ControlCommand,1783598540.7242258,6627,6627,control,1783598540518354552,0,0,-0.09654093180926576,0.017656120615786433,0.5242442650721839,2.4241358700708484,0.3607819860440937,2.6396810259943786,0.5763271419676239,1.1137580203297581,1.8106522980202466,2.063353774168194,-0.0006482001618182357,-0.1141970524250522,33.54650623354398,24.18539528120535,0.0,
