"frame_index","normal_count","cruise_mlp_call_count","cruise_mlp_inference_call_count","execution_ms","thread_pool_run_ms","obstacle_ids","prediction_enter_ns","prediction_exit_ns","sched_window_start_s","sched_window_end_s","perf_window_complete"
"900","8","8","21","120.546816","106.172608","26;27;28;29;72;74;77;78","968510629169952","968510749716768","968511.0383342161","968511.3588810321","True"
"901","8","8","21","104.912832","92.880416","26;27;28;29;74;77;78;79","968510751159328","968510856072160","968511.1603235921","968511.465236424","True"
"903","8","8","21","144.194528","127.234912","26;27;28;29;74;77;78;79","968511048487392","968511192681920","968511.4576516561","968511.8018461841","True"
"904","8","8","21","137.90608","125.22752","26;27;28;29;74;77;78;79","968511202797024","968511340703104","968511.6119612881","968511.9498673681","True"
"905","8","8","21","134.574848","109.709728","26;27;28;29;74;77;78;79","968511340762976","968511475337824","968511.7499272401","968512.084502088","True"
"906","8","8","21","136.838272","124.549376","26;27;28;29;74;77;78;79","968511475403488","968511612241760","968511.8845677521","968512.2214060241","True"
"907","8","8","21","149.682624","136.12416","26;27;28;29;74;77;78;79","968511612310656","968511761993280","968512.0214749201","968512.3711575441","True"
"908","8","8","21","147.038752","130.47152","26;27;28;29;74;77;78;79","968511762059584","968511909098336","968512.1712238481","968512.5182626001","True"
"917","8","8","21","132.147712","119.654624","26;27;28;29;77;78;79;80","968513048073280","968513180220992","968513.4572375441","968513.789385256","True"
"918","8","8","21","132.78176","121.852","26;27;28;29;77;78;79;80","968513180279616","968513313061376","968513.5894438801","968513.92222564","True"
"919","8","8","21","131.586144","119.952864","26;27;28;29;77;78;79;80","968513313113920","968513444700064","968513.7222781841","968514.0538643281","True"
"920","8","8","21","137.061696","125.56496","26;27;28;29;77;78;79;80","968513452616512","968513589678208","968513.8617807761","968514.198842472","True"
"921","8","8","21","144.9104","126.112672","26;27;28;29;77;78;79;80","968513589743616","968513734654016","968513.99890788","968514.34381828","True"
"922","8","8","21","135.610368","122.794112","26;27;28;29;77;78;79;80","968513734712288","968513870322656","968514.1438765521","968514.47948692","True"
"923","8","8","21","138.762656","126.518752","26;27;28;29;77;78;79;80","968513878607552","968514017370208","968514.2877718161","968514.6265344721","True"
"924","8","8","21","145.215904","132.238464","26;27;28;29;77;78;79;80","968514017429664","968514162645568","968514.4265939281","968514.7718098321","True"
"925","8","8","21","162.327168","143.157984","26;27;28;29;77;78;79;80","968514162712448","968514325039616","968514.5718767121","968514.93420388","True"
