"frame_index","input_seq","callback_tid","execution_ms","callback_running_ms","callback_blocked_ms","callback_runnable_ms","unknown_ms","stack_samples_all_frame_tids","stack_samples_callback","sched_context_events"
"968","1604","1645385","42.971488","6.42448803409934","36.20299999602139","0.3440000582486391","0.0","6","0","91"
"969","1605","1645387","58.850848","6.356847821734846","45.002000173553824","7.492000004276633","0.0","7","1","128"
"970","1606","1645390","57.178304","5.631303880363703","51.07400007545948","0.4729999927803874","0.0","6","0","164"
"971","1607","1645404","41.357312","5.473312106914818","27.208000072278082","8.675999823026359","0.0","6","1","122"
"972","1608","1645387","62.511008","5.394007894210517","52.27600003127009","4.841000074520707","0.0","5","1","148"
"973","1609","1645390","45.912448","5.189447896555066","40.60700011905283","0.11599995195865631","0.0","6","1","73"
"974","1610","1645383","14.109504","4.236504202708602","9.808999835513532","0.06400002166628838","0.0","2","1","77"
"975","1611","1645396","50.705728","7.066728081554174","35.78000015113503","7.858999771997333","0.0","7","1","133"
"976","1612","1645390","39.91888","4.949880065396428","34.8859999794513","0.08299993351101875","0.0","5","1","68"
"977","1613","1645383","41.396768","5.034767789766192","36.28899995237589","0.07300020661205053","0.0","6","1","163"
"978","1614","1645387","40.884192","5.149191711097956","35.45899991877377","0.27600035537034273","0.0","7","0","108"
"979","1615","1645390","45.719456","5.601455923169851","39.0940000070259","1.0240001138299704","0.0","6","0","78"
"980","1616","1645386","44.929504","5.226504057645798","39.59699999541044","0.10599987581372261","0.0","4","0","81"
