schema_version,bridge_entry_file,settings_source_file,injector_source_file,process_id,process_working_directory,activation_speed_mps,brake_threshold_percentage,log_all_delayed_commands,sequence,control_header_time_sec,receive_wall_time_unix_ns,receive_monotonic_ns,receive_carla_frame,receive_carla_elapsed_sec,release_wall_time_unix_ns,release_monotonic_ns,apply_call_start_wall_time_unix_ns,apply_call_start_monotonic_ns,apply_call_end_wall_time_unix_ns,apply_call_end_monotonic_ns,apply_wall_time_unix_ns,apply_monotonic_ns,apply_carla_frame,apply_carla_elapsed_sec,requested_delay_ms,actual_delay_ms,api_completion_delay_ms,api_call_duration_ms,actual_frame_delay,actual_sim_delay_ms,ego_speed_mps_at_receive,throttle_percentage,brake_percentage,steering_target_percentage,first_effective_brake,queue_depth,status
scb_control_delay_v3,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/main.py,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/config/settings.yaml,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/control_delay_injector.py,3650078,/apollo,15.0,20.0,0,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,0,BRIDGE_CONFIG_LOADED
scb_control_delay_v3,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/main.py,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/config/settings.yaml,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/control_delay_injector.py,3650078,/apollo,15.0,20.0,0,,,,,,,,,,,,,,,,,400.0,,,,,,,,,,,0,INITIALIZED
scb_control_delay_v3,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/main.py,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/config/settings.yaml,/apollo_workspace/modules/carla_apollo10.0_bridge/carla_bridge/control_delay_injector.py,3650078,/apollo,15.0,20.0,0,1,1784534093.474173,1784534093480970299,355789476694366,1049,105.39900045027025,1784534093883169207,355789878918487,1784534093883169481,355789878919138,1784534093883248153,355789878997674,1784534093883248153,355789878997674,1051,105.59900045325048,400.0,402.224121,402.303308,0.078536,2,200.00000298023224,10.005122284764655,0.0,20.21513645919222,-5.2130747584518815,1,1,APPLIED
