timestamp,x,y,speed,acceleration,heading,throttle,brake,steering
1788414543.331074715,-375.752532959,-405.846862793,11.620104899,-0.805045314,2.815501049,47.809310913,0.000000000,-1.601659298
1788414543.431554556,-376.850433350,-405.469177246,11.624549627,-0.804772660,2.808713006,50.746433258,0.000000000,-1.609917402
1788414543.531070471,-377.948394775,-405.083007812,11.667112720,-0.795340584,2.801932377,50.817699432,0.000000000,-1.602545977
1788414543.631145000,-379.048614502,-404.687561035,11.724205326,-0.788093184,2.795154453,49.922519684,0.000000000,-1.599533081
1788414543.731908798,-380.151580811,-404.282714844,11.781888649,-0.793012416,2.788373668,48.593448639,0.000000000,-1.594829798
1788414543.831266165,-381.256988525,-403.868499756,11.832877496,-0.790515038,2.781587883,47.146614075,0.000000000,-1.589634061
1788414543.932081223,-382.363586426,-403.445312500,11.871060670,-0.793874150,2.774811467,44.592872620,0.000000000,-1.578704596
1788414544.031083107,-383.470306396,-403.013458252,11.898436236,-0.797955424,2.768042540,44.712844849,0.000000000,-1.575722575
1788414544.130965710,-384.576232910,-402.573150635,11.919189515,-0.846306625,2.761087192,43.887107849,0.000000000,-1.670747042
1788414544.231278419,-385.680603027,-402.124450684,11.933656756,-0.866038112,2.754024790,43.205902100,0.000000000,-1.640920877
1788414544.332231522,-386.778442383,-401.669555664,11.821223074,-0.809538682,2.747019822,0.000000000,14.500000000,-1.616103768
1788414544.431634665,-387.857574463,-401.213623047,11.659855967,-0.807093986,2.740124189,45.369411469,0.000000000,-1.608525038
1788414544.531291962,-388.924041748,-400.754333496,11.602707500,-0.798458311,2.733286825,49.528110504,0.000000000,-1.610934019
1788414544.631366491,-389.986053467,-400.288269043,11.615326721,-0.797990726,2.726492656,51.126842499,0.000000000,-1.603861332
1788414544.731995106,-391.047973633,-399.813507080,11.662453127,-0.781623597,2.719739730,50.840026855,0.000000000,-1.591475725
1788414544.831102371,-392.111724854,-399.329376221,11.721519149,-0.772521165,2.713024936,49.893581390,0.000000000,-1.578204751
1788414544.931150913,-393.177581787,-398.835540771,11.780312679,-0.782103285,2.706333376,48.715366364,0.000000000,-1.569387555
1788414545.031734467,-394.245056152,-398.332427979,11.828844463,-0.768889110,2.699653330,45.898468018,0.000000000,-1.563445091
1788414545.134780407,-395.312927246,-397.820373535,11.864027577,-0.780079752,2.692979459,44.866928101,0.000000000,-1.556252837
1788414545.231337547,-396.380004883,-397.300018311,11.888768912,-0.788419814,2.686312001,43.916736603,0.000000000,-1.552640676
1788414545.331265211,-397.445251465,-396.771759033,11.904576518,-0.786298020,2.679645351,42.975952148,0.000000000,-1.551149487
1788414545.431735516,-398.508239746,-396.235778809,11.916204438,-0.789795756,2.672977899,43.637172699,0.000000000,-1.549144268
1788414545.531001806,-399.568542480,-395.692291260,11.926276714,-0.789407292,2.666303776,43.186744690,0.000000000,-1.551726699
