frame_index,trace_id,parent_trace_id,data_ts_ns,data_time_sec,target_present,frame_status,perception_ms,prediction_ms,planning_ms,e2e_ms,perception_threshold_ms,prediction_threshold_ms,planning_threshold_ms,e2e_threshold_ms,e2e_deadline_miss,perception_deadline_miss,prediction_deadline_miss,planning_deadline_miss,cause_modules,e2e_overrun_ms,perception_overrun_ms,prediction_overrun_ms,planning_overrun_ms,perception_to_prediction_handoff_ms,prediction_to_planning_handoff_ms,perception_start_mono_ns,perception_output_mono_ns,prediction_start_mono_ns,prediction_output_mono_ns,planning_start_mono_ns,planning_output_mono_ns,input_seq,output_seq,object_count
18,17294084154085868708,72319179021092011,1783690723491953779,1783690723.4919536,0,COMPLETE,81.497344,3.80208,23.16976,108.842368,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.134752,0.238432,1341203513024,1341285010368,1341285145120,1341288947200,1341289185632,1341312355392,0,1195,1
19,17294084154085868709,72319179021092012,1783690723591890461,1783690723.5918903,0,COMPLETE,79.073184,3.846432,63.236128,146.6024,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,6.602399999999989,0.0,0.0,21.678240000000002,0.131008,0.315648,1341310265600,1341389338784,1341389469792,1341393316224,1341393631872,1341456868000,0,1196,1
20,17294084154085868710,72319179021092013,1783690723691832402,1783690723.6918323,0,COMPLETE,86.751072,3.477856,39.817824,131.941664,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.083456,1.811456,1341402889696,1341489640768,1341489724224,1341493202080,1341495013536,1341534831360,0,1197,0
21,17294084154085868711,72319179021092014,1783690723792313625,1783690723.7923136,0,COMPLETE,88.0144,4.368672,24.785728,117.565536,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.182944,0.213792,1341504909440,1341592923840,1341593106784,1341597475456,1341597689248,1341622474976,0,1198,1
22,17294084154085868712,72319179021092015,1783690723893207297,1783690723.8932073,0,COMPLETE,83.517664,3.730976,34.704704,123.27712,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.09008,1.233696,1341604298368,1341687816032,1341687906112,1341691637088,1341692870784,1341727575488,0,1199,0
23,17294084154085868713,72319179021092016,1783690723992978374,1783690723.9929783,1,COMPLETE,86.645504,4.34384,50.475168,143.743296,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,3.7432959999999866,0.0,0.0,8.917279999999998,0.1952,2.083584,1341703633824,1341790279328,1341790474528,1341794818368,1341796901952,1341847377120,0,1200,1
24,17294084154085868714,72319179021092017,1783690724092059846,1783690724.0920599,0,COMPLETE,88.155392,4.988448,17.590368,111.128224,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.183936,0.21008,1341808041984,1341896197376,1341896381312,1341901369760,1341901579840,1341919170208,0,1201,1
25,17294084154085868715,72319179021092018,1783690724191434517,1783690724.1914344,0,COMPLETE,81.72176,4.236096,60.719872,147.049472,90.0,6.403471,41.557888,140.0,1,0,0,1,planning,7.049472000000009,0.0,0.0,19.161984000000004,0.148704,0.22304,1341901957312,1341983679072,1341983827776,1341988063872,1341988286912,1342049006784,0,1202,1
26,17294084154085868716,72319179021092019,1783690724290866411,1783690724.2908664,0,COMPLETE,82.529504,4.16032,24.852064,111.903744,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.167648,0.194208,1342002338112,1342084867616,1342085035264,1342089195584,1342089389792,1342114241856,0,1203,0
27,17294084154085868717,72319179021092020,1783690724394481586,1783690724.3944817,0,COMPLETE,78.911136,3.268192,13.867424,96.42336,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.157792,0.218816,1342105192640,1342184103776,1342184261568,1342187529760,1342187748576,1342201616000,0,1204,1
28,17294084154085868718,72319179021092021,1783690724493289922,1783690724.49329,0,COMPLETE,80.411104,4.684928,17.453088,102.950656,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.192096,0.20944,1342222224768,1342302635872,1342302827968,1342307512896,1342307722336,1342325175424,0,1205,1
29,17294084154085868719,72319179021092022,1783690724592215757,1783690724.5922158,0,COMPLETE,82.227904,4.90112,39.4112,126.960576,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.221344,0.199008,1342302137056,1342384364960,1342384586304,1342389487424,1342389686432,1342429097632,0,1206,1
30,17294084154085868720,72319179021092023,1783690724695306281,1783690724.6953063,0,COMPLETE,81.062816,6.959072,33.225696,121.580128,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,0.5556010000000002,0.0,0.12192,0.210624,1342409206976,1342490269792,1342490391712,1342497350784,1342497561408,1342530787104,0,1207,2
31,17294084154085868721,72319179021092024,1783690724792815339,1783690724.7928154,0,COMPLETE,83.709696,7.286976,34.23248,125.647616,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,0.8835050000000004,0.0,0.15184,0.266624,1342505358432,1342589068128,1342589219968,1342596506944,1342596773568,1342631006048,0,1208,2
32,17294084154085868722,72319179021092025,1783690724891762297,1783690724.8917623,0,COMPLETE,84.222784,6.16064,30.029792,120.769152,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.146144,0.209792,1342603066464,1342687289248,1342687435392,1342693596032,1342693805824,1342723835616,0,1209,1
33,17294084154085868723,72319179021092026,1783690724992999012,1783690724.9929988,0,COMPLETE,82.92624,4.21728,42.698208,130.22864,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,1.1403200000000027,0.163456,0.223456,1342703757120,1342786683360,1342786846816,1342791064096,1342791287552,1342833985760,0,1210,1
34,17294084154085868724,72319179021092027,1783690725092994133,1783690725.092994,0,COMPLETE,83.14064,4.614048,16.282944,104.399584,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.233472,0.12848,1342809343040,1342892483680,1342892717152,1342897331200,1342897459680,1342913742624,0,1211,1
35,17294084154085868725,72319179021092028,1783690725193141973,1783690725.193142,0,COMPLETE,81.23904,4.225088,50.910368,136.805792,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,9.35248,0.244416,0.18688,1342903045120,1342984284160,1342984528576,1342988753664,1342988940544,1343039850912,0,1212,1
36,17294084154085868726,72319179021092029,1783690725292277193,1783690725.2922773,0,COMPLETE,82.641792,3.049472,34.86992,120.82224,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.123904,0.137152,1343004096960,1343086738752,1343086862656,1343089912128,1343090049280,1343124919200,0,1213,1
37,17294084154085868727,72319179021092030,1783690725391676863,1783690725.391677,0,COMPLETE,83.180416,3.816352,41.284928,128.972896,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.150208,0.540992,1343101781984,1343184962400,1343185112608,1343188928960,1343189469952,1343230754880,0,1214,1
38,17294084154085868728,72319179021092031,1783690725491101038,1783690725.491101,0,COMPLETE,81.101856,4.208384,43.995648,129.815616,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,2.4377600000000044,0.2896,0.220128,1343201541888,1343282643744,1343282933344,1343287141728,1343287361856,1343331357504,0,1215,1
39,17294084154085868729,72319179021092032,1783690725592299284,1783690725.5922992,0,COMPLETE,84.379712,4.238048,31.498176,120.768288,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.271904,0.380448,1343333676928,1343418056640,1343418328544,1343422566592,1343422947040,1343454445216,0,1216,1
40,17294084154085868730,72319179021092033,1783690725693092303,1783690725.6930923,0,COMPLETE,85.89552,4.921664,32.608992,123.783328,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.163008,0.194144,1343404802752,1343490698272,1343490861280,1343495782944,1343495977088,1343528586080,0,1217,1
41,17294084154085868731,72319179021092034,1783690725791585840,1783690725.7915857,0,COMPLETE,84.784448,3.815392,44.787328,133.7888,90.0,6.403471,41.557888,140.0,0,0,0,1,,0.0,0.0,0.0,3.229440000000004,0.205312,0.19632,1343501694592,1343586479040,1343586684352,1343590499744,1343590696064,1343635483392,0,1218,0
42,17294084154085868732,72319179021092035,1783690725892247508,1783690725.8922474,0,COMPLETE,85.775968,6.31216,20.952768,113.452448,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.159648,0.251904,1343602987296,1343688763264,1343688922912,1343695235072,1343695486976,1343716439744,0,1219,2
43,17294084154085868733,72319179021092036,1783690725991956951,1783690725.991957,0,COMPLETE,79.786656,4.419072,23.411456,108.050752,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.169472,0.264096,1343702846304,1343782632960,1343782802432,1343787221504,1343787485600,1343810897056,0,1220,2
44,17294084154085868734,72319179021092037,1783690726092637667,1783690726.0926378,0,COMPLETE,87.272832,5.026848,23.896096,116.522784,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.118432,0.208576,1343803449440,1343890722272,1343890840704,1343895867552,1343896076128,1343919972224,0,1221,2
45,17294084154085868735,72319179021092038,1783690726192572796,1783690726.1925726,0,COMPLETE,83.414592,3.717056,23.929504,111.361728,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.154624,0.145952,1343902423168,1343985837760,1343985992384,1343989709440,1343989855392,1344013784896,0,1222,2
46,17294084154085868736,72319179021092039,1783690726292367719,1783690726.2923677,0,COMPLETE,82.685024,7.502272,25.954464,116.48192,90.0,6.403471,41.557888,140.0,0,0,1,0,,0.0,0.0,1.098801,0.0,0.152672,0.187488,1344002951264,1344085636288,1344085788960,1344093291232,1344093478720,1344119433184,0,1223,1
47,17294084154085868737,72319179021092040,1783690726391893208,1783690726.3918931,0,COMPLETE,80.164,4.45376,33.332608,118.409664,90.0,6.403471,41.557888,140.0,0,0,0,0,,0.0,0.0,0.0,0.0,0.2712,0.188096,1344103068416,1344183232416,1344183503616,1344187957376,1344188145472,1344221478080,0,1224,2
