run_id,target_id,target_observation_count,target_gap_max_ms,target_gap_p90_ms,target_lifecycle_median_ms,target_lifecycle_p90_ms,target_lifecycle_max_ms,target_source_age_at_outcome_ms
202607271031,14,110,117.22302436828613,112.52484321594238,207.12637901306152,221.1761236190796,228.3918857574463,299.96514320373535
202607271048,12,27,112.50185966491699,109.17496681213379,236.9518280029297,243.52083206176758,247.55001068115234,2799.8430728912354
202607271054,10,27,116.79315567016602,112.93840408325195,235.65912246704102,257.22012519836426,264.96100425720215,500.0169277191162
202607271059,9,28,117.523193359375,107.13715553283691,237.7614974975586,265.1468753814697,268.6290740966797,399.79100227355957
202607271104,11,31,297.60193824768066,137.46571540832528,238.55090141296387,250.7171630859375,257.0221424102783,399.6150493621826
202607271108,11,28,113.37804794311523,110.20851135253906,258.6015462875366,279.01222705841064,279.8340320587158,300.1070022583008
202607271113,12,28,285.7990264892578,115.5277729034424,224.3136167526245,236.19370460510254,242.3698902130127,299.6969223022461
202607271131,11,20,507.43889808654785,106.58259391784668,298.7794876098633,344.0122604370123,705.8918476104736,1006.8919658660889
202607271202,15,26,188.02809715270996,115.0308132171631,245.09644508361816,261.5225315093994,263.5200023651123,898.7910747528076
202607271206,10,23,112.78891563415527,104.97748851776123,313.30299377441406,320.62745094299316,323.9879608154297,2399.3470668792725
202607271211,12,27,188.25411796569824,110.34059524536133,245.38588523864746,257.07077980041504,262.4838352203369,699.8908519744873
202607271643,6,20,115.9060001373291,99.0790843963623,305.69958686828613,319.3890333175659,322.2689628601074,599.6675491333008
