run_id,run_label,group_name,group_label,nominal_injected_delay_ms,collision_data_observed,endpoint_label,outcome_endpoint_type_data_observed,t1_data_observed_s,stable_fusion_output_s,t2_data_observed_s,outcome_endpoint_data_observed_s,sensor_to_fusion_ms,actual_e2e_latency_data_observed_ms,source_to_outcome_raw_s,source_to_outcome_phase_center_s,fusion_output_to_outcome_raw_s,fusion_output_to_outcome_phase_center_s,outcome_wall_sampling_interval_s,phase_center_correction_s,phase_center_uncertainty_s,outcome_endpoint_speed_data_observed_mps,impact_speed_data_observed_mps,D1_clear_data_observed_m,D_delay_wall_integral_data_observed_m,D2_clear_wall_budget_data_observed_m,source_localization_file
202607271031,1031,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785119531.831306,1785119532.039621,1785119532.130961,1785119536.43082,208.3151340484619,299.6549606323242,4.599514007568359,4.549515008926392,4.3911988735198975,4.34119987487793,0.09999799728393555,0.04999899864196777,0.04999899864196777,0.008092623637995,,39.89118968607217,4.673487170470926,35.21770251560124,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271031/log/localization.log.INFO.20260727-102803.5453
202607271048,1048,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785120539.235663,1785120539.470642,1785120539.536021,1785120542.136402,234.97915267944336,300.3580570220947,2.9007389545440674,2.850675940513611,2.665759801864624,2.6156967878341675,0.10012602806091309,0.05006301403045654,0.05006301403045654,0.0007452600673796,,38.74398321009477,5.25441554093497,33.4895676691598,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271048/log/localization.log.INFO.20260727-104620.122662
202607271054,1054,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785120896.447725,1785120896.674937,1785120896.747702,1785120899.447704,227.21195220947263,299.9768257141113,2.999979019165039,2.9499576091766357,2.7727670669555664,2.722745656967163,0.10004281997680664,0.05002140998840332,0.05002140998840332,0.0065605746910155,,39.631539419332874,5.3671294775498595,34.264409941783015,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271054/log/localization.log.INFO.20260727-105117.176834
202607271059,1059,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785121209.519968,1785121209.788597,1785121209.919718,1785121212.619642,268.6290740966797,399.7499942779541,3.0996739864349365,3.049835443496704,2.831044912338257,2.7812063694000244,0.09967708587646484,0.04983854293823242,0.04983854293823242,0.0017091938133311,,40.15487249928844,7.005683189973678,33.14918930931476,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271059/log/localization.log.INFO.20260727-105737.231932
202607271104,1104,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785121482.765552,1785121483.0172,1785121483.165198,1785121485.665028,251.64794921875,399.6460437774658,2.8994760513305664,2.84937059879303,2.6478281021118164,2.59772264957428,0.10021090507507324,0.05010545253753662,0.05010545253753662,0.0014754259645981,,38.78361695724761,6.935600898780944,31.848016058466666,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271104/log/localization.log.INFO.20260727-110232.286141
202607271108,1108,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785121755.992713,1785121756.228711,1785121756.293354,1785121758.892839,235.9979152679443,300.6410598754883,2.9001259803771973,2.850063920021057,2.664128065109253,2.614066004753113,0.10012412071228027,0.05006206035614014,0.05006206035614014,0.0015405210561825,,38.75948581368456,5.284453642764105,33.47503217092046,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271108/log/localization.log.INFO.20260727-110701.340102
202607271113,1113,baseline,baseline (0 ms),0.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785122030.296692,1785122030.524438,1785122030.596488,1785122033.496604,227.74600982666016,299.79610443115234,3.1999120712280273,3.149915099143982,2.972166061401367,2.9221690893173218,0.09999394416809082,0.04999697208404541,0.04999697208404541,0.0005433451636025,,38.81749065847193,5.2312645659572246,33.58622609251471,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/baseline/202607271113/log/localization.log.INFO.20260727-111139.394230
202607271131,1131,delay_300ms,持续时延组 (300 ms),300.0,True,碰撞,CARLA_COLLISION_EVENT,1785123121.945625,1785123122.23851,1785123122.745261,1785123124.852247,292.88482666015625,799.6358871459961,2.9066219329833984,2.8566603660583496,2.613737106323242,2.5637755393981934,0.09992313385009766,0.04996156692504883,0.04996156692504883,7.988017222183252,7.988017222183252,38.258205668761775,13.432027958524642,24.826177710237133,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992
202607271202,1202,delay_300ms,持续时延组 (300 ms),300.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785124951.594938,1785124951.858458,1785124952.294093,1785124954.793821,263.5200023651123,699.1548538208008,3.198883056640625,3.1489570140838623,2.9353630542755127,2.88543701171875,0.09985208511352539,0.049926042556762695,0.049926042556762695,0.0015528697046771,,39.61649585117989,11.749044628602803,27.86745122257708,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271202/log/localization.log.INFO.20260727-120037.597370
202607271211,1211,delay_300ms,持续时延组 (300 ms),300.0,False,停车,FIRST_LOCALIZATION_V_LT_0.1_MPS,1785125509.980791,1785125510.242578,1785125510.680958,1785125513.180307,261.78693771362305,700.1669406890869,3.1995158195495605,3.1495193243026733,2.9377288818359375,2.8877323865890503,0.09999299049377441,0.04999649524688721,0.04999649524688721,0.0024075324817967,,40.20186447880783,11.999340611264754,28.20252386754307,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271211/log/localization.log.INFO.20260727-120934.719143
