record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,planning_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,decision_scope,decision_json
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540778755826,1783598540.778756,/apollo/planning,apollo.planning.ADCTrajectory,1783598540.7780674,244,244,planning,1783598540618515479,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540964300369,1783598540.9643004,/apollo/planning,apollo.planning.ADCTrajectory,1783598540.9635441,245,245,planning,1783598540718513376,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541144794082,1783598541.1447942,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.1437542,246,246,planning,1783598540818402802,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541314640193,1783598541.31464,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.313759,247,247,planning,1783598540918726059,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541396213750,1783598541.3962138,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.3954558,248,248,planning,1783598541018617000,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541475106793,1783598541.4751067,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.4741302,249,249,planning,1783598541118702503,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541558293842,1783598541.5582938,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.5573366,250,250,planning,1783598541218447132,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541658330612,1783598541.6583307,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.6564958,251,251,planning,1783598541319126382,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541713769978,1783598541.71377,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.7127213,252,252,planning,1783598541418604901,0,0,main,"{
  ""stop"": {
    ""reason_code"": ""STOP_REASON_OBSTACLE"",
    ""reason"": ""stop by 93"",
    ""stop_point"": {
      ""x"": 135.5910617652993,
      ""y"": -133.45956227193807
    },
    ""stop_heading"": 0.007873561349223726,
    ""change_lane_type"": ""FORWARD""
  }
}"
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598541816641664,1783598541.8166416,/apollo/planning,apollo.planning.ADCTrajectory,1783598541.81485,253,253,planning,1783598541518377217,0,0,main,"{
  ""cruise"": {
    ""change_lane_type"": ""FORWARD""
  }
}"
