record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,planning_seq,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,routing_header_timestamp_sec,routing_header_sequence_num,routing_header_module_name,routing_header_lidar_timestamp,routing_header_camera_timestamp,routing_header_radar_timestamp
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563256634592,1783598563.2566347,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.255951,469,469,planning,1783598563118606630,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563360207668,1783598563.3602076,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.3594027,470,470,planning,1783598563219508756,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563456168063,1783598563.456168,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.4555743,471,471,planning,1783598563318303949,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563551090556,1783598563.5510905,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.5498319,472,472,planning,1783598563418394615,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563655491291,1783598563.6554914,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.6549509,473,473,planning,1783598563519125113,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563764581371,1783598563.7645814,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.7636907,474,474,planning,1783598563618405833,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563868618005,1783598563.868618,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.867855,475,475,planning,1783598563718221719,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598563973201591,1783598563.9732018,/apollo/planning,apollo.planning.ADCTrajectory,1783598563.97204,476,476,planning,1783598563818345211,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564060830447,1783598564.0608304,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.060106,477,477,planning,1783598563918349078,0,0,1783598537.4674547,0,dreamview,0,0,0
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598564150047614,1783598564.1500475,/apollo/planning,apollo.planning.ADCTrajectory,1783598564.1493933,478,478,planning,1783598564018426928,0,0,1783598537.4674547,0,dreamview,0,0,0
