run_id,trace_id,control_output_count,first_output_mono_ns,last_output_mono_ns,first_output_wall_s,last_output_wall_s,reuse_span_ms,primary_parent_trace_id,data_ts_ns,is_first_causal_trace,is_selected_post_t2_trace
202607271131,17293896665878496227,9,3915405207296,3915485230240,1785123095.9872677,1785123096.0672917,80.022944,72131690813719571,1785123095744905899,False,False
202607271131,17293896665878496228,10,3915495405984,3915585288768,1785123096.0774677,1785123096.1673515,89.882784,72131690813719572,1785123095844903907,False,False
202607271131,17293896665878496229,10,3915595401312,3915685438720,1785123096.1774642,1785123096.2675028,90.037408,72131690813719573,1785123095945040384,False,False
202607271131,17293896665878496230,10,3915695382176,3915785295360,1785123096.2774465,1785123096.3673608,89.913184,72131690813719574,1785123096045187753,False,False
202607271131,17293896665878496231,12,3915803228096,3915907106464,1785123096.3852937,1785123096.4891734,103.878368,72131690813719575,1785123096144839122,False,False
202607271131,17293896665878496232,9,3915917078816,3915997583776,1785123096.499146,1785123096.579652,80.50496,72131690813719576,1785123096245400394,False,False
202607271131,17293896665878496233,11,3916005236192,3916107241024,1785123096.5873046,1785123096.6893108,102.004832,72131690813719577,1785123096344851435,False,False
202607271131,17293896665878496234,9,3916117207776,3916197564448,1785123096.6992776,1785123096.7796352,80.356672,72131690813719578,1785123096445435961,False,False
202607271131,17293896665878496235,12,3916205628768,3916317465856,1785123096.7876997,1785123096.8995383,111.837088,72131690813719579,1785123096545408913,False,False
202607271131,17293896665878496236,9,3916325464960,3916405135392,1785123096.9075375,1785123096.9872088,79.670432,72131690813719580,1785123096645381215,False,False
202607271131,17293896665878496237,9,3916417152352,3916497161248,1785123096.999226,1785123097.079236,80.008896,72131690813719581,1785123096744901178,False,False
202607271131,17293896665878496238,9,3916507206400,3916587021472,1785123097.0892813,1785123097.1690974,79.815072,72131690813719582,1785123096845062078,False,False
202607271131,17293896665878496239,10,3916597287872,3916691328384,1785123097.179364,1785123097.2734058,94.040512,72131690813719583,1785123096944807605,False,False
202607271131,17293896665878496240,12,3916697253824,3916807910112,1785123097.2793312,1785123097.389989,110.656288,72131690813719584,1785123097045409403,False,False
202607271131,17293896665878496241,9,3916815563616,3916897962496,1785123097.3976426,1785123097.4800425,82.39888,72131690813719585,1785123097144780923,False,False
202607271131,17293896665878496242,12,3916906211392,3917017584288,1785123097.4882915,1785123097.5996659,111.372896,72131690813719586,1785123097244911306,False,False
202607271131,17293896665878496243,11,3917026162496,3917125540384,1785123097.6082442,1785123097.7076232,99.377888,72131690813719587,1785123097344767166,False,False
202607271131,17293896665878496244,8,3917135828160,3917206080832,1785123097.7179112,1785123097.7881649,70.252672,72131690813719588,1785123097444877312,False,False
202607271131,17293896665878496245,11,3917217691872,3917317333312,1785123097.799776,1785123097.8994188,99.64144,72131690813719589,1785123097544894892,False,False
202607271131,17293896665878496246,9,3917325393024,3917405117600,1785123097.9074786,1785123097.9872043,79.724576,72131690813719590,1785123097644668094,False,False
202607271131,17293896665878496247,11,3917415332096,3917515178336,1785123097.9974189,1785123098.0972664,99.84624,72131690813719591,1785123097745273232,False,False
202607271131,17293896665878496248,7,3917525514304,3917587099968,1785123098.1076026,1785123098.169189,61.585664,72131690813719592,1785123097845372275,False,False
202607271131,17293896665878496249,11,3917597164480,3917695157824,1785123098.1792536,1785123098.2772481,97.993344,72131690813719593,1785123097944837906,False,False
202607271131,17293896665878496250,10,3917705449088,3917797264896,1785123098.2875397,1785123098.3793566,91.815808,72131690813719594,1785123098044821465,False,False
202607271131,17293896665878496251,12,3917805360800,3917915241312,1785123098.3874526,1785123098.4973347,109.880512,72131690813719595,1785123098144694691,False,False
202607271131,17293896665878496252,9,3917927155104,3918007260256,1785123098.5092485,1785123098.5893548,80.105152,72131690813719596,1785123098245058744,False,False
202607271131,17293896665878496253,11,3918015390752,3918117180352,1785123098.5974853,1785123098.6992762,101.7896,72131690813719597,1785123098346352675,False,False
202607271131,17293896665878496254,9,3918127061536,3918204670016,1785123098.7091577,1785123098.786767,77.60848,72131690813719598,1785123098445098705,False,False
202607271131,17293896665878496255,9,3918216678464,3918296744960,1785123098.7987757,1785123098.8788433,80.066496,72131690813719599,1785123098545407540,False,False
202607271131,17293896665878496256,10,3918304841376,3918394896320,1785123098.8869398,1785123098.976996,90.054944,72131690813719600,1785123098645034601,False,False
202607271131,17293896665878496257,11,3918406936480,3918506825312,1785123098.9890363,1785123099.0889263,99.888832,72131690813719601,1785123098745535587,False,False
202607271131,17293896665878496258,10,3918514976192,3918605149408,1785123099.0970774,1785123099.1872518,90.173216,72131690813719602,1785123098844999830,False,False
202607271131,17293896665878496259,8,3918617096672,3918687056288,1785123099.1991992,1785123099.2691598,69.959616,72131690813719603,1785123098945387994,False,False
202607271131,17293896665878496260,11,3918697239712,3918795205088,1785123099.2793431,1785123099.3773098,97.965376,72131690813719604,1785123099044964176,False,False
202607271131,17293896665878496261,10,3918807098720,3918895297824,1785123099.3892038,1785123099.4774039,88.199104,72131690813719605,1785123099145000611,False,False
