run_id,fusion_trace_id,parent_trace_id,metric_name,source_wall_s,start_wall_s,end_wall_s,start_relative_t_sample_s,end_relative_t_sample_s,duration_ms,control_output_count_for_trace,event_window,is_first_causal_instance,is_target_11_instance,availability,missing_reason,lineage_grade,clock_basis
202607271131,17293896665878496189,72131690813719533,source_to_fusion_output,,,,,,,12,UNAVAILABLE,False,False,UNAVAILABLE,MISSING_PARENT_TRACE_ANCHOR,UNKNOWN,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496189,72131690813719533,fusion_to_prediction_output,,1785123092.1432009,1785123092.1462536,-29.80242419242859,-29.799371480941772,3.052736,12,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496189,72131690813719533,prediction_to_planning_output,,1785123092.1462536,1785123092.171523,-29.799371480941772,-29.774101972579956,25.269216,12,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496189,72131690813719533,planning_output_to_first_control_output,,1785123092.171523,1785123092.1783395,-29.774101972579956,-29.767285585403442,6.81616,12,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496189,72131690813719533,source_to_first_control_output,,,,,,,12,UNAVAILABLE,False,False,UNAVAILABLE,MISSING_PARENT_TRACE_ANCHOR,UNKNOWN,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496190,72131690813719534,source_to_fusion_output,1785123092.0459409,1785123092.0459409,1785123092.2438602,-29.899684190750122,-29.701764822006226,197.91940799999998,10,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496190,72131690813719534,fusion_to_prediction_output,1785123092.0459409,1785123092.2438605,1785123092.2522938,-29.701764583587646,-29.693331241607666,8.43312,10,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496190,72131690813719534,prediction_to_planning_output,1785123092.0459409,1785123092.2522938,1785123092.2907507,-29.693331241607666,-29.654874324798584,38.45648,10,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496190,72131690813719534,planning_output_to_first_control_output,1785123092.0459409,1785123092.2907507,1785123092.298355,-29.654874324798584,-29.64726996421814,7.604352,10,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
202607271131,17293896665878496190,72131690813719534,source_to_first_control_output,1785123092.0459409,1785123092.0459409,1785123092.298355,-29.899684190750122,-29.64726996421814,252.41422653198242,10,PRE_T_SAMPLE,False,False,AVAILABLE,,A,trace mono_ns with affine source-wall anchor
