layer,metric,run_id_or_group,value,unit,evidence_type,time_basis,source_file,availability
L1,Bridge fixed delay,202607271131,300.046735,ms,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/scb_control_delay_20260727112916_095377.csv,AVAILABLE
L2,component R/A/G/C/L observations,202607271131,R_sample=799.636;A=400.421;G=108.213,mixed,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/component_contract_evaluation.csv,PARTIAL
L3,source-to-Control lineage,202607271131,313.599344,ms,TRACE_LINEAGE,trace anchored to wall,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/trace/message_context/control.476002.csv,AVAILABLE
L4,primary demand deadline / sample residual model,202607271131,"primary missing; model center 0-618.822, sensitivity high 728.892",ms,UNVALIDATED_MODEL,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/output/second_experiment_1131_tcps_pa_v4_2_all_instances/tables/dynamic_contract_construction.csv,MODEL_SUPPORTED_ONLY
L5,D_response wall integral,202607271131,13.432027958524642,m,OBSERVED_DERIVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/localization.log.INFO.20260727-112935.475992,AVAILABLE
L6,impact speed,202607271131,7.988017222183252,m/s,DIRECT_OBSERVED,wall_epoch_s,/Users/huangjinhui/Desktop/萨卡班/data/第二次实验/300ms/202607271131/log/carla_collision_events_20260727113204.csv,AVAILABLE
