run_id,frame_index,parent_trace_id,fusion_trace_id,source_wall_s,source_relative_t_sample_s,source_gap_ms,ingress_ms,fusion_object_count,target_11_present,performance_state,endpoint_status,outcome_compatibility,first_control_wall_s,v_source_data_observed_mps,v_first_control_data_observed_mps,last_observed_prefix_endpoint,last_observed_prefix_wall_s,T_source_to_last_observed_prefix_ms,D_source_to_last_observed_prefix_wall_integral_m,T_e2e_data_observed_pre_collision_ms,D_e2e_wall_integral_data_observed_m,T_source_to_collision_right_censored_ms,D_source_to_collision_right_censored_m,T_trace_complete_post_outcome_diagnostic_ms,D_trace_complete_post_outcome_diagnostic_m,reference_pre_anomaly_target_p50_ms,T_excess_vs_reference_research_ms,D_excess_after_reference_wall_integral_research_m,T_plotted_stage_sum_ms,D_plotted_stage_sum_m,T_source_to_fusion_output_data_observed_ms,T_fusion_to_prediction_output_data_observed_ms,T_prediction_to_planning_output_data_observed_ms,T_planning_output_to_first_control_output_data_observed_ms,D_source_to_fusion_output_wall_integral_data_observed_m,D_fusion_to_prediction_output_wall_integral_data_observed_m,D_prediction_to_planning_output_wall_integral_data_observed_m,D_planning_output_to_first_control_output_wall_integral_data_observed_m,physical_effect_episode_status,primary_semantic_label,reference_semantic_label,lineage_grade,clock_basis,distance_method,quality_flags
202607271131,10,72131690813719843,17293896665878496492,1785123122.945792675,1.000168,100.665808,97.438300,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.269291162,16.817692,15.552577,,,,,323.498487,5.235943,,,,,324.292898,0.000000,0.000000,323.496342,5.235910,297.641516,9.114742,13.127327,3.612757,4.832508,0.142508,0.204680,0.056213,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,11,72131690813719844,17293896665878496493,1785123123.045182467,1.099557,99.389791,99.515200,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.379308939,16.428836,15.127809,,,,,334.126472,5.271431,,,,,324.292898,9.833574,0.148946,334.124327,5.271398,300.441980,4.042387,18.449545,11.190414,4.759675,0.061645,0.280551,0.169527,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,12,72131690813719845,17293896665878496494,1785123123.145902634,1.200278,100.720167,93.364700,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.477416277,16.036704,14.818467,,,,,331.513643,5.103204,,,,,324.292898,7.220745,0.107046,331.511021,5.103165,300.829172,8.657217,16.469479,5.555153,4.647681,0.128687,0.244451,0.082346,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,13,72131690813719846,17293896665878496495,1785123123.245384216,1.299759,99.481583,94.212100,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.578554392,15.645013,14.487527,,,,,333.170176,5.014488,,,,,324.292898,8.877277,0.128859,333.168030,5.014457,304.648638,6.845713,16.405106,5.268574,4.598709,0.100264,0.239067,0.076416,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,14,72131690813719847,17293896665878496496,1785123123.345435143,1.399810,100.050926,95.154300,2,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.670155287,15.258164,13.919388,,,,,324.720144,4.769212,,,,,324.292898,0.427246,0.005948,324.718237,4.769186,301.348209,3.872871,10.456085,9.041071,4.442289,0.054394,0.146416,0.126086,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,15,72131690813719848,17293896665878496497,1785123123.444820166,1.499195,99.385023,94.669600,2,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.768273592,14.875705,13.361049,,,,,323.453426,4.609518,,,,,324.292898,0.000000,0.000000,323.451281,4.609489,299.188852,3.602028,11.284113,9.376287,4.283808,0.048543,0.151636,0.125502,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,16,72131690813719849,17293896665878496498,1785123123.544993162,1.599368,100.172997,96.351400,1,True,TARGET_PRESENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123123.868545294,14.699803,12.856448,,,,,323.552132,4.442265,,,,,324.292898,0.000000,0.000000,323.549747,4.442234,295.861959,3.723383,14.281273,9.683132,4.084452,0.048328,0.184742,0.124712,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,17,72131690813719850,17293896665878496499,1785123123.646089792,1.700465,101.096630,92.514800,1,True,SELECTED_LATE_ANOMALY,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123124.429529667,14.060362,10.137964,,,,,783.439875,9.519303,,,,,324.292898,459.146976,5.246009,783.437490,9.519273,291.618824,5.297184,480.048895,6.472588,3.866378,0.066305,5.520738,0.065852,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,SELECTED_LATE_ANOMALY;INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,18,72131690813719851,17293896665878496500,1785123123.745873451,1.800248,99.783659,95.524500,1,True,SELECTED_LATE_ANOMALY,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123124.467194319,13.475837,9.789292,,,,,721.320868,8.520200,,,,,324.292898,397.027969,4.408229,721.313477,8.520126,699.267864,4.252672,14.130592,3.662348,8.302385,0.042304,0.139533,0.035905,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,SELECTED_LATE_ANOMALY;INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,19,72131690813719852,17293896665878496501,1785123123.845354557,1.899729,99.481106,96.098700,1,True,SELECTED_LATE_ANOMALY,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123124.577183485,12.966051,8.968264,,,,,731.828928,8.234475,,,,,324.292898,407.536030,4.272925,731.821537,8.234407,705.980301,5.381107,18.014193,2.445936,8.000553,0.049044,0.162856,0.021955,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,SELECTED_LATE_ANOMALY;INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,20,72131690813719853,,1785123123.945719957,2.000095,100.365400,470.521000,,False,TARGET_ABSENT,NO_FUSION_LINEAGE,MISSING_BEFORE_OUTCOME,,12.491709,,perception.pointcloud_ground_detection,1785123124.449976921,504.256964,5.757703,,,,,,,324.292898,,,0.000000,0.000000,,,,,,,,,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,UNAVAILABLE,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,21,72131690813719854,,1785123124.245874643,2.300250,300.154686,182.158000,,False,TARGET_ABSENT,NO_FUSION_LINEAGE,MISSING_BEFORE_OUTCOME,,11.230565,,perception.pointcloud_map_based_roi,1785123124.442744017,196.869373,2.135099,,,,,,,324.292898,,,0.000000,0.000000,,,,,,,,,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,UNAVAILABLE,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,22,72131690813719855,17293896665878496502,1785123124.345798492,2.400173,99.923849,94.839600,0,False,TARGET_ABSENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123124.688507080,11.070447,8.338877,,,,,342.708588,3.253049,,,,,324.292898,18.415689,0.154354,342.706680,3.253033,306.856632,2.784491,26.909351,6.156206,2.951099,0.023665,0.226845,0.051424,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,23,72131690813719856,17293896665878496503,1785123124.445022583,2.499398,99.224091,94.032000,0,False,TARGET_ABSENT,COMPLETE_TO_FIRST_CONTROL,PRE_COLLISION_COMPLETE,1785123124.788866997,9.965425,5.800803,,,,,343.844414,2.997194,,,,,324.292898,19.551516,0.130253,343.842030,2.997175,298.519611,3.000975,36.428452,5.892992,2.661313,0.024237,0.275912,0.035714,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,24,72131690813719857,17293896665878496504,1785123124.545142174,2.599517,100.119591,92.912200,0,False,TARGET_ABSENT,COMPLETE_TO_FIRST_CONTROL,RIGHT_CENSORED_AT_COLLISION,1785123124.888609171,9.170076,0.115803,,,,,,,307.104826,2.229977,343.466997,2.235461,324.292898,,,307.102919,2.229974,292.195320,3.271580,11.636019,,2.216950,0.004535,0.008488,,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,25,72131690813719858,17293896665878496505,1785123124.645090580,2.699466,99.948406,129.014000,0,False,TARGET_ABSENT,COMPLETE_TO_FIRST_CONTROL,RIGHT_CENSORED_AT_COLLISION,1785123124.998726845,8.540550,0.005447,,,,,,,207.156420,1.344902,353.636265,1.354170,324.292898,,,207.156420,1.344902,207.156420,,,,1.344902,,,,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
202607271131,26,72131690813719859,17293896665878496506,1785123124.764040709,2.818416,118.950129,93.279800,0,False,TARGET_ABSENT,COMPLETE_TO_FIRST_CONTROL,RIGHT_CENSORED_AT_COLLISION,1785123125.077511787,7.988018,0.004584,,,,,,,88.206291,0.361865,313.471079,0.371537,324.292898,,,88.206291,0.361865,88.206291,,,,0.361865,,,,NOT_IDENTIFIABLE_NO_UNIQUE_ACTION_EPISODE,OBSERVED_PIPELINE_OCCUPANCY_EXPOSURE_NOT_CAUSAL_LOSS,RETROSPECTIVE_RESEARCH_REFERENCE_DIAGNOSTIC_NOT_DEADLINE,A,sensor source wall epoch; trace affine mapping to wall epoch,Localization speed endpoint interpolation + wall-clock trapezoidal integration,INTERVALS_OVERLAP_DO_NOT_SUM
