record_time_sec,module,sequence_num,abnormal_reason
1783596791.4665663,control,13280,brake_gt_10
1783596791.4762177,control,13281,brake_gt_10
1783596791.4867187,control,13282,brake_gt_10
1783596791.4970515,control,13283,brake_gt_10
1783596791.5077703,control,13284,brake_gt_10
1783596791.5166926,control,13285,brake_gt_10
1783596791.5264344,control,13286,brake_gt_10
1783596791.5368176,control,13287,brake_gt_10
1783596791.546569,control,13288,brake_gt_10
1783596791.5569727,control,13289,brake_gt_10
1783596791.56627,control,13290,brake_gt_10
1783596791.5769029,control,13291,brake_gt_10
1783596791.5892162,control,13292,brake_gt_10
1783596791.5970652,control,13293,brake_gt_10
1783596791.6073377,control,13294,brake_gt_10
1783596791.6183982,control,13295,brake_gt_10
1783596791.626576,control,13296,brake_gt_10
1783596791.6366055,control,13297,brake_gt_10
1783596791.6463969,control,13298,brake_gt_10
1783596791.6561384,control,13299,brake_gt_10
1783596791.666273,control,13300,brake_gt_10
1783596791.6760373,control,13301,brake_gt_10
1783596791.6863065,control,13302,brake_gt_10
1783596791.6963532,control,13303,brake_gt_10
1783596791.706562,control,13304,brake_gt_10
1783596791.716605,control,13305,brake_gt_10
1783596802.077176,control,14341,brake_gt_10
1783596802.1764657,control,14351,brake_gt_10
1783596802.186458,control,14352,brake_gt_10
1783596802.196655,control,14353,brake_gt_10
1783596802.2168062,control,14355,brake_gt_10
1783596802.272516,control,14360,brake_gt_10
1783596802.2761118,control,14361,brake_gt_10
1783596802.2861204,control,14362,brake_gt_10
1783596802.296807,control,14363,brake_gt_10
1783596802.3268087,control,14366,brake_gt_10
1783596802.3363292,control,14367,brake_gt_10
1783596802.3761406,control,14371,brake_gt_10
1783596802.3861911,control,14372,brake_gt_10
1783596802.3981395,control,14373,brake_gt_10
1783596802.4061747,control,14374,brake_gt_10
1783596802.4169085,control,14375,brake_gt_10
1783596802.426304,control,14376,brake_gt_10
1783596802.436101,control,14377,brake_gt_10
1783596802.4766412,control,14381,brake_gt_10
1783596802.4864197,control,14382,brake_gt_10
1783596802.4963171,control,14383,brake_gt_10
1783596802.5067177,control,14384,brake_gt_10
1783596802.516354,control,14385,brake_gt_10
1783596802.5263896,control,14386,brake_gt_10
1783596802.5364025,control,14387,brake_gt_10
1783596802.5669165,control,14390,brake_gt_10
1783596802.5762463,control,14391,brake_gt_10
1783596802.5862696,control,14392,brake_gt_10
1783596802.5963209,control,14393,brake_gt_10
1783596802.6065607,control,14394,brake_gt_10
1783596802.616195,control,14395,brake_gt_10
1783596802.6260817,control,14396,brake_gt_10
1783596802.6361294,control,14397,brake_gt_10
1783596802.6460352,control,14398,brake_gt_10
