planning_seq,reuse_count,first_control_seq,last_control_seq,max_planning_age_ms
231,13,12659,12671,155.64966201782227
232,17,12672,12688,169.26836967468262
233,17,12689,12705,166.91017150878906
234,18,12706,12723,173.07043075561523
235,17,12724,12740,166.60785675048828
236,18,12741,12758,173.39515686035156
237,16,12759,12774,158.70237350463867
238,18,12775,12792,172.9142665863037
239,9,12793,12801,85.92915534973145
240,8,12802,12809,78.6898136138916
241,18,12810,12827,177.54578590393066
242,8,12828,12835,73.27795028686523
243,7,12836,12842,70.07098197937012
244,8,12843,12850,77.41785049438477
245,8,12851,12858,82.95416831970215
246,7,12859,12865,62.57295608520508
247,9,12866,12874,85.9532356262207
248,7,12875,12881,71.27118110656738
249,9,12882,12890,84.35893058776855
250,7,12891,12897,69.00215148925781
251,8,12898,12905,77.1033763885498
252,9,12906,12914,82.68022537231445
253,7,12915,12921,67.10124015808105
254,8,12922,12929,79.51712608337402
255,8,12930,12937,77.99243927001953
256,9,12938,12946,86.31753921508789
257,7,12947,12953,67.00730323791504
258,9,12954,12962,91.2778377532959
259,7,12963,12969,65.36269187927246
260,8,12970,12977,76.27654075622559
261,9,12978,12986,85.9522819519043
262,7,12987,12993,65.74010848999023
263,9,12994,13002,77.87346839904785
264,8,13003,13010,76.6000747680664
265,8,13011,13018,79.61320877075195
266,7,13019,13025,67.53301620483398
267,8,13026,13033,76.16400718688965
268,9,13034,13042,82.25655555725098
269,8,13043,13050,72.58725166320801
270,7,13051,13057,70.29080390930176
271,8,13058,13065,74.3861198425293
272,8,13066,13073,75.55937767028809
273,7,13074,13080,62.706708908081055
274,8,13081,13088,76.10416412353516
275,7,13089,13095,65.22655487060547
276,8,13096,13103,73.39644432067871
277,8,13104,13111,77.82196998596191
278,8,13112,13119,79.1482925415039
279,8,13120,13127,73.66752624511719
280,7,13128,13134,66.91837310791016
281,8,13135,13142,78.37414741516113
282,8,13143,13150,80.36375045776367
283,7,13151,13157,62.52431869506836
284,7,13158,13164,68.1464672088623
285,9,13165,13173,81.97760581970215
286,8,13174,13181,75.12402534484863
287,7,13182,13188,65.81401824951172
288,8,13189,13196,71.02036476135254
289,7,13197,13203,66.67900085449219
290,10,13204,13213,92.25010871887207
291,10,13214,13223,92.94795989990234
292,12,13224,13235,112.77031898498535
293,9,13236,13244,88.06061744689941
294,10,13245,13254,95.27945518493652
295,10,13255,13264,97.03707695007324
296,10,13265,13274,94.94781494140625
297,12,13275,13286,118.39914321899414
298,9,13287,13295,88.93728256225586
299,9,13296,13304,88.72294425964355
300,10,13305,13314,95.92223167419434
301,10,13315,13324,99.88546371459961
302,9,13325,13333,83.33325386047363
303,13,13334,13346,123.19016456604004
304,8,13347,13354,72.76105880737305
305,13,13355,13367,129.14347648620605
306,8,13368,13375,71.66719436645508
307,9,13376,13384,81.71296119689941
308,10,13385,13394,94.31958198547363
309,9,13395,13403,83.46366882324219
310,11,13404,13414,103.70922088623047
311,10,13415,13424,92.09299087524414
312,11,13425,13435,107.9862117767334
313,9,13436,13444,90.3472900390625
314,10,13445,13454,95.28899192810059
315,10,13455,13464,99.67923164367676
316,10,13465,13474,101.30453109741211
317,10,13475,13484,97.7182388305664
318,9,13485,13493,83.6172103881836
319,11,13494,13504,103.43003273010254
320,9,13505,13513,89.70832824707031
321,11,13514,13524,103.3315658569336
322,9,13525,13533,83.2056999206543
323,12,13534,13545,113.42334747314453
324,10,13546,13555,96.88758850097656
325,9,13556,13564,83.34732055664062
326,10,13565,13574,95.10540962219238
327,9,13575,13583,84.24615859985352
328,11,13584,13594,103.56831550598145
329,10,13595,13604,102.40292549133301
330,19,13605,13623,183.72559547424316
331,18,13624,13641,172.85728454589844
332,18,13642,13659,172.3947525024414
333,7,13660,13666,63.20977210998535
334,19,13667,13685,186.781644821167
335,18,13686,13703,175.57406425476074
336,15,13704,13718,146.6991901397705
337,18,13719,13736,173.13671112060547
338,8,13737,13744,80.82914352416992
339,9,13745,13753,89.60199356079102
340,6,13754,13759,61.417579650878906
341,10,13760,13769,94.46287155151367
342,7,13770,13776,66.94912910461426
343,8,13777,13784,81.06303215026855
344,17,13785,13801,170.43542861938477
345,8,13802,13809,77.51917839050293
346,19,13810,13828,186.0973834991455
347,18,13829,13846,181.40578269958496
348,17,13847,13863,169.47293281555176
349,19,13864,13882,185.35113334655762
350,6,13883,13888,57.749032974243164
351,8,13889,13896,78.01127433776855
352,10,13897,13906,95.22843360900879
353,7,13907,13913,70.29533386230469
354,9,13914,13922,89.39623832702637
355,7,13923,13929,65.54460525512695
356,8,13930,13937,75.27303695678711
357,7,13938,13944,66.49899482727051
358,8,13945,13952,80.66534996032715
359,8,13953,13960,78.4602165222168
360,8,13961,13968,73.51422309875488
361,8,13969,13976,75.87504386901855
362,10,13977,13986,95.3831672668457
363,8,13987,13994,76.3101577758789
364,9,13995,14003,88.50383758544922
365,7,14004,14010,68.96543502807617
366,6,14011,14016,57.094573974609375
367,8,14017,14024,72.69811630249023
368,8,14025,14032,74.91397857666016
369,9,14033,14041,83.90307426452637
370,8,14042,14049,79.71882820129395
371,7,14050,14056,70.93071937561035
372,6,14057,14062,60.57906150817871
373,8,14063,14070,72.54219055175781
374,8,14071,14078,74.07927513122559
375,8,14079,14086,74.31578636169434
376,8,14087,14094,79.19859886169434
377,7,14095,14101,71.43521308898926
378,8,14102,14109,77.29291915893555
