source_line,wall_time,tid,drop_message_count,pre_index,current_index
15654,19:23:15.039665,389559,50,1737,1787
179350,19:27:16.212441,389569,55,4143,4198
183169,19:27:27.795226,389569,51,4263,4314
200852,19:27:57.555881,389558,50,4562,4612
213775,19:28:26.762934,389562,50,4854,4904
234998,19:29:07.354173,389563,50,5260,5310
286133,19:30:32.545328,389565,50,6112,6162
