case,sensor_time,fusion_trace_id,lidar_trace_id,module,phase,event_trace_id,elapsed_from_sensor_ms,estimated_wall_time
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,traffic_decider_enter,17294087637304346463,1343.469432,2026-07-13T19:23:31.391152
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,traffic_decider_exit,17294087637304346463,1343.566808,2026-07-13T19:23:31.391250
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,planner_enter,17294087637304346463,1343.571992,2026-07-13T19:23:31.391255
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,planner_exit,17294087637304346463,1377.149304,2026-07-13T19:23:31.424832
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,trajectory_finalize_enter,17294087637304346463,1377.424024,2026-07-13T19:23:31.425107
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,trajectory_finalize_exit,17294087637304346463,1378.693624,2026-07-13T19:23:31.426377
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,runonce_exit,17294087637304346463,1378.7062,2026-07-13T19:23:31.426389
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,writer_enter,17294087637304346463,1378.753976,2026-07-13T19:23:31.426437
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,writer_done,17294087637304346463,1379.551544,2026-07-13T19:23:31.427235
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,planning,output_pub,17294087637304346463,1380.250904,2026-07-13T19:23:31.427934
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,proc_ready,17294087637304346463,1390.538264,2026-07-13T19:23:31.438221
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,check_input_enter,17294087637304346463,1390.567128,2026-07-13T19:23:31.438250
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,check_input_exit,17294087637304346463,1390.583128,2026-07-13T19:23:31.438266
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,solve_enter,17294087637304346463,1390.599128,2026-07-13T19:23:31.438282
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,solve_exit,17294087637304346463,1391.554616,2026-07-13T19:23:31.439238
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,cmd_write_enter,17294087637304346463,1391.584664,2026-07-13T19:23:31.439268
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,cmd_write_done,17294087637304346463,1391.787768,2026-07-13T19:23:31.439471
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,interactive_pub_enter,17294087637304346463,1391.814488,2026-07-13T19:23:31.439497
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,interactive_pub_done,17294087637304346463,1391.909048,2026-07-13T19:23:31.439592
E2_成功,2026-07-13T19:23:30.047683,17294087637304346463,72322662239569819,control,output_pub,17294087637304346463,1391.91852,2026-07-13T19:23:31.439601
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.pointcloud_preprocess,proc_enter,72322662239570504,67.6928,2026-07-13T19:24:38.615156
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.pointcloud_preprocess,output_pub,72322662239570504,75.637056,2026-07-13T19:24:38.623101
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.pointcloud_map_based_roi,proc_enter,72322662239570504,75.671296,2026-07-13T19:24:38.623135
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.pointcloud_map_based_roi,output_pub,72322662239570504,80.100896,2026-07-13T19:24:38.627564
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.pointcloud_ground_detection,proc_enter,72322662239570504,80.143136,2026-07-13T19:24:38.627607
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.pointcloud_ground_detection,output_pub,72322662239570504,85.879392,2026-07-13T19:24:38.633343
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.lidar_detection,proc_enter,72322662239570504,499.1848,2026-07-13T19:24:39.046648
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.lidar_detection,output_pub,72322662239570504,608.367904,2026-07-13T19:24:39.155831
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.lidar_detection_filter,proc_enter,72322662239570504,608.403424,2026-07-13T19:24:39.155867
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.lidar_detection_filter,output_pub,72322662239570504,608.607552,2026-07-13T19:24:39.156071
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.lidar_tracking,proc_enter,72322662239570504,608.650944,2026-07-13T19:24:39.156114
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.lidar_tracking,output_pub,72322662239570504,609.054688,2026-07-13T19:24:39.156518
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.multi_sensor_fusion,proc_enter,72322662239570504,609.11136,2026-07-13T19:24:39.156575
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,perception.multi_sensor_fusion,output_pub,17294087637304347147,611.517056,2026-07-13T19:24:39.158980
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,proc_enter,17294087637304347147,611.636064,2026-07-13T19:24:39.159100
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,container_enter,17294087637304347147,611.675328,2026-07-13T19:24:39.159139
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,container_exit,17294087637304347147,612.381504,2026-07-13T19:24:39.159845
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,perception_enter,17294087637304347147,612.406304,2026-07-13T19:24:39.159870
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,evaluator_enter,17294087637304347147,612.949408,2026-07-13T19:24:39.160413
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,evaluator_exit,17294087637304347147,621.783488,2026-07-13T19:24:39.169247
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,predictor_enter,17294087637304347147,621.809152,2026-07-13T19:24:39.169273
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,predictor_exit,17294087637304347147,621.93616,2026-07-13T19:24:39.169399
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,perception_exit,17294087637304347147,621.949632,2026-07-13T19:24:39.169413
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,writer_enter,17294087637304347147,622.015392,2026-07-13T19:24:39.169479
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,writer_done,17294087637304347147,622.122208,2026-07-13T19:24:39.169586
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,prediction,output_pub,17294087637304347147,622.129056,2026-07-13T19:24:39.169592
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,proc_enter,17294087637304347147,622.274848,2026-07-13T19:24:39.169738
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,runonce_enter,17294087637304347147,622.469792,2026-07-13T19:24:39.169933
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,frame_init_enter,17294087637304347147,622.482144,2026-07-13T19:24:39.169945
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,frame_init_exit,17294087637304347147,622.50432,2026-07-13T19:24:39.169968
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,reference_line_enter,17294087637304347147,622.507648,2026-07-13T19:24:39.169971
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,reference_line_exit,17294087637304347147,622.545728,2026-07-13T19:24:39.170009
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,stitching_enter,17294087637304347147,622.54944,2026-07-13T19:24:39.170013
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,stitching_exit,17294087637304347147,626.03648,2026-07-13T19:24:39.173500
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,traffic_decider_enter,17294087637304347147,626.051904,2026-07-13T19:24:39.173515
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,traffic_decider_exit,17294087637304347147,626.171392,2026-07-13T19:24:39.173635
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,planner_enter,17294087637304347147,626.176896,2026-07-13T19:24:39.173640
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,planner_exit,17294087637304347147,651.221504,2026-07-13T19:24:39.198685
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,trajectory_finalize_enter,17294087637304347147,651.501024,2026-07-13T19:24:39.198964
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,trajectory_finalize_exit,17294087637304347147,653.275456,2026-07-13T19:24:39.200739
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,runonce_exit,17294087637304347147,653.291104,2026-07-13T19:24:39.200754
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,writer_enter,17294087637304347147,653.344032,2026-07-13T19:24:39.200807
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,writer_done,17294087637304347147,654.298208,2026-07-13T19:24:39.201762
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,planning,output_pub,17294087637304347147,655.058432,2026-07-13T19:24:39.202522
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,proc_ready,17294087637304347147,658.200992,2026-07-13T19:24:39.205664
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,check_input_enter,17294087637304347147,658.21952,2026-07-13T19:24:39.205683
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,check_input_exit,17294087637304347147,658.229664,2026-07-13T19:24:39.205693
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,solve_enter,17294087637304347147,658.242784,2026-07-13T19:24:39.205706
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,solve_exit,17294087637304347147,658.912416,2026-07-13T19:24:39.206376
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,cmd_write_enter,17294087637304347147,658.937536,2026-07-13T19:24:39.206401
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,cmd_write_done,17294087637304347147,659.070304,2026-07-13T19:24:39.206534
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,interactive_pub_enter,17294087637304347147,659.088576,2026-07-13T19:24:39.206552
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,interactive_pub_done,17294087637304347147,659.137824,2026-07-13T19:24:39.206601
E3_成功,2026-07-13T19:24:38.547463,17294087637304347147,72322662239570504,control,output_pub,17294087637304347147,659.142816,2026-07-13T19:24:39.206606
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.pointcloud_preprocess,proc_enter,72322662239573115,71.0065,2026-07-13T19:28:59.718511
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.pointcloud_map_based_roi,proc_enter,72322662239573115,80.119972,2026-07-13T19:28:59.727624
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.pointcloud_preprocess,output_pub,72322662239573115,80.489732,2026-07-13T19:28:59.727994
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.pointcloud_map_based_roi,output_pub,72322662239573115,87.84138,2026-07-13T19:28:59.735346
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.pointcloud_ground_detection,proc_enter,72322662239573115,87.902628,2026-07-13T19:28:59.735407
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.pointcloud_ground_detection,output_pub,72322662239573115,97.989028,2026-07-13T19:28:59.745493
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.lidar_detection,proc_enter,72322662239573115,4494.124932,2026-07-13T19:29:04.141629
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.lidar_detection,output_pub,72322662239573115,4610.709476,2026-07-13T19:29:04.258214
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.lidar_detection_filter,proc_enter,72322662239573115,4610.750948,2026-07-13T19:29:04.258255
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.lidar_detection_filter,output_pub,72322662239573115,4616.4417,2026-07-13T19:29:04.263946
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.lidar_tracking,proc_enter,72322662239573115,4616.536452,2026-07-13T19:29:04.264041
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.lidar_tracking,output_pub,72322662239573115,4618.122404,2026-07-13T19:29:04.265627
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.multi_sensor_fusion,proc_enter,72322662239573115,4618.391396,2026-07-13T19:29:04.265896
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,perception.multi_sensor_fusion,output_pub,17294087637304349551,4623.149316,2026-07-13T19:29:04.270654
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,proc_enter,17294087637304349551,4623.222756,2026-07-13T19:29:04.270727
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,container_enter,17294087637304349551,4623.268772,2026-07-13T19:29:04.270773
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,container_exit,17294087637304349551,4623.971268,2026-07-13T19:29:04.271476
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,perception_enter,17294087637304349551,4624.012932,2026-07-13T19:29:04.271517
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,evaluator_enter,17294087637304349551,4625.383428,2026-07-13T19:29:04.272888
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,evaluator_exit,17294087637304349551,4627.855108,2026-07-13T19:29:04.275359
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,predictor_enter,17294087637304349551,4627.883684,2026-07-13T19:29:04.275388
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,predictor_exit,17294087637304349551,4628.124324,2026-07-13T19:29:04.275629
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,perception_exit,17294087637304349551,4628.158948,2026-07-13T19:29:04.275663
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,writer_enter,17294087637304349551,4628.36314,2026-07-13T19:29:04.275867
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,writer_done,17294087637304349551,4628.551556,2026-07-13T19:29:04.276056
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,prediction,output_pub,17294087637304349551,4628.565732,2026-07-13T19:29:04.276070
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,proc_enter,17294087637304349551,4628.84458,2026-07-13T19:29:04.276349
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,runonce_enter,17294087637304349551,4629.523972,2026-07-13T19:29:04.277028
E4_50m入区,2026-07-13T19:28:59.647504,17294087637304349551,72322662239573115,planning,frame_init_enter,17294087637304349551,4629.536356,2026-07-13T19:29:04.277041
