scenario,window_start,window_end,obstacle_y_est_m,peak_time,peak_speed_mps,peak_speed_kmh,first_stop_time,stop_y_m,center_gap_at_stop_m,peak_to_stop_path_m,peak_to_stop_effective_decel_mps2,planner_reaction,outcome,latency_stats_scope,frame_count,e2e_p50_ms,e2e_p95_ms,e2e_max_ms,sensor_to_fusion_p50_ms,sensor_to_fusion_p95_ms
E1_初始前方约50m障碍,2026-07-13T19:23:03.247000,2026-07-13T19:23:24.547000,111.0,2026-07-13T19:23:07.047145,4.062413418288513,14.62468830583865,2026-07-13T19:23:17.448339,124.4987258911133,13.498725891113295,25.51509805186697,0.32340073213794696,19:23:03.411705 blocking_obstacle STOP；障碍在起步前已被跟踪,刹停,该场景驾驶窗口,163,689.492068,5078.8402516,5281.474048,607.733544,5014.189851600001
E2_障碍再后移约50m,2026-07-13T19:23:24.547000,2026-07-13T19:23:34.000000,51.74,2026-07-13T19:23:31.447927,11.334184461160302,40.803064060177086,2026-07-13T19:23:32.748034,74.22593688964844,22.485936889648436,9.674160183377124,6.639529166590799,19:23:31.377融合发布id=2698；19:23:31.425规划输出stop by 2698,刹停,该场景驾驶窗口,94,1221.08373,3214.6104172,3230.08736,1174.018094,3148.3843488
E3_障碍再后移约100m,2026-07-13T19:24:30.547000,2026-07-13T19:24:42.000000,-48.3,2026-07-13T19:24:39.147242,15.45541612108651,55.63949803591144,2026-07-13T19:24:41.347554,-33.91608428955078,14.383915710449216,22.233936142747904,5.371740881648919,19:24:39.159融合发布id=3869；19:24:39.199首次硬停轨迹,55.6km/h后刹停,该场景驾驶窗口,115,501.674808,920.2588196,958.86398,452.013944,858.3369124000001
E4_障碍移回出生点并绕场碰撞,2026-07-13T19:25:28.447000,2026-07-13T19:29:02.347041,160.0,2026-07-13T19:27:29.848470,29.326494450525246,105.5753800218909,,,,,,碰撞前没有目标障碍的STOP decision/ST boundary/stop trajectory,19:29:02.347碰撞；碰撞前一帧速度66.47km/h,最终接近窗口19:28:50至碰撞,121,4071.443872,5048.668868,5230.580208,4022.431776,5034.539364
