sensor_time,sensor_epoch_s,fusion_trace_id,lidar_trace_id,fused_object_count,ingress_ms,sensor_to_fusion_ms,prediction_compute_ms,fusion_to_prediction_out_ms,prediction_to_planning_in_ms,planning_compute_ms,planning_to_first_control_ms,sensor_to_first_control_ms,fusion_publish_time,control_publish_time
2026-07-13T19:22:52.947257,1783941772.9472566,17294087637304346142,72322662239569448,20,68.81,198.348816,15.271456,14.727168,0.286624,0.289152,6.849792,220.501552,2026-07-13T19:22:53.145605,2026-07-13T19:22:53.167758
2026-07-13T19:22:53.047485,1783941773.047485,17294087637304346143,72322662239569449,15,67.7259,202.86622,8.701536,8.803232,0.29296,0.408928,10.840896,223.212236,2026-07-13T19:22:53.250351,2026-07-13T19:22:53.270697
2026-07-13T19:22:53.147255,1783941773.147255,17294087637304346144,72322662239569450,15,85.8459,210.570316,5.654368,5.703584,0.264896,0.386816,2.604032,219.529644,2026-07-13T19:22:53.357825,2026-07-13T19:22:53.366785
2026-07-13T19:22:53.247664,1783941773.2476642,17294087637304346145,72322662239569451,22,66.6566,197.366328,10.240672,10.175488,0.339168,0.439744,1.886944,210.207672,2026-07-13T19:22:53.445030,2026-07-13T19:22:53.457872
2026-07-13T19:22:53.347201,1783941773.3472009,17294087637304346146,72322662239569452,14,67.5879,185.567836,8.2632,8.36528,0.31888,0.37024,5.986688,200.608924,2026-07-13T19:22:53.532769,2026-07-13T19:22:53.547810
2026-07-13T19:22:53.447084,1783941773.447084,17294087637304346147,72322662239569453,18,64.7378,201.829384,19.904096,20.045024,0.248256,0.394368,7.167104,229.684136,2026-07-13T19:22:53.648913,2026-07-13T19:22:53.676768
2026-07-13T19:22:53.546978,1783941773.5469782,17294087637304346148,72322662239569454,18,65.31,188.874928,17.155456,17.068928,0.30352,0.340928,2.823968,209.412272,2026-07-13T19:22:53.735853,2026-07-13T19:22:53.756391
2026-07-13T19:22:53.647051,1783941773.647051,17294087637304346149,72322662239569455,19,66.7269,196.83154,6.6104,6.579488,0.252576,0.25168,7.161696,211.07698,2026-07-13T19:22:53.843883,2026-07-13T19:22:53.858128
2026-07-13T19:22:53.747175,1783941773.747175,17294087637304346150,72322662239569456,19,65.6922,183.38196,5.70848,5.749824,0.310208,0.253056,1.202688,190.897736,2026-07-13T19:22:53.930557,2026-07-13T19:22:53.938073
2026-07-13T19:22:53.847964,1783941773.8479636,17294087637304346151,72322662239569457,16,75.2423,197.140028,9.767008,9.740608,0.25488,0.633536,5.51152,213.280572,2026-07-13T19:22:54.045104,2026-07-13T19:22:54.061244
2026-07-13T19:22:53.947505,1783941773.947505,17294087637304346152,72322662239569458,21,99.746,228.757392,9.904928,9.425216,0.351712,0.361856,3.568896,242.465072,2026-07-13T19:22:54.176262,2026-07-13T19:22:54.189970
2026-07-13T19:22:54.052299,1783941774.0522993,17294087637304346153,72322662239569459,18,65.8607,206.901724,9.63904,9.241344,0.268544,0.476416,8.530016,225.418044,2026-07-13T19:22:54.259201,2026-07-13T19:22:54.277717
2026-07-13T19:22:54.147060,1783941774.1470604,17294087637304346154,72322662239569460,23,65.8965,199.404084,8.13808,8.46272,0.694528,0.397152,2.560736,211.51922,2026-07-13T19:22:54.346464,2026-07-13T19:22:54.358580
2026-07-13T19:22:54.247967,1783941774.2479668,17294087637304346155,72322662239569461,21,77.6236,199.870672,15.085792,15.007424,0.395552,0.4584,5.286304,221.018352,2026-07-13T19:22:54.447837,2026-07-13T19:22:54.468985
2026-07-13T19:22:54.347407,1783941774.3474069,17294087637304346156,72322662239569462,14,64.6589,206.9845,8.597824,8.347488,0.28384,0.40992,3.571712,219.59746,2026-07-13T19:22:54.554391,2026-07-13T19:22:54.567004
2026-07-13T19:22:54.448263,1783941774.4482634,17294087637304346157,72322662239569463,18,65.8033,202.47498,9.955648,9.569888,0.453824,0.44336,5.70176,218.643812,2026-07-13T19:22:54.650738,2026-07-13T19:22:54.666907
2026-07-13T19:22:54.547474,1783941774.5474737,17294087637304346158,72322662239569464,18,67.2102,193.550712,9.824704,9.845184,0.248192,0.405952,8.556032,212.606072,2026-07-13T19:22:54.741024,2026-07-13T19:22:54.760080
2026-07-13T19:22:54.647666,1783941774.6476662,17294087637304346159,72322662239569465,13,67.6682,206.014984,7.77648,7.800512,0.248576,0.256096,5.490176,219.810344,2026-07-13T19:22:54.853681,2026-07-13T19:22:54.867476
2026-07-13T19:22:54.747303,1783941774.747303,17294087637304346160,72322662239569466,16,64.9419,196.166028,5.608,5.378912,0.223904,0.322176,8.308416,210.399436,2026-07-13T19:22:54.943469,2026-07-13T19:22:54.957702
2026-07-13T19:22:54.847680,1783941774.8476803,17294087637304346161,72322662239569467,18,66.5646,196.949368,6.462688,6.373504,1.606528,0.407712,4.718304,210.055416,2026-07-13T19:22:55.044630,2026-07-13T19:22:55.057736
2026-07-13T19:22:54.947661,1783941774.9476607,17294087637304346162,72322662239569468,16,68.3427,201.741868,11.095488,10.678784,0.335488,0.35696,7.035264,220.148364,2026-07-13T19:22:55.149403,2026-07-13T19:22:55.167809
2026-07-13T19:22:55.047518,1783941775.047518,17294087637304346163,72322662239569469,18,66.3834,208.691048,11.340032,11.256992,0.335872,0.380128,9.619136,230.283176,2026-07-13T19:22:55.256209,2026-07-13T19:22:55.277801
2026-07-13T19:22:55.147611,1783941775.1476107,17294087637304346164,72322662239569470,17,73.607,208.091576,7.699168,7.406688,0.367456,0.365664,3.791104,220.022488,2026-07-13T19:22:55.355702,2026-07-13T19:22:55.367633
2026-07-13T19:22:55.247081,1783941775.247081,17294087637304346165,72322662239569471,15,67.7259,206.81406,11.658304,11.242496,0.414752,0.388384,1.67328,220.532972,2026-07-13T19:22:55.453895,2026-07-13T19:22:55.467614
2026-07-13T19:22:55.347350,1783941775.3473501,17294087637304346166,72322662239569472,17,67.477,194.322024,7.501792,7.110048,0.379584,0.406688,8.257856,210.4762,2026-07-13T19:22:55.541672,2026-07-13T19:22:55.557826
2026-07-13T19:22:55.447585,1783941775.4475853,17294087637304346167,72322662239569473,16,68.773,206.175624,11.866048,11.92928,0.259776,0.38784,1.616832,220.369352,2026-07-13T19:22:55.653761,2026-07-13T19:22:55.667955
2026-07-13T19:22:55.547040,1783941775.5470395,17294087637304346168,72322662239569474,18,69.3543,194.149244,9.201984,9.292512,2.188672,0.459328,4.851808,210.941564,2026-07-13T19:22:55.741189,2026-07-13T19:22:55.757981
2026-07-13T19:22:55.647413,1783941775.647413,17294087637304346169,72322662239569475,20,64.6083,195.565612,8.659104,8.828352,0.28432,0.253824,5.2008,210.132908,2026-07-13T19:22:55.842979,2026-07-13T19:22:55.857546
2026-07-13T19:22:55.747631,1783941775.747631,17294087637304346170,72322662239569476,18,65.8996,187.261296,10.164448,10.058464,0.265248,0.280128,2.014432,199.879568,2026-07-13T19:22:55.934892,2026-07-13T19:22:55.947511
2026-07-13T19:22:55.847790,1783941775.8477905,17294087637304346171,72322662239569477,18,78.2166,200.765272,9.1784,8.737888,0.238048,0.381056,9.73776,219.860024,2026-07-13T19:22:56.048556,2026-07-13T19:22:56.067651
2026-07-13T19:22:55.947169,1783941775.9471686,17294087637304346172,72322662239569478,17,64.5177,188.242276,8.289152,8.039328,0.371776,0.413696,3.643616,200.710692,2026-07-13T19:22:56.135411,2026-07-13T19:22:56.147879
2026-07-13T19:22:56.047635,1783941776.0476346,17294087637304346173,72322662239569479,18,63.633,192.720328,11.805856,11.89712,0.287168,0.371296,4.94384,210.219752,2026-07-13T19:22:56.240355,2026-07-13T19:22:56.257854
2026-07-13T19:22:56.148652,1783941776.148652,17294087637304346174,72322662239569480,22,77.2364,200.622608,9.772736,9.591744,0.19632,1.491136,7.389184,219.290992,2026-07-13T19:22:56.349275,2026-07-13T19:22:56.367943
