time,epoch_s,x_m,y_m,heading_rad,vx_mps,vy_mps,vz_mps,speed_mps,speed_kmh,longitudinal_speed_delta_mps,sample_accel_mps2
2026-07-13T19:22:49.947590,1783941769.94759,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,,
2026-07-13T19:22:50.047414,1783941770.047414,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.147690,1783941770.14769,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.247343,1783941770.247343,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.347735,1783941770.347735,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.447771,1783941770.447771,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.548323,1783941770.548323,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.647108,1783941770.647108,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.747246,1783941770.747246,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.847101,1783941770.847101,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:50.947243,1783941770.947243,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:51.047473,1783941771.047473,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:51.147467,1783941771.147467,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
2026-07-13T19:22:51.247700,1783941771.2477,-6.399999618530273,160.0,-1.570796060478788,0.0,-0.0,0.0,0.0,0.0,0.0,0.0
