window,frame_count,msg_time_first,msg_time_last,mean_input_interval_ms,proc_min_ms,proc_p50_ms,proc_p95_ms,proc_mean_ms,proc_max_ms,proc_gt_100ms_count,inference_mean_ms,inference_p95_ms,estimated_service_rate_hz,queue_wait_first_ms,queue_wait_last_ms,queue_wait_growth_ms,queue_wait_max_ms,inject_sleep_nonzero_count
all_logged_queue_events,4141,1783941782.447833,1783942312.24719,127.97085916362524,76.0,105.9,123.7,108.30251147065925,2468.9,2522,100.81464674092409,112.89940000000001,9.233396219725844,180.7,152.7,-28.0,5098.7,0
post_overflow_reset_to_critical_frame,326,1783942107.449978,1783942139.947392,99.99204268822304,105.7,112.85,121.4,113.33680981595091,124.6,326,103.76496764705882,109.8271,8.823258759655515,152.8,4551.1,4398.3,4551.1,0
critical_and_previous_50_frames,51,1783942134.947353,1783942139.947392,100.00078201293945,110.5,116.9,120.75,116.58627450980393,121.6,51,106.10340625,108.96775,8.577339006710506,3714.2,4551.1,836.9000000000005,4551.1,0
critical_frame,1,1783942139.947392,1783942139.947392,,121.6,121.6,121.6,121.6,121.6,1,109.533,109.533,8.223684210526317,4551.1,4551.1,0.0,4551.1,0
