run_id,localization_source_file,nearest_t1_localization_source_line,nearest_t2_localization_source_line,nearest_outcome_localization_source_line,collision_csv_source_file,collision_csv_source_row,collision_speed_direct_csv_mps,collision_speed_parsed_difference_mps
202607271031,D:\data\第二次实验\baseline\202607271031\log\localization.log.INFO.20260727-102803.5453,221,224,267,,,nan,nan
202607271048,D:\data\第二次实验\baseline\202607271048\log\localization.log.INFO.20260727-104620.122662,315,318,344,,,nan,nan
202607271054,D:\data\第二次实验\baseline\202607271054\log\localization.log.INFO.20260727-105117.176834,295,298,325,,,nan,nan
202607271059,D:\data\第二次实验\baseline\202607271059\log\localization.log.INFO.20260727-105737.231932,522,526,553,,,nan,nan
202607271104,D:\data\第二次实验\baseline\202607271104\log\localization.log.INFO.20260727-110232.286141,349,353,378,,,nan,nan
202607271108,D:\data\第二次实验\baseline\202607271108\log\localization.log.INFO.20260727-110701.340102,187,190,216,,,nan,nan
202607271113,D:\data\第二次实验\baseline\202607271113\log\localization.log.INFO.20260727-111139.394230,486,489,519,,,nan,nan
202607271131,D:\data\第二次实验\300ms\202607271131\log\localization.log.INFO.20260727-112935.475992,328,336,359,D:\data\第二次实验\300ms\202607271131\log\carla_collision_events_20260727113204.csv,2,7.988017222183252,0.0
202607271202,D:\data\第二次实验\300ms\202607271202\log\localization.log.INFO.20260727-120037.597370,237,244,269,,,nan,nan
202607271211,D:\data\第二次实验\300ms\202607271211\log\localization.log.INFO.20260727-120934.719143,222,229,254,,,nan,nan
202607271643,D:\data\第二次实验\300ms\202607271643\log\localization.log.INFO.20260727-164121.1218450,249,258,274,D:\data\第二次实验\300ms\202607271643\log\carla_collision_events_20260727164411.csv,2,11.727517297502267,0.0
