group_name,metric,run_count,available_run_count,mean,median,min,max
baseline,D_brake_data_m,7,7,29.986421645853202,30.01877001652626,27.879960531139574,31.524737596105766
baseline,M_safety_6m_data_m,7,7,-2.410686823315969,-2.529202347366464,-3.260327654322751,-0.6623398195236945
baseline,M_collision_0m_data_m,7,7,3.589313176684031,3.470797652633536,2.739672345677249,5.3376601804763055
baseline,T_deadline_safety_6m_data_ms,7,7,192.66784227476347,160.44732970940873,118.52944082046852,287.3960723045234
baseline,T_deadline_collision_0m_data_ms,7,7,544.3244828369745,504.6556845074593,456.0916344175204,640.7883522772325
baseline,deadline_safety_minus_observed_ms,7,7,-135.87830711532092,-142.74508926028975,-181.78319510024693,-42.91151139006848
baseline,deadline_collision_minus_observed_ms,7,7,215.77833344689014,204.014624631971,156.1148087034091,341.13339164490833
delay_300ms,D_brake_data_m,4,2,27.251990984505426,27.251990984505426,27.184529960214117,27.319452008796738
delay_300ms,M_safety_6m_data_m,4,2,-5.217003439445351,-5.217003439445351,-5.4520007862196564,-4.982006092671046
delay_300ms,M_collision_0m_data_m,4,2,0.7829965605546487,0.7829965605546487,0.5479992137803436,1.017993907328954
delay_300ms,T_deadline_safety_6m_data_ms,4,2,400.27158814051097,400.27158814051097,383.84309305350035,416.70008322752165
delay_300ms,T_deadline_collision_0m_data_ms,4,2,761.2844207442744,761.2844207442744,749.579558602611,772.9892828859378
delay_300ms,deadline_safety_minus_observed_ms,4,2,-299.3893091144329,-299.3893091144329,-315.3117607673004,-283.46685746156527
delay_300ms,deadline_collision_minus_observed_ms,4,2,61.62352348933052,61.62352348933052,50.42470478181019,72.82234219685085
