run_id,display_name,group_name,collision,actual_e2e_latency_ms,v1_mps,v2_mps,D1_clear_m,D_delay_wall_integral_m,response_mean_speed_mps,D2_clear_wall_budget_m,impact_speed_mps,t1_s,t2_s,endpoint_s
202607271031,202607271031,baseline,False,299.6549606323242,15.623173104457399,15.448675799688356,39.89118968607217,4.673487170470926,15.5962282773796,35.21770251560124,nan,1785119531.831306,1785119532.130961,1785119542.631211
202607271048,202607271048,baseline,False,300.3580570220947,17.290539174968313,17.53282904191547,38.74398321009477,5.25441554093497,17.493839163263893,33.4895676691598,nan,1785120539.235663,1785120539.536021,1785120544.63559
202607271054,202607271054,baseline,False,299.9768257141113,17.774502340040492,17.889392506895543,39.631539419332874,5.3671294775498595,17.891813691851404,34.264409941783015,nan,1785120896.447725,1785120896.747702,1785120899.547747
202607271059,202607271059,baseline,False,399.7499942779541,17.212188241491454,17.613807792308506,40.15487249928844,7.005683189973678,17.525161451540853,33.14918930931476,nan,1785121209.519968,1785121209.919718,1785121212.619642
202607271104,202607271104,baseline,False,399.6460437774658,17.062364098393616,17.17909294643764,38.78361695724761,6.935600898780944,17.354358955303162,31.848016058466666,nan,1785121482.765552,1785121483.165198,1785121486.664961
202607271108,202607271108,baseline,False,300.6410598754883,17.431302629246872,17.58500813540814,38.75948581368456,5.284453642764105,17.577285168408743,33.47503217092046,nan,1785121755.992713,1785121756.293354,1785121758.892839
202607271113,202607271113,baseline,False,299.79610443115234,17.215204788564396,17.504769327013804,38.81749065847193,5.2312645659572246,17.449408076476775,33.58622609251471,nan,1785122030.296692,1785122030.596488,1785122033.496604
202607271131,碰撞_1131,delay_300ms,True,799.6358871459961,16.080189309222355,17.50269243214682,38.258205668761775,13.432027958524642,16.797680262281983,24.826177710237133,7.988017222183252,1785123121.945625,1785123122.745261,1785123124.852247
202607271202,202607271202,delay_300ms,False,699.1548538208008,16.405255054323614,16.95918190379224,39.616495851179884,11.749044628602803,16.804638578128476,27.86745122257708,nan,1785124951.594938,1785124952.294093,1785124955.09381
202607271211,202607271211,delay_300ms,False,700.1669406890869,16.840252260670148,17.06354072506548,40.20186447880783,11.999340611264754,17.137828014923556,28.20252386754307,nan,1785125509.980791,1785125510.680958,1785125513.38038
202607271643,碰撞_1643,delay_300ms,True,893.8701152801514,16.06976442378477,17.964115264485592,36.6510692137721,15.450549919780315,17.28500556810527,21.200519293991782,11.727517297502267,1785141848.854508,1785141849.748378,1785141851.3477566
