group_name,metric,n,mean,sd,median,p90,min,max,collision_count,run_count
baseline,scb_actual_wall_delay_ms,7,2.818691142857143,7.259742011030291,0.069502,7.767594000000007,0.067197,19.282224,0,7
baseline,actual_e2e_latency_ms,7,328.5461493900844,48.60712775090398,300.3580570220947,399.68762397766113,299.6549606323242,399.7499942779541,0,7
baseline,v1_interpolated_mps,7,17.087039196737503,0.6841218975738127,17.215204788564396,17.56858251356432,15.623173104457399,17.774502340040492,0,7
baseline,v2_interpolated_mps,7,17.25051079280964,0.8213914894712002,17.53282904191547,17.724041678143323,15.448675799688356,17.889392506895543,0,7
baseline,response_mean_speed_mps,7,17.269727826317773,0.7568688494492712,17.493839163263893,17.703096577785807,15.5962282773796,17.891813691851404,0,7
baseline,D_delay_wall_integral_m,7,5.678862069490243,0.9113962781640826,5.284453642764105,6.963633815258038,4.673487170470926,7.005683189973678,0,7
baseline,D1_clear_interpolated_m,7,39.25459689202747,0.6159785566888969,38.81749065847193,39.996662811358675,38.74398321009477,40.15487249928844,0,7
baseline,D2_clear_wall_budget_m,7,33.575734822537235,1.029155025301132,33.4895676691598,34.6457269713103,31.848016058466666,35.21770251560124,0,7
delay_300ms,scb_actual_wall_delay_ms,4,300.1529195,0.1173200831244617,300.12364049999996,300.2666875,300.046735,300.317662,2,4
delay_300ms,actual_e2e_latency_ms,4,773.2069492340088,93.23204757085728,749.9014139175415,865.5998468399048,699.1548538208008,893.8701152801514,2,4
delay_300ms,v1_interpolated_mps,4,16.34886526200022,0.36273270077463227,16.242722181772983,16.70975309876619,16.06976442378477,16.840252260670148,2,4
delay_300ms,v2_interpolated_mps,4,17.372382581372534,0.4594367267401095,17.283116578606148,17.82568841478396,16.95918190379224,17.964115264485592,2,4
delay_300ms,response_mean_speed_mps,4,17.006288105859824,0.24438080657961486,16.971233296526016,17.240852302150756,16.797680262281983,17.28500556810527,2,4
delay_300ms,D_delay_wall_integral_m,4,13.15774077954313,1.698874431856798,12.7156842848947,14.844993331403613,11.749044628602803,15.450549919780315,2,4
delay_300ms,D1_clear_interpolated_m,4,38.6819088031304,1.5798261497376511,38.937350759970826,40.02625389051944,36.6510692137721,40.20186447880783,2,4
delay_300ms,D2_clear_wall_budget_m,4,25.524168023587265,3.258102463704061,26.346814466407107,28.102002074053274,21.200519293991782,28.20252386754307,2,4
