planning_seq,reuse_count,first_control_seq,last_control_seq,max_planning_age_ms
242,10,6612,6621,
243,11,6622,6632,
244,19,6633,6651,184.1871738433838
245,18,6652,6669,180.51624298095703
246,17,6670,6686,169.9690818786621
247,8,6687,6694,78.63616943359375
248,8,6695,6702,79.67019081115723
249,8,6703,6710,80.3520679473877
250,10,6711,6720,96.48466110229492
251,6,6721,6726,55.220603942871094
252,10,6727,6736,101.15838050842285
253,5,6737,6741,48.11286926269531
254,8,6742,6749,72.296142578125
255,8,6750,6757,76.90048217773438
256,8,6758,6765,77.70776748657227
257,9,6766,6774,83.28413963317871
258,7,6775,6781,68.04823875427246
259,9,6782,6790,86.73691749572754
260,11,6791,6801,107.23280906677246
261,10,6802,6811,99.21145439147949
262,10,6812,6821,100.05593299865723
263,11,6822,6832,101.71079635620117
264,9,6833,6841,90.64292907714844
265,10,6842,6851,96.03023529052734
266,10,6852,6861,100.49796104431152
267,10,6862,6871,90.47794342041016
268,10,6872,6881,100.49748420715332
269,12,6882,6893,115.86666107177734
270,9,6894,6902,84.1207504272461
271,10,6903,6912,90.45171737670898
272,8,6913,6920,83.44769477844238
273,10,6921,6930,100.0514030456543
274,14,6931,6944,134.70864295959473
275,7,6945,6951,69.38314437866211
276,11,6952,6962,105.2865982055664
277,9,6963,6971,89.508056640625
278,10,6972,6981,93.77932548522949
279,10,6982,6991,97.75161743164062
280,12,6992,7003,120.7730770111084
281,7,7004,7010,71.29359245300293
282,11,7011,7021,102.85520553588867
283,10,7022,7031,99.42364692687988
284,10,7032,7041,96.6024398803711
285,9,7042,7050,90.70467948913574
286,10,7051,7060,94.1305160522461
287,12,7061,7072,115.4940128326416
288,9,7073,7081,89.91551399230957
289,10,7082,7091,91.87912940979004
290,9,7092,7100,82.95369148254395
291,10,7101,7110,96.10939025878906
292,11,7111,7121,103.23381423950195
293,10,7122,7131,99.78628158569336
294,10,7132,7141,101.91011428833008
295,9,7142,7150,90.67583084106445
296,10,7151,7160,95.306396484375
297,11,7161,7171,106.61506652832031
298,10,7172,7181,98.21319580078125
299,13,7182,7194,130.997896194458
300,6,7195,7200,53.21002006530762
301,10,7201,7210,100.73447227478027
302,12,7211,7222,115.33427238464355
303,10,7223,7232,102.33330726623535
304,11,7233,7243,106.08839988708496
305,8,7244,7251,79.84781265258789
306,9,7252,7260,88.9439582824707
307,11,7261,7271,105.50665855407715
308,9,7272,7280,89.16592597961426
309,13,7281,7293,124.99284744262695
310,8,7294,7301,74.30100440979004
311,12,7302,7313,119.6751594543457
312,9,7314,7322,90.00825881958008
313,10,7323,7332,101.76730155944824
314,9,7333,7341,92.02432632446289
315,11,7342,7352,102.68592834472656
316,8,7353,7360,76.33137702941895
317,10,7361,7370,94.90513801574707
318,10,7371,7380,97.72229194641113
319,11,7381,7391,105.93366622924805
320,10,7392,7401,98.9983081817627
321,10,7402,7411,99.3795394897461
322,10,7412,7421,92.44823455810547
323,11,7422,7432,112.3201847076416
324,8,7433,7440,78.1254768371582
325,12,7441,7452,113.56830596923828
326,9,7453,7461,87.67223358154297
327,10,7462,7471,101.02272033691406
328,9,7472,7480,89.04433250427246
329,11,7481,7491,102.4782657623291
330,9,7492,7500,85.9062671661377
331,12,7501,7512,112.4873161315918
332,10,7513,7522,100.30055046081543
333,8,7523,7530,76.73382759094238
334,11,7531,7541,102.55908966064453
335,10,7542,7551,96.83680534362793
336,9,7552,7560,83.18710327148438
337,11,7561,7571,105.36313056945801
338,9,7572,7580,84.43737030029297
339,10,7581,7590,94.62690353393555
340,20,7591,7610,195.9228515625
341,19,7611,7629,183.80427360534668
342,8,7630,7637,76.61271095275879
343,9,7638,7646,90.00706672668457
344,6,7647,7652,61.16986274719238
345,9,7653,7661,85.10899543762207
346,7,7662,7668,66.0867691040039
347,8,7669,7676,83.20116996765137
348,8,7677,7684,75.16050338745117
349,8,7685,7692,78.45377922058105
350,8,7693,7700,79.8804759979248
351,14,7701,7714,136.0020637512207
352,9,7715,7723,88.06800842285156
353,10,7724,7733,100.83246231079102
354,9,7734,7742,86.8842601776123
355,19,7743,7761,187.79683113098145
356,8,7762,7769,80.26409149169922
357,19,7770,7788,185.86087226867676
358,9,7789,7797,89.19477462768555
359,6,7798,7803,53.54595184326172
360,9,7804,7812,83.9545726776123
361,7,7813,7819,66.93553924560547
362,9,7820,7828,83.0848217010498
363,7,7829,7835,67.3375129699707
364,10,7836,7845,92.76986122131348
365,8,7846,7853,71.04825973510742
366,8,7854,7861,75.20866394042969
367,10,7862,7871,96.61602973937988
368,10,7872,7881,96.98772430419922
369,10,7882,7891,98.21701049804688
370,10,7892,7901,92.23246574401855
371,10,7902,7911,97.43475914001465
372,12,7912,7923,113.3570671081543
373,8,7924,7931,75.74152946472168
374,14,7932,7945,131.13880157470703
375,8,7946,7953,71.95758819580078
376,8,7954,7961,79.87022399902344
377,10,7962,7971,98.08683395385742
378,9,7972,7980,87.16392517089844
379,10,7981,7990,101.18746757507324
380,11,7991,8001,104.56228256225586
381,9,8002,8010,88.60564231872559
382,11,8011,8021,102.38289833068848
383,9,8022,8030,90.84606170654297
384,11,8031,8041,103.83772850036621
385,10,8042,8051,95.57962417602539
386,10,8052,8061,98.79875183105469
387,10,8062,8071,97.93257713317871
388,10,8072,8081,97.12362289428711
389,10,8082,8091,100.91114044189453
390,9,8092,8100,88.79804611206055
391,10,8101,8110,96.45724296569824
392,12,8111,8122,113.45624923706055
393,10,8123,8132,96.11010551452637
394,11,8133,8143,107.19943046569824
395,8,8144,8151,83.14919471740723
396,11,8152,8162,102.33521461486816
397,10,8163,8172,101.63378715515137
398,8,8173,8180,73.53925704956055
399,11,8181,8191,104.95376586914062
400,9,8192,8200,87.24284172058105
401,11,8201,8211,108.09469223022461
402,11,8212,8222,112.57028579711914
403,10,8223,8232,97.40877151489258
404,9,8233,8241,82.75771141052246
405,11,8242,8252,109.49063301086426
406,9,8253,8261,87.32795715332031
407,9,8262,8270,83.87255668640137
408,10,8271,8280,98.27518463134766
409,10,8281,8290,95.9005355834961
