record_time_sec,module,sequence_num,abnormal_reason
1783598547.023485,control,7257,brake_gt_10
1783598547.033448,control,7258,brake_gt_10
1783598547.043544,control,7259,brake_gt_10
1783598547.0539212,control,7260,brake_gt_10
1783598547.0638397,control,7261,brake_gt_10
1783598547.0734942,control,7262,brake_gt_10
1783598547.083233,control,7263,brake_gt_10
1783598547.093633,control,7264,brake_gt_10
1783598547.1035926,control,7265,brake_gt_10
1783598547.1137648,control,7266,brake_gt_10
1783598547.1237159,control,7267,brake_gt_10
1783598547.1336946,control,7268,brake_gt_10
1783598547.1437244,control,7269,brake_gt_10
1783598547.1537023,control,7270,brake_gt_10
1783598547.164019,control,7271,brake_gt_10
1783598547.173736,control,7272,brake_gt_10
1783598547.1836631,control,7273,brake_gt_10
1783598547.1935184,control,7274,brake_gt_10
1783598547.2038255,control,7275,brake_gt_10
1783598547.213553,control,7276,brake_gt_10
1783598547.223823,control,7277,brake_gt_10
1783598547.2336822,control,7278,brake_gt_10
1783598547.2438054,control,7279,brake_gt_10
1783598547.2542424,control,7280,brake_gt_10
1783598547.2640033,control,7281,brake_gt_10
1783598547.2739925,control,7282,brake_gt_10
1783598547.2837694,control,7283,brake_gt_10
1783598557.5245626,control,8307,brake_gt_10
1783598557.5749826,control,8312,brake_gt_10
1783598557.582524,control,8313,brake_gt_10
1783598557.5947728,control,8314,brake_gt_10
1783598557.6332812,control,8318,brake_gt_10
1783598557.6451879,control,8319,brake_gt_10
1783598557.6528971,control,8320,brake_gt_10
1783598557.6627526,control,8321,brake_gt_10
1783598557.7748537,control,8332,brake_gt_10
1783598557.7846544,control,8333,brake_gt_10
1783598557.7943718,control,8334,brake_gt_10
1783598557.804534,control,8335,brake_gt_10
1783598557.8242145,control,8337,brake_gt_10
1783598557.8346622,control,8338,brake_gt_10
1783598557.8448625,control,8339,brake_gt_10
1783598557.8530414,control,8340,brake_gt_10
1783598557.8627057,control,8341,brake_gt_10
1783598557.874677,control,8342,brake_gt_10
1783598557.8844354,control,8343,brake_gt_10
1783598557.8947883,control,8344,brake_gt_10
1783598557.9046817,control,8345,brake_gt_10
1783598557.9248855,control,8347,brake_gt_10
1783598557.9346786,control,8348,brake_gt_10
1783598557.944625,control,8349,brake_gt_10
1783598557.9548988,control,8350,brake_gt_10
1783598557.964894,control,8351,brake_gt_10
1783598557.974794,control,8352,brake_gt_10
1783598558.0243497,control,8357,brake_gt_10
1783598558.0346513,control,8358,brake_gt_10
1783598558.0456133,control,8359,brake_gt_10
1783598558.0552447,control,8360,brake_gt_10
1783598558.0631921,control,8361,brake_gt_10
1783598558.1246676,control,8367,brake_gt_10
1783598558.135495,control,8368,brake_gt_10
1783598558.1428823,control,8369,brake_gt_10
1783598558.1531594,control,8370,brake_gt_10
1783598558.1633298,control,8371,brake_gt_10
1783598558.1846704,control,8373,brake_gt_10
1783598558.1944327,control,8374,brake_gt_10
1783598558.204437,control,8375,brake_gt_10
1783598558.2152493,control,8376,brake_gt_10
1783598558.2366014,control,8378,brake_gt_10
1783598558.242633,control,8379,brake_gt_10
1783598559.0335424,control,8458,brake_gt_10
1783598559.0433586,control,8459,brake_gt_10
1783598559.1229122,control,8467,brake_gt_10
1783598559.1356566,control,8468,brake_gt_10
1783598559.1436827,control,8469,brake_gt_10
1783598559.1535366,control,8470,brake_gt_10
1783598559.1635609,control,8471,brake_gt_10
1783598559.1734,control,8472,brake_gt_10
1783598559.1829703,control,8473,brake_gt_10
1783598559.223506,control,8477,brake_gt_10
1783598559.232794,control,8478,brake_gt_10
1783598559.2460027,control,8479,brake_gt_10
1783598559.2550673,control,8480,brake_gt_10
1783598559.2649195,control,8481,brake_gt_10
1783598559.2750285,control,8482,brake_gt_10
1783598559.2850971,control,8483,brake_gt_10
1783598559.2948506,control,8484,brake_gt_10
1783598559.3247898,control,8487,brake_gt_10
1783598559.334688,control,8488,brake_gt_10
1783598559.344748,control,8489,brake_gt_10
1783598559.354901,control,8490,brake_gt_10
1783598559.36473,control,8491,brake_gt_10
1783598559.3749785,control,8492,brake_gt_10
1783598559.3849363,control,8493,brake_gt_10
1783598559.3948076,control,8494,brake_gt_10
1783598559.4049394,control,8495,brake_gt_10
1783598559.4148936,control,8496,brake_gt_10
1783598559.4248483,control,8497,brake_gt_10
1783598559.434724,control,8498,brake_gt_10
1783598560.1242883,control,8567,brake_gt_10
1783598560.2249372,control,8577,brake_gt_10
1783598560.2348979,control,8578,brake_gt_10
1783598560.2443218,control,8579,brake_gt_10
1783598560.254504,control,8580,brake_gt_10
1783598560.324586,control,8587,brake_gt_10
1783598560.3344479,control,8588,brake_gt_10
1783598560.3448517,control,8589,brake_gt_10
1783598560.3547916,control,8590,brake_gt_10
1783598560.3643167,control,8591,brake_gt_10
1783598560.3744478,control,8592,brake_gt_10
1783598560.384335,control,8593,brake_gt_10
1783598560.3942456,control,8594,brake_gt_10
1783598560.4041321,control,8595,brake_gt_10
1783598560.4243066,control,8597,brake_gt_10
1783598560.4341013,control,8598,brake_gt_10
1783598560.4441125,control,8599,brake_gt_10
1783598560.4541724,control,8600,brake_gt_10
1783598560.4642637,control,8601,brake_gt_10
1783598560.4742966,control,8602,brake_gt_10
1783598560.4840517,control,8603,brake_gt_10
1783598560.4940403,control,8604,brake_gt_10
1783598560.5040102,control,8605,brake_gt_10
1783598560.5145426,control,8606,brake_gt_10
1783598560.524647,control,8607,brake_gt_10
1783598560.5345557,control,8608,brake_gt_10
1783598560.5441813,control,8609,brake_gt_10
1783598560.5543885,control,8610,brake_gt_10
1783598560.5641782,control,8611,brake_gt_10
1783598560.5743835,control,8612,brake_gt_10
1783598560.5842173,control,8613,brake_gt_10
1783598560.5942466,control,8614,brake_gt_10
1783598560.6041117,control,8615,brake_gt_10
1783598560.8644795,control,8641,brake_gt_10
1783598560.8743112,control,8642,brake_gt_10
1783598560.884187,control,8643,brake_gt_10
1783598560.8940492,control,8644,brake_gt_10
1783598560.9040744,control,8645,brake_gt_10
1783598560.9141192,control,8646,brake_gt_10
1783598560.9241257,control,8647,brake_gt_10
1783598560.934134,control,8648,brake_gt_10
1783598560.9443705,control,8649,brake_gt_10
1783598560.9544687,control,8650,brake_gt_10
1783598560.964063,control,8651,brake_gt_10
1783598560.9743729,control,8652,brake_gt_10
1783598560.9841573,control,8653,brake_gt_10
1783598560.994019,control,8654,brake_gt_10
1783598561.0043755,control,8655,brake_gt_10
1783598561.0142865,control,8656,brake_gt_10
1783598561.024417,control,8657,brake_gt_10
1783598561.0341518,control,8658,brake_gt_10
1783598561.0444303,control,8659,brake_gt_10
1783598561.05455,control,8660,brake_gt_10
1783598561.0646896,control,8661,brake_gt_10
1783598561.0746288,control,8662,brake_gt_10
1783598561.0844777,control,8663,brake_gt_10
1783598561.0942745,control,8664,brake_gt_10
1783598561.104126,control,8665,brake_gt_10
1783598561.114238,control,8666,brake_gt_10
1783598561.125049,control,8667,brake_gt_10
1783598561.136138,control,8668,brake_gt_10
1783598561.1445708,control,8669,brake_gt_10
1783598561.1548674,control,8670,brake_gt_10
1783598561.164487,control,8671,brake_gt_10
1783598561.174686,control,8672,brake_gt_10
1783598561.1846623,control,8673,brake_gt_10
1783598561.1942403,control,8674,brake_gt_10
1783598561.2050896,control,8675,brake_gt_10
1783598561.2164948,control,8676,brake_gt_10
1783598561.2246203,control,8677,brake_gt_10
1783598561.2385702,control,8678,brake_gt_10
1783598561.244461,control,8679,brake_gt_10
1783598561.2545602,control,8680,brake_gt_10
1783598561.264794,control,8681,brake_gt_10
1783598561.2727363,control,8682,brake_gt_10
1783598561.282695,control,8683,brake_gt_10
1783598561.2925227,control,8684,brake_gt_10
1783598561.304426,control,8685,brake_gt_10
1783598561.3148305,control,8686,brake_gt_10
1783598561.3229487,control,8687,brake_gt_10
1783598561.332562,control,8688,brake_gt_10
1783598561.3443425,control,8689,brake_gt_10
1783598561.3544517,control,8690,brake_gt_10
1783598561.3644972,control,8691,brake_gt_10
1783598561.3744643,control,8692,brake_gt_10
1783598561.3842313,control,8693,brake_gt_10
1783598561.3945205,control,8694,brake_gt_10
1783598561.4044104,control,8695,brake_gt_10
1783598561.4143505,control,8696,brake_gt_10
1783598561.4243386,control,8697,brake_gt_10
1783598561.434186,control,8698,brake_gt_10
1783598561.4443376,control,8699,brake_gt_10
1783598561.4542656,control,8700,brake_gt_10
1783598561.464385,control,8701,brake_gt_10
1783598561.474387,control,8702,brake_gt_10
1783598561.4845326,control,8703,brake_gt_10
1783598561.4944067,control,8704,brake_gt_10
1783598561.5042658,control,8705,brake_gt_10
1783598561.5148282,control,8706,brake_gt_10
1783598561.5223126,control,8707,brake_gt_10
1783598561.5343993,control,8708,brake_gt_10
1783598561.5447662,control,8709,brake_gt_10
1783598561.5521166,control,8710,brake_gt_10
1783598561.564321,control,8711,brake_gt_10
1783598561.5749266,control,8712,brake_gt_10
1783598561.5830684,control,8713,brake_gt_10
1783598561.5929468,control,8714,brake_gt_10
1783598561.6026149,control,8715,brake_gt_10
1783598561.614293,control,8716,brake_gt_10
1783598561.6242585,control,8717,brake_gt_10
1783598561.634785,control,8718,brake_gt_10
1783598561.6423774,control,8719,brake_gt_10
1783598561.654722,control,8720,brake_gt_10
1783598561.6628144,control,8721,brake_gt_10
1783598561.6728432,control,8722,brake_gt_10
1783598561.68273,control,8723,brake_gt_10
1783598561.6921058,control,8724,brake_gt_10
1783598561.7044868,control,8725,brake_gt_10
1783598561.7143812,control,8726,brake_gt_10
1783598562.864436,control,8841,brake_gt_10
1783598562.9238577,control,8847,brake_gt_10
1783598562.9334936,control,8848,brake_gt_10
1783598562.9435225,control,8849,brake_gt_10
1783598562.954256,control,8850,brake_gt_10
1783598562.9635124,control,8851,brake_gt_10
1783598562.9735742,control,8852,brake_gt_10
1783598562.9834785,control,8853,brake_gt_10
1783598562.993413,control,8854,brake_gt_10
1783598563.0033183,control,8855,brake_gt_10
1783598563.0234952,control,8857,brake_gt_10
1783598563.0336707,control,8858,brake_gt_10
1783598563.046013,control,8859,brake_gt_10
1783598563.3235974,control,8887,brake_gt_10
1783598563.3337235,control,8888,brake_gt_10
1783598563.343823,control,8889,brake_gt_10
1783598563.3541048,control,8890,brake_gt_10
1783598563.3641484,control,8891,brake_gt_10
1783598564.2237005,control,8977,brake_gt_10
1783598568.6545944,control,9420,brake_gt_10
1783598568.6643026,control,9421,brake_gt_10
1783598568.6743903,control,9422,brake_gt_10
1783598568.684288,control,9423,brake_gt_10
1783598568.6943529,control,9424,brake_gt_10
1783598568.7041185,control,9425,brake_gt_10
1783598568.714258,control,9426,brake_gt_10
1783598568.7244153,control,9427,brake_gt_10
1783598568.7390847,control,9428,brake_gt_10
1783598568.7449865,control,9429,brake_gt_10
1783598568.7548852,control,9430,brake_gt_10
