record_file,record_time_ns,record_time_sec,channel,data_type,header_timestamp_sec,header_sequence_num,header_module_name,header_lidar_timestamp,header_camera_timestamp,header_radar_timestamp,raw_size_bytes,parsed_class,parse_error
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540547789601,1783598540.5477896,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783598540.5183544,0,,1783598540518354552,0,0,121854,PointCloud,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540548085631,1783598540.5480855,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.5183544,0,,0,0,1783598540518354552,1896,ContiRadar,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540575087929,1783598540.5750878,/apollo/control,apollo.control.ControlCommand,1783598540.5745652,6612,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540575315768,1783598540.5753157,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.5747457,6612,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540584502933,1783598540.584503,/apollo/control,apollo.control.ControlCommand,1783598540.5842454,6613,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540584622933,1783598540.5846229,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.5844047,6613,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540594720302,1783598540.5947204,/apollo/control,apollo.control.ControlCommand,1783598540.5944066,6614,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540594733198,1783598540.5947332,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.5945804,6614,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604679208,1783598540.604679,/apollo/control,apollo.control.ControlCommand,1783598540.6042902,6615,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540604811240,1783598540.6048112,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6044586,6615,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614648194,1783598540.6146483,/apollo/control,apollo.control.ControlCommand,1783598540.6143613,6616,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540614760866,1783598540.6147609,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.614581,6616,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540619275089,1783598540.619275,/clock,apollo.cyber.proto.Clock,,0,,0,0,0,10,,unparsed_or_import_missing
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540620980042,1783598540.62098,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598540.6185155,0,carla_bridge,0,0,0,69,Chassis,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540621083434,1783598540.6210835,/apollo/sensor/gnss/corrected_imu,apollo.localization.CorrectedImu,1783598540.6185155,0,,0,0,0,121,LocalizationEstimate,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540621122026,1783598540.6211221,/apollo/perception/traffic_light,apollo.perception.TrafficLightDetection,1783598540.6185155,0,,0,0,0,691,TrafficLightDetection,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540621232489,1783598540.6212323,/apollo/sensor/gnss/best_pose,apollo.drivers.gnss.GnssBestPose,1783598540.6185155,0,gnss,0,0,0,62,GnssBestPose,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540621262185,1783598540.621262,/apollo/sensor/gnss/odometry,apollo.localization.Gps,1783598540.6185155,0,gnss,0,0,0,133,Gnss,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540621317801,1783598540.6213179,/apollo/sensor/gnss/heading,apollo.drivers.gnss.Heading,,0,,0,0,0,49,,unparsed_or_import_missing
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540621326505,1783598540.6213267,/apollo/sensor/gnss/ins_stat,apollo.drivers.gnss.InsStat,1783598540.6185155,0,gnss,0,0,0,21,InsStat,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540625337114,1783598540.6253371,/apollo/control,apollo.control.ControlCommand,1783598540.6247551,6617,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652276467,1783598540.6522765,/apollo/control,apollo.control.ControlCommand,1783598540.6342592,6618,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652291475,1783598540.6522915,/apollo/control,apollo.control.ControlCommand,1783598540.6447573,6619,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652298131,1783598540.6522982,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6249309,6617,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652301651,1783598540.6523015,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6344335,6618,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540652304019,1783598540.6523042,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6449263,6619,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540657761726,1783598540.6577618,/apollo/control,apollo.control.ControlCommand,1783598540.652193,6620,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540657777982,1783598540.657778,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6523657,6620,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540661696399,1783598540.6616964,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.6185155,0,,0,0,1783598540618515479,1972,ContiRadar,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540661634960,1783598540.6616352,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783598540.6185155,0,,1783598540618515479,0,0,122794,PointCloud,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540664592900,1783598540.664593,/apollo/control,apollo.control.ControlCommand,1783598540.6643395,6621,control,1783598540418404946,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540664614628,1783598540.6646147,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6645179,6621,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540674914173,1783598540.6749141,/apollo/control,apollo.control.ControlCommand,1783598540.6746156,6622,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540675025501,1783598540.6750255,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6747863,6622,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540682524416,1783598540.6825244,/apollo/control,apollo.control.ControlCommand,1783598540.682165,6623,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540682540352,1783598540.6825402,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.682336,6623,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540694583858,1783598540.694584,/apollo/control,apollo.control.ControlCommand,1783598540.6941462,6624,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540694602866,1783598540.6946027,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.6943178,6624,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540704450381,1783598540.7044504,/apollo/control,apollo.control.ControlCommand,1783598540.7041728,6625,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540704474317,1783598540.7044744,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.7043474,6625,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540714295943,1783598540.714296,/apollo/control,apollo.control.ControlCommand,1783598540.7141016,6626,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540714464199,1783598540.7144642,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.7142682,6626,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540719287092,1783598540.7192872,/clock,apollo.cyber.proto.Clock,,0,,0,0,0,10,,unparsed_or_import_missing
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540720981486,1783598540.7209816,/apollo/perception/traffic_light,apollo.perception.TrafficLightDetection,1783598540.7185135,0,,0,0,0,691,TrafficLightDetection,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540721054254,1783598540.7210543,/apollo/canbus/chassis,apollo.canbus.Chassis,1783598540.7185135,0,carla_bridge,0,0,0,69,Chassis,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540721305741,1783598540.7213058,/apollo/sensor/gnss/best_pose,apollo.drivers.gnss.GnssBestPose,1783598540.7185135,0,gnss,0,0,0,62,GnssBestPose,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540721320429,1783598540.7213204,/apollo/sensor/gnss/odometry,apollo.localization.Gps,1783598540.7185135,0,gnss,0,0,0,133,Gnss,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540721332301,1783598540.7213323,/apollo/sensor/gnss/heading,apollo.drivers.gnss.Heading,,0,,0,0,0,49,,unparsed_or_import_missing
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540721336493,1783598540.7213366,/apollo/sensor/gnss/ins_stat,apollo.drivers.gnss.InsStat,1783598540.7185135,0,gnss,0,0,0,21,InsStat,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540721349453,1783598540.7213495,/apollo/sensor/gnss/corrected_imu,apollo.localization.CorrectedImu,1783598540.7185135,0,,0,0,0,121,LocalizationEstimate,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540724486305,1783598540.7244864,/apollo/control,apollo.control.ControlCommand,1783598540.7242258,6627,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540724509953,1783598540.72451,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.7243857,6627,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540734703770,1783598540.7347038,/apollo/control,apollo.control.ControlCommand,1783598540.7343855,6628,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540735010105,1783598540.7350101,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.7345767,6628,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540740007238,1783598540.7400072,/apollo/guardian,apollo.guardian.GuardianCommand,1783598540.739752,6761,guardian,1783598540518354552,0,0,109,GuardianCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540749102915,1783598540.7491028,/apollo/sensor/velodyne64/compensator/PointCloud2,apollo.drivers.PointCloud,1783598540.7185135,0,,1783598540718513376,0,0,122574,PointCloud,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540749272898,1783598540.7492728,/apollo/control,apollo.control.ControlCommand,1783598540.7464705,6629,control,1783598540518354552,0,0,1079,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540749462178,1783598540.7494624,/apollo/sensor/radar/front,apollo.drivers.ContiRadar,1783598540.7185135,0,,0,0,1783598540718513376,2200,ContiRadar,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540749534529,1783598540.7495344,/tf_static,apollo.transform.TransformStampeds,1783598473.0291176,0,static_transform,0,0,0,605,TransformStampeds,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540749711265,1783598540.7497113,/apollo/control/interactive,apollo.control.ControlInteractiveMsg,1783598540.7466514,6629,control,0,0,0,23,ControlCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540750001120,1783598540.7500012,/apollo/guardian,apollo.guardian.GuardianCommand,1783598540.7498298,6762,guardian,1783598540518354552,0,0,109,GuardianCommand,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540751680697,1783598540.7516809,/apollo/perception/obstacles,apollo.perception.PerceptionObstacles,1783598540.7514725,505,perception_obstacle,1783598540618515479,0,0,81,PerceptionObstacles,
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540753257907,1783598540.753258,/apollo/common/latency_reports,apollo.common.LatencyReport,,0,,0,0,0,69,,unparsed_or_import_missing
/apollo_workspace/records/202607092002_MkzExample_CarlaTown01.00000.20260709200220.record,1783598540757402372,1783598540.7574024,/apollo/monitor/system_status,apollo.monitor.SystemStatus,,0,,0,0,0,3845,,unparsed_or_import_missing
